county,precinct,office,district,candidate,party,votes,early_voting,mail,election_day
Franklin,0001 Eastpoint,Registered Voters,,,,1845,,,
Franklin,0001 Eastpoint,Ballots Cast,,,,1454,477,477,500
Franklin,0001 Eastpoint,Ballots Cast Blank,,,,0,0,0,0
Franklin,0001 Eastpoint,President,,Donald J. Trump,REP,1197,411,324,462
Franklin,0001 Eastpoint,President,,Joseph R. Biden,DEM,237,60,147,30
Franklin,0001 Eastpoint,President,,Jorgensen / Cohen,LPF,4,1,1,2
Franklin,0001 Eastpoint,President,,De La Fuente / Richardson,REF,2,1,1,0
Franklin,0001 Eastpoint,President,,La Riva / Freeman,PSL,2,1,1,0
Franklin,0001 Eastpoint,President,,Hawkins / Walker,GRE,2,0,1,1
Franklin,0001 Eastpoint,President,,Blankenship / Mohr,CPF,1,0,0,1
Franklin,0001 Eastpoint,President,,Write-In,,0,0,0,0
Franklin,0001 Eastpoint,President,,Over Votes,,3,1,0,2
Franklin,0001 Eastpoint,President,,Under Votes,,6,2,2,2
Franklin,0001 Eastpoint,U.S. House,2,Neal Dunn,REP,1226,413,372,441
Franklin,0001 Eastpoint,U.S. House,2,Write-In,,48,12,30,6
Franklin,0001 Eastpoint,U.S. House,2,Over Votes,,0,0,0,0
Franklin,0001 Eastpoint,U.S. House,2,Under Votes,,180,52,75,53
Franklin,0001 Eastpoint,State Senate,3,Marva Harris Preston,REP,1093,373,299,421
Franklin,0001 Eastpoint,State Senate,3,Lorranne Ausley,DEM,287,76,160,51
Franklin,0001 Eastpoint,State Senate,3,Write-In,,0,0,0,0
Franklin,0001 Eastpoint,State Senate,3,Over Votes,,0,0,0,0
Franklin,0001 Eastpoint,State Senate,3,Under Votes,,74,28,18,28
Franklin,0001 Eastpoint,State House,7,Jason Shoaf,REP,1150,405,319,426
Franklin,0001 Eastpoint,State House,7,Taymour Khan,DEM,216,48,137,31
Franklin,0001 Eastpoint,State House,7,Over Votes,,1,0,0,1
Franklin,0001 Eastpoint,State House,7,Under Votes,,87,24,21,42
Franklin,0002 Alligator Point,Registered Voters,,,,384,,,
Franklin,0002 Alligator Point,Ballots Cast,,,,338,75,167,96
Franklin,0002 Alligator Point,Ballots Cast Blank,,,,0,0,0,0
Franklin,0002 Alligator Point,President,,Donald J. Trump,REP,218,50,89,79
Franklin,0002 Alligator Point,President,,Joseph R. Biden,DEM,114,25,75,14
Franklin,0002 Alligator Point,President,,Jorgensen / Cohen,LPF,3,0,1,2
Franklin,0002 Alligator Point,President,,De La Fuente / Richardson,REF,0,0,0,0
Franklin,0002 Alligator Point,President,,La Riva / Freeman,PSL,0,0,0,0
Franklin,0002 Alligator Point,President,,Hawkins / Walker,GRE,1,0,1,0
Franklin,0002 Alligator Point,President,,Blankenship / Mohr,CPF,0,0,0,0
Franklin,0002 Alligator Point,President,,Write-In,,0,0,0,0
Franklin,0002 Alligator Point,President,,Over Votes,,1,0,0,1
Franklin,0002 Alligator Point,President,,Under Votes,,1,0,1,0
Franklin,0002 Alligator Point,U.S. House,2,Neal Dunn,REP,255,53,117,85
Franklin,0002 Alligator Point,U.S. House,2,Write-In,,24,6,17,1
Franklin,0002 Alligator Point,U.S. House,2,Over Votes,,0,0,0,0
Franklin,0002 Alligator Point,U.S. House,2,Under Votes,,59,16,33,10
Franklin,0002 Alligator Point,State Senate,3,Marva Harris Preston,REP,219,47,93,79
Franklin,0002 Alligator Point,State Senate,3,Lorranne Ausley,DEM,111,27,72,12
Franklin,0002 Alligator Point,State Senate,3,Write-In,,1,0,0,1
Franklin,0002 Alligator Point,State Senate,3,Over Votes,,0,0,0,0
Franklin,0002 Alligator Point,State Senate,3,Under Votes,,7,1,2,4
Franklin,0002 Alligator Point,State House,7,Jason Shoaf,REP,240,50,104,86
Franklin,0002 Alligator Point,State House,7,Taymour Khan,DEM,92,24,60,8
Franklin,0002 Alligator Point,State House,7,Over Votes,,0,0,0,0
Franklin,0002 Alligator Point,State House,7,Under Votes,,6,1,3,2
Franklin,0003 National Guard Armory,Registered Voters,,,,1494,,,
Franklin,0003 National Guard Armory,Ballots Cast,,,,1200,481,488,231
Franklin,0003 National Guard Armory,Ballots Cast Blank,,,,0,0,0,0
Franklin,0003 National Guard Armory,President,,Donald J. Trump,REP,466,200,149,117
Franklin,0003 National Guard Armory,President,,Joseph R. Biden,DEM,708,273,328,107
Franklin,0003 National Guard Armory,President,,Jorgensen / Cohen,LPF,5,2,1,2
Franklin,0003 National Guard Armory,President,,De La Fuente / Richardson,REF,0,0,0,0
Franklin,0003 National Guard Armory,President,,La Riva / Freeman,PSL,3,1,0,2
Franklin,0003 National Guard Armory,President,,Hawkins / Walker,GRE,3,1,1,1
Franklin,0003 National Guard Armory,President,,Blankenship / Mohr,CPF,1,0,1,0
Franklin,0003 National Guard Armory,President,,Write-In,,5,0,3,2
Franklin,0003 National Guard Armory,President,,Over Votes,,3,1,2,0
Franklin,0003 National Guard Armory,President,,Under Votes,,6,3,3,0
Franklin,0003 National Guard Armory,U.S. House,2,Neal Dunn,REP,708,292,256,160
Franklin,0003 National Guard Armory,U.S. House,2,Write-In,,151,63,64,24
Franklin,0003 National Guard Armory,U.S. House,2,Over Votes,,0,0,0,0
Franklin,0003 National Guard Armory,U.S. House,2,Under Votes,,341,126,168,47
Franklin,0003 National Guard Armory,State Senate,3,Marva Harris Preston,REP,479,206,159,114
Franklin,0003 National Guard Armory,State Senate,3,Lorranne Ausley,DEM,665,259,308,98
Franklin,0003 National Guard Armory,State Senate,3,Write-In,,3,1,2,0
Franklin,0003 National Guard Armory,State Senate,3,Over Votes,,0,0,0,0
Franklin,0003 National Guard Armory,State Senate,3,Under Votes,,53,15,19,19
Franklin,0003 National Guard Armory,State House,7,Jason Shoaf,REP,520,224,173,123
Franklin,0003 National Guard Armory,State House,7,Taymour Khan,DEM,609,236,284,89
Franklin,0003 National Guard Armory,State House,7,Over Votes,,0,0,0,0
Franklin,0003 National Guard Armory,State House,7,Under Votes,,71,21,31,19
Franklin,0004 Fort Coombs Armory,Registered Voters,,,,392,,,
Franklin,0004 Fort Coombs Armory,Ballots Cast,,,,338,144,156,38
Franklin,0004 Fort Coombs Armory,Ballots Cast Blank,,,,0,0,0,0
Franklin,0004 Fort Coombs Armory,President,,Donald J. Trump,REP,170,81,62,27
Franklin,0004 Fort Coombs Armory,President,,Joseph R. Biden,DEM,166,62,93,11
Franklin,0004 Fort Coombs Armory,President,,Jorgensen / Cohen,LPF,0,0,0,0
Franklin,0004 Fort Coombs Armory,President,,De La Fuente / Richardson,REF,0,0,0,0
Franklin,0004 Fort Coombs Armory,President,,La Riva / Freeman,PSL,0,0,0,0
Franklin,0004 Fort Coombs Armory,President,,Hawkins / Walker,GRE,0,0,0,0
Franklin,0004 Fort Coombs Armory,President,,Blankenship / Mohr,CPF,0,0,0,0
Franklin,0004 Fort Coombs Armory,President,,Write-In,,0,0,0,0
Franklin,0004 Fort Coombs Armory,President,,Over Votes,,0,0,0,0
Franklin,0004 Fort Coombs Armory,President,,Under Votes,,2,1,1,0
