county,precinct,office,district,candidate,party,election_day,early_voting,mail,provisional,other,votes
Taylor,13-Jerkins Bldg,President,,Write-in,,1,0,1,0,0,2
Taylor,13-Jerkins Bldg,President,,Undervotes,,0,1,1,0,0,2
Taylor,13-Jerkins Bldg,President,,Overvotes,,0,2,11,0,0,13
Taylor,13-Jerkins Bldg,U.S. House,2,Neal Dunn,REP,119,173,119,3,0,414
Taylor,13-Jerkins Bldg,U.S. House,2,Write-in,,17,30,34,0,0,81
Taylor,13-Jerkins Bldg,U.S. House,2,Undervotes,,76,148,116,1,0,341
Taylor,13-Jerkins Bldg,U.S. House,2,Overvotes,,0,0,0,0,0,0
Taylor,13-Jerkins Bldg,State Senate,3,Marva Harris Preston,REP,33,97,57,1,0,188
Taylor,13-Jerkins Bldg,State Senate,3,Loranne Ausley,DEM,177,249,206,3,0,635
Taylor,13-Jerkins Bldg,State Senate,3,Undervotes,,2,5,6,0,0,13
Taylor,13-Jerkins Bldg,State Senate,3,Overvotes,,0,0,0,0,0,0
Taylor,13-Jerkins Bldg,State Representative,7,Jason Shoaf,REP,28,108,68,1,0,205
Taylor,13-Jerkins Bldg,State Representative,7,Taymour Khan,DEM,175,229,192,3,0,599
Taylor,13-Jerkins Bldg,State Representative,7,Undervotes,,9,14,9,0,0,32
Taylor,13-Jerkins Bldg,State Representative,7,Overvotes,,0,0,0,0,0,0
Taylor,14-Mt Carmel Bapt Church,Registered Voters,,,,,,,,,1355
Taylor,14-Mt Carmel Bapt Church,Ballots Cast,,,,202,571,289,1,0,1063
Taylor,14-Mt Carmel Bapt Church,President,,Donald J. Trump,REP,179,530,218,1,0,928
Taylor,14-Mt Carmel Bapt Church,President,,Joseph R. Biden,DEM,18,36,66,0,0,120
Taylor,14-Mt Carmel Bapt Church,President,,Jo Jorgensen,LPF,2,3,0,0,0,5
Taylor,14-Mt Carmel Bapt Church,President,,"Roque ""Rocky"" De La Fuente",REF,0,0,1,0,0,1
Taylor,14-Mt Carmel Bapt Church,President,,Gloria La Riva,PSL,0,0,1,0,0,1
Taylor,14-Mt Carmel Bapt Church,President,,Howie Hawkins,GRE,1,0,0,0,0,1
Taylor,14-Mt Carmel Bapt Church,President,,Don Blankenship,CPF,0,0,0,0,0,0
Taylor,14-Mt Carmel Bapt Church,President,,Write-in,,1,1,1,0,0,3
Taylor,14-Mt Carmel Bapt Church,President,,Undervotes,,0,1,1,0,0,2
Taylor,14-Mt Carmel Bapt Church,President,,Overvotes,,1,0,1,0,0,2
Taylor,14-Mt Carmel Bapt Church,U.S. House,2,Neal Dunn,REP,187,534,245,1,0,967
Taylor,14-Mt Carmel Bapt Church,U.S. House,2,Write-in,,3,5,8,0,0,16
Taylor,14-Mt Carmel Bapt Church,U.S. House,2,Undervotes,,12,32,36,0,0,80
Taylor,14-Mt Carmel Bapt Church,U.S. House,2,Overvotes,,0,0,0,0,0,0
Taylor,14-Mt Carmel Bapt Church,State Senate,3,Marva Harris Preston,REP,175,518,213,1,0,907
Taylor,14-Mt Carmel Bapt Church,State Senate,3,Loranne Ausley,DEM,24,39,65,0,0,128
Taylor,14-Mt Carmel Bapt Church,State Senate,3,Undervotes,,3,14,11,0,0,28
Taylor,14-Mt Carmel Bapt Church,State Senate,3,Overvotes,,0,0,0,0,0,0
Taylor,14-Mt Carmel Bapt Church,State Representative,7,Jason Shoaf,REP,177,518,234,1,0,930
Taylor,14-Mt Carmel Bapt Church,State Representative,7,Taymour Khan,DEM,18,31,41,0,0,90
Taylor,14-Mt Carmel Bapt Church,State Representative,7,Undervotes,,7,22,14,0,0,43
Taylor,14-Mt Carmel Bapt Church,State Representative,7,Overvotes,,0,0,0,0,0,0
