county,precinct,office,district,candidate,party,election_day,early_voting,mail,provisional,other,votes
Taylor,2-Big Bend Technical College,President,,Howie Hawkins,GRE,0,0,0,0,0,0
Taylor,2-Big Bend Technical College,President,,Don Blankenship,CPF,0,0,0,0,0,0
Taylor,2-Big Bend Technical College,President,,Write-in,,0,0,1,0,0,1
Taylor,2-Big Bend Technical College,President,,Undervotes,,1,0,0,0,0,1
Taylor,2-Big Bend Technical College,President,,Overvotes,,0,0,6,0,0,6
Taylor,2-Big Bend Technical College,U.S. House,2,Neal Dunn,REP,205,373,236,1,2,817
Taylor,2-Big Bend Technical College,U.S. House,2,Write-in,,2,5,7,0,0,14
Taylor,2-Big Bend Technical College,U.S. House,2,Undervotes,,15,20,36,1,0,72
Taylor,2-Big Bend Technical College,U.S. House,2,Overvotes,,0,0,1,0,0,1
Taylor,2-Big Bend Technical College,State Senate,3,Marva Harris Preston,REP,191,360,194,1,2,748
Taylor,2-Big Bend Technical College,State Senate,3,Loranne Ausley,DEM,27,32,77,0,0,136
Taylor,2-Big Bend Technical College,State Senate,3,Undervotes,,4,6,9,1,0,20
Taylor,2-Big Bend Technical College,State Senate,3,Overvotes,,0,0,0,0,0,0
Taylor,2-Big Bend Technical College,State Representative,7,Jason Shoaf,REP,202,359,211,1,2,775
Taylor,2-Big Bend Technical College,State Representative,7,Taymour Khan,DEM,15,26,60,0,0,101
Taylor,2-Big Bend Technical College,State Representative,7,Undervotes,,5,13,9,1,0,28
Taylor,2-Big Bend Technical College,State Representative,7,Overvotes,,0,0,0,0,0,0
Taylor,3-Blue Creek Bapt Church,Registered Voters,,,,,,,,,1011
Taylor,3-Blue Creek Bapt Church,Ballots Cast,,,,279,275,302,1,0,857
Taylor,3-Blue Creek Bapt Church,President,,Donald J. Trump,REP,262,249,209,1,0,721
Taylor,3-Blue Creek Bapt Church,President,,Joseph R. Biden,DEM,17,25,84,0,0,126
Taylor,3-Blue Creek Bapt Church,President,,Jo Jorgensen,LPF,0,1,1,0,0,2
Taylor,3-Blue Creek Bapt Church,President,,"Roque ""Rocky"" De La Fuente",REF,0,0,0,0,0,0
Taylor,3-Blue Creek Bapt Church,President,,Gloria La Riva,PSL,0,0,1,0,0,1
Taylor,3-Blue Creek Bapt Church,President,,Howie Hawkins,GRE,0,0,2,0,0,2
Taylor,3-Blue Creek Bapt Church,President,,Don Blankenship,CPF,0,0,1,0,0,1
Taylor,3-Blue Creek Bapt Church,President,,Write-in,,0,0,1,0,0,1
Taylor,3-Blue Creek Bapt Church,President,,Undervotes,,0,0,1,0,0,1
Taylor,3-Blue Creek Bapt Church,President,,Overvotes,,0,0,2,0,0,2
Taylor,3-Blue Creek Bapt Church,U.S. House,2,Neal Dunn,REP,262,251,246,1,0,760
Taylor,3-Blue Creek Bapt Church,U.S. House,2,Write-in,,0,2,13,0,0,15
Taylor,3-Blue Creek Bapt Church,U.S. House,2,Undervotes,,17,22,43,0,0,82
Taylor,3-Blue Creek Bapt Church,U.S. House,2,Overvotes,,0,0,0,0,0,0
Taylor,3-Blue Creek Bapt Church,State Senate,3,Marva Harris Preston,REP,252,243,206,1,0,702
Taylor,3-Blue Creek Bapt Church,State Senate,3,Loranne Ausley,DEM,18,28,87,0,0,133
Taylor,3-Blue Creek Bapt Church,State Senate,3,Undervotes,,9,4,8,0,0,21
Taylor,3-Blue Creek Bapt Church,State Senate,3,Overvotes,,0,0,1,0,0,1
Taylor,3-Blue Creek Bapt Church,State Representative,7,Jason Shoaf,REP,255,254,214,1,0,724
Taylor,3-Blue Creek Bapt Church,State Representative,7,Taymour Khan,DEM,17,15,77,0,0,109
Taylor,3-Blue Creek Bapt Church,State Representative,7,Undervotes,,7,6,11,0,0,24
Taylor,3-Blue Creek Bapt Church,State Representative,7,Overvotes,,0,0,0,0,0,0
Taylor,4-Salem Baptist Church,Registered Voters,,,,,,,,,159
Taylor,4-Salem Baptist Church,Ballots Cast,,,,60,26,41,1,0,128
Taylor,4-Salem Baptist Church,President,,Donald J. Trump,REP,56,23,37,1,0,117
Taylor,4-Salem Baptist Church,President,,Joseph R. Biden,DEM,3,3,3,0,0,9
Taylor,4-Salem Baptist Church,President,,Jo Jorgensen,LPF,0,0,0,0,0,0
Taylor,4-Salem Baptist Church,President,,"Roque ""Rocky"" De La Fuente",REF,1,0,0,0,0,1
Taylor,4-Salem Baptist Church,President,,Gloria La Riva,PSL,0,0,0,0,0,0
Taylor,4-Salem Baptist Church,President,,Howie Hawkins,GRE,0,0,0,0,0,0
Taylor,4-Salem Baptist Church,President,,Don Blankenship,CPF,0,0,0,0,0,0
Taylor,4-Salem Baptist Church,President,,Write-in,,0,0,1,0,0,1
Taylor,4-Salem Baptist Church,President,,Undervotes,,0,0,0,0,0,0
Taylor,4-Salem Baptist Church,President,,Overvotes,,0,0,0,0,0,0
Taylor,4-Salem Baptist Church,U.S. House,2,Neal Dunn,REP,56,23,34,1,0,114
Taylor,4-Salem Baptist Church,U.S. House,2,Write-in,,0,0,2,0,0,2
Taylor,4-Salem Baptist Church,U.S. House,2,Undervotes,,4,3,5,0,0,12
Taylor,4-Salem Baptist Church,U.S. House,2,Overvotes,,0,0,0,0,0,0
Taylor,4-Salem Baptist Church,State Senate,3,Marva Harris Preston,REP,53,22,32,1,0,108
Taylor,4-Salem Baptist Church,State Senate,3,Loranne Ausley,DEM,3,3,6,0,0,12
Taylor,4-Salem Baptist Church,State Senate,3,Undervotes,,4,1,3,0,0,8
