county,precinct,office,district,party,candidate,votes,early_voting,absentee,election_day,provisional
Union,1A & 1B,Registered Voters,,,,1256,,,,
Union,1A & 1B,Ballots Cast,,,,1030,609,196,225,0
Union,1A & 1B,Ballots Cast Blank,,,,1,0,1,0,0
Union,1A & 1B,President,,REP,Donald J Trump,863,518,148,197,0
Union,1A & 1B,President,,DEM,Joseph R Biden,151,81,46,24,0
Union,1A & 1B,President,,LPF,Jo Jorgensen,8,4,1,3,0
Union,1A & 1B,President,,REF,De La Fuente,1,1,0,0,0
Union,1A & 1B,President,,PSL,La Riva,0,0,0,0,0
Union,1A & 1B,President,,GRE,Howie Hawkins,1,1,0,0,0
Union,1A & 1B,President,,CPF,Don Blankenship,1,1,0,0,0
Union,1A & 1B,President,,,Write-In,1,1,0,0,0
Union,1A & 1B,President,,,Over Votes,1,1,0,0,0
Union,1A & 1B,President,,,Under Votes,3,1,1,1,0
Union,1A & 1B,U.S. House,3,REP,Kat Cammack,823,506,134,183,0
Union,1A & 1B,U.S. House,3,DEM,Adam Christensen,184,91,59,34,0
Union,1A & 1B,U.S. House,3,,Over Votes,0,0,0,0,0
Union,1A & 1B,U.S. House,3,,Under Votes,23,12,3,8,0
Union,1A & 1B,State Senate,5,REP,Jennifer Bradley,838,510,140,188,0
Union,1A & 1B,State Senate,5,DEM,Melina Rayna Barratt,159,82,51,26,0
Union,1A & 1B,State Senate,5,,Over Votes,0,0,0,0,0
Union,1A & 1B,State Senate,5,,Under Votes,33,17,5,11,0
Union,1A & 1B,State House,19,REP,Bobby Payne,819,500,135,184,0
Union,1A & 1B,State House,19,DEM,Kimberly Dugger,178,92,55,31,0
Union,1A & 1B,State House,19,,Over Votes,0,0,0,0,0
Union,1A & 1B,State House,19,,Under Votes,33,17,6,10,0
Union,2A & 2B,Registered Voters,,,,1142,,,,
Union,2A & 2B,Ballots Cast,,,,887,370,171,346,0
Union,2A & 2B,Ballots Cast Blank,,,,0,0,0,0,0
Union,2A & 2B,President,,REP,Donald J Trump,747,319,130,298,0
Union,2A & 2B,President,,DEM,Joseph R Biden,129,48,38,43,0
Union,2A & 2B,President,,LPF,Jo Jorgensen,3,0,3,0,0
Union,2A & 2B,President,,REF,De La Fuente,0,0,0,0,0
Union,2A & 2B,President,,PSL,La Riva,0,0,0,0,0
