candidate,office,district,party,county,precinct,votes,election_day,early_voting,mail
Registered Voters,,,,Clay,100 -  Clay Hill Baptist Church ,3136,,,
Ballots Cast,,,,Clay,100 -  Clay Hill Baptist Church ,2334,803,1067,464
Ballots Cast Blank,,,,Clay,100 -  Clay Hill Baptist Church ,47,18,26,3
Donald J Trump,President ,,REP,Clay,100 -  Clay Hill Baptist Church ,2100,751,986,363
Joseph R Biden,President ,,DEM,Clay,100 -  Clay Hill Baptist Church ,213,44,75,94
Jo Jorgensen ,President ,,LPF,Clay,100 -  Clay Hill Baptist Church ,14,7,4,3
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,100 -  Clay Hill Baptist Church ,0,0,0,0
Gloria La Riva ,President ,,PSL,Clay,100 -  Clay Hill Baptist Church ,0,0,0,0
Howie Hawkins,President ,,GRE,Clay,100 -  Clay Hill Baptist Church ,2,0,1,1
Don Blankenship,President ,,CPF,Clay,100 -  Clay Hill Baptist Church ,0,0,0,0
Write-In,President ,,NPA,Clay,100 -  Clay Hill Baptist Church ,0,0,0,0
Over Votes,President ,,,Clay,100 -  Clay Hill Baptist Church ,1,0,0,1
Under Votes,President ,,,Clay,100 -  Clay Hill Baptist Church ,4,1,1,2
Kat Cammack,US House,3,REP,Clay,100 -  Clay Hill Baptist Church ,2040,731,960,349
Adam Christensen,US House,3,DEM,Clay,100 -  Clay Hill Baptist Church ,249,52,86,111
Over Votes,US House,3,,Clay,100 -  Clay Hill Baptist Church ,0,0,0,0
Under Votes,US House,3,,Clay,100 -  Clay Hill Baptist Church ,45,20,21,4
Jennifer Bradley,State Senate,5,REP,Clay,100 -  Clay Hill Baptist Church ,2061,731,965,365
Melina Rayna Barratt,State Senate,5,DEM,Clay,100 -  Clay Hill Baptist Church ,203,47,64,92
Over Votes,State Senate,5,,Clay,100 -  Clay Hill Baptist Church ,0,0,0,0
Under Votes,State Senate,5,,Clay,100 -  Clay Hill Baptist Church ,70,25,38,7
Sam Garrison,State House,18,REP,Clay,100 -  Clay Hill Baptist Church ,2029,714,957,358
Leroy Anthony Edwards,State House,18,DEM,Clay,100 -  Clay Hill Baptist Church ,195,45,70,80
Ken Willey,State House,18,LPF,Clay,100 -  Clay Hill Baptist Church ,47,18,10,19
Over Votes,State House,18,,Clay,100 -  Clay Hill Baptist Church ,0,0,0,0
Under Votes,State House,18,,Clay,100 -  Clay Hill Baptist Church ,63,26,30,7
Registered Voters,,,,Clay,102 - VFW Post #8255,3977,,,
Ballots Cast,,,,Clay,102 - VFW Post #8255,2712,735,1454,523
Ballots Cast Blank,,,,Clay,102 - VFW Post #8255,80,23,44,13
Donald J Trump,President ,,REP,Clay,102 - VFW Post #8255,2249,649,1263,337
Joseph R Biden,President ,,DEM,Clay,102 - VFW Post #8255,429,78,175,176
Jo Jorgensen ,President ,,LPF,Clay,102 - VFW Post #8255,20,6,8,6
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,102 - VFW Post #8255,2,0,1,1
Gloria La Riva ,President ,,PSL,Clay,102 - VFW Post #8255,0,0,0,0
Howie Hawkins,President ,,GRE,Clay,102 - VFW Post #8255,2,2,0,0
Don Blankenship,President ,,CPF,Clay,102 - VFW Post #8255,1,0,1,0
Write-In,President ,,NPA,Clay,102 - VFW Post #8255,2,0,0,2
Over Votes,President ,,,Clay,102 - VFW Post #8255,2,0,2,0
Under Votes,President ,,,Clay,102 - VFW Post #8255,5,0,4,1
Kat Cammack,US House,3,REP,Clay,102 - VFW Post #8255,2196,630,1232,334
Adam Christensen,US House,3,DEM,Clay,102 - VFW Post #8255,447,89,182,176
Over Votes,US House,3,,Clay,102 - VFW Post #8255,0,0,0,0
Under Votes,US House,3,,Clay,102 - VFW Post #8255,69,16,40,13
Jennifer Bradley,State Senate,5,REP,Clay,102 - VFW Post #8255,2203,630,1240,333
Melina Rayna Barratt,State Senate,5,DEM,Clay,102 - VFW Post #8255,420,84,168,168
Over Votes,State Senate,5,,Clay,102 - VFW Post #8255,0,0,0,0
Under Votes,State Senate,5,,Clay,102 - VFW Post #8255,89,21,46,22
Sam Garrison,State House,18,REP,Clay,102 - VFW Post #8255,2157,614,1216,327
Leroy Anthony Edwards,State House,18,DEM,Clay,102 - VFW Post #8255,380,73,153,154
Ken Willey,State House,18,LPF,Clay,102 - VFW Post #8255,82,24,35,23
Over Votes,State House,18,,Clay,102 - VFW Post #8255,0,0,0,0
Under Votes,State House,18,,Clay,102 - VFW Post #8255,93,24,50,19
Registered Voters,,,,Clay,106 - Cornerstone Bapt Church,4606,,,
Ballots Cast,,,,Clay,106 - Cornerstone Bapt Church,3257,863,1766,628
Ballots Cast Blank,,,,Clay,106 - Cornerstone Bapt Church,73,19,42,12
Donald J Trump,President ,,REP,Clay,106 - Cornerstone Bapt Church,2731,757,1566,408
Joseph R Biden,President ,,DEM,Clay,106 - Cornerstone Bapt Church,461,87,174,200
Jo Jorgensen ,President ,,LPF,Clay,106 - Cornerstone Bapt Church,45,17,17,11
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,106 - Cornerstone Bapt Church,1,0,1,0
Gloria La Riva ,President ,,PSL,Clay,106 - Cornerstone Bapt Church,1,0,1,0
Howie Hawkins,President ,,GRE,Clay,106 - Cornerstone Bapt Church,3,0,1,2
Don Blankenship,President ,,CPF,Clay,106 - Cornerstone Bapt Church,4,1,3,0
Write-In,President ,,NPA,Clay,106 - Cornerstone Bapt Church,2,1,0,1
Over Votes,President ,,,Clay,106 - Cornerstone Bapt Church,6,0,1,5
Under Votes,President ,,,Clay,106 - Cornerstone Bapt Church,3,0,2,1
Kat Cammack,US House,3,REP,Clay,106 - Cornerstone Bapt Church,2666,732,1522,412
Adam Christensen,US House,3,DEM,Clay,106 - Cornerstone Bapt Church,524,110,210,204
Over Votes,US House,3,,Clay,106 - Cornerstone Bapt Church,1,1,0,0
Under Votes,US House,3,,Clay,106 - Cornerstone Bapt Church,66,20,34,12
Jennifer Bradley,State Senate,5,REP,Clay,106 - Cornerstone Bapt Church,2711,744,1542,425
Melina Rayna Barratt,State Senate,5,DEM,Clay,106 - Cornerstone Bapt Church,447,90,172,185
Over Votes,State Senate,5,,Clay,106 - Cornerstone Bapt Church,0,0,0,0
Under Votes,State Senate,5,,Clay,106 - Cornerstone Bapt Church,99,29,52,18
Sam Garrison,State House,18,REP,Clay,106 - Cornerstone Bapt Church,2648,719,1513,416
Leroy Anthony Edwards,State House,18,DEM,Clay,106 - Cornerstone Bapt Church,396,77,152,167
Ken Willey,State House,18,LPF,Clay,106 - Cornerstone Bapt Church,114,36,50,28
Over Votes,State House,18,,Clay,106 - Cornerstone Bapt Church,1,1,0,0
Under Votes,State House,18,,Clay,106 - Cornerstone Bapt Church,98,30,51,17
Registered Voters,,,,Clay,110 - Middleburg Civic Center,3224,,,
Ballots Cast,,,,Clay,110 - Middleburg Civic Center,2481,389,1496,596
Ballots Cast Blank,,,,Clay,110 - Middleburg Civic Center,50,13,29,8
Donald J Trump,President ,,REP,Clay,110 - Middleburg Civic Center,1859,326,1188,345
Joseph R Biden,President ,,DEM,Clay,110 - Middleburg Civic Center,570,50,283,237
Jo Jorgensen ,President ,,LPF,Clay,110 - Middleburg Civic Center,36,9,16,11
"Roque ""Rocky"" De La Fuente",President ,,REF,Clay,110 - Middleburg Civic Center,0,0,0,0
Gloria La Riva ,President ,,PSL,Clay,110 - Middleburg Civic Center,2,0,1,1
Howie Hawkins,President ,,GRE,Clay,110 - Middleburg Civic Center,3,2,1,0
Don Blankenship,President ,,CPF,Clay,110 - Middleburg Civic Center,0,0,0,0
Write-In,President ,,NPA,Clay,110 - Middleburg Civic Center,6,1,4,1
Over Votes,President ,,,Clay,110 - Middleburg Civic Center,4,1,2,1
Under Votes,President ,,,Clay,110 - Middleburg Civic Center,1,0,1,0
Kat Cammack,US House,3,REP,Clay,110 - Middleburg Civic Center,1831,317,1179,335
Adam Christensen,US House,3,DEM,Clay,110 - Middleburg Civic Center,596,57,298,241
Over Votes,US House,3,,Clay,110 - Middleburg Civic Center,1,0,1,0
Under Votes,US House,3,,Clay,110 - Middleburg Civic Center,53,15,18,20
