county,party,office,district,candidate,votes,election_day,absentee,early_voting,provisional
Alachua,REP,President,,Trump / Pence,50972,14773,14358,21772,69
Baker,REP,President,,Trump / Pence,11911,3398,2070,6443,0
Bay,REP,President,,Trump / Pence,66097,49976,16121,,
Bradford,REP,President,,Trump / Pence,10334,3716,2514,4104,0
Brevard,REP,President,,Trump / Pence,207883,,,,
Broward,REP,President,,Trump / Pence,333409,62953,116199,154182,75
Calhoun,REP,President,,Trump / Pence,5274,,,,
Charlotte,REP,President,,Trump / Pence,73243,,,,
Citrus,REP,President,,Trump / Pence,65352,,,,
Clay,REP,President,,Trump / Pence,84480,18874,17723,47883,
Collier,REP,President,,Trump / Pence,128950,,,,
Columbia,REP,President,,Trump / Pence,23836,,,,
Desoto,REP,President,,Trump / Pence,8313,,,,
Dixie,REP,President,,Trump / Pence,6759,,,,
Duval,REP,President,,Trump / Pence,233762,,,,
Escambia,REP,President,,Trump / Pence,96674,,,,
Flagler,REP,President,,Trump / Pence,43043,8630,13933,20480,
Franklin,REP,President,,Trump / Pence,4675,,,,
Gadsden,REP,President,,Trump / Pence,7465,,,,
Gilchrist,REP,President,,Trump / Pence,7895,,,,
Glades,REP,President,,Trump / Pence,3782,,,,
Gulf,REP,President,,Trump / Pence,6113,,,,
Hamilton,REP,President,,Trump / Pence,3815,,,,
Hardee,REP,President,,Trump / Pence,6122,,,,
Hendry,REP,President,,Trump / Pence,7906,1800,1706,4400,0
Hernando,REP,President,,Trump / Pence,70412,19173,23834,27376,29
Highlands,REP,President,,Trump / Pence,34873,9098,10310,15433,32
Hillsborough,REP,President,,Trump / Pence,327398,,,,
Holmes,REP,President,,Trump / Pence,8080,,,,
Indian River,REP,President,,Trump / Pence,58872,,,,
Jackson,REP,President,,Trump / Pence,15488,,,,
Jefferson,REP,President,,Trump / Pence,4479,,,,
Lafayette,REP,President,,Trump / Pence,3128,,,,
Lake,REP,President,,Trump / Pence,125859,,,,
Lee,REP,President,,Trump / Pence,233247,,,,
Leon,REP,President,,Trump / Pence,57453,15625,16356,25472,
Levy,REP,President,,Trump / Pence,16749,,,,
Liberty,REP,President,,Trump / Pence,2846,,,,
Madison,REP,President,,Trump / Pence,5576,,,,
Manatee,REP,President,,Trump / Pence,124987,,,,
Marion,REP,President,,Trump / Pence,127826,,,,
Martin,REP,President,,Trump / Pence,61168,,,,
Miami-Dade,REP,President,,Trump / Pence,532833,,,,
Monroe,REP,President,,Trump / Pence,25693,,,,
Nassau,REP,President,,Trump / Pence,42566,,,,
Okaloosa,REP,President,,Trump / Pence,79798,18700,19304,41702,92
Okeechobee,REP,President,,Trump / Pence,11470,,,,
Orange,REP,President,,Trump / Pence,245398,57524,78988,108808,78
Osceola,REP,President,,Trump / Pence,73480,,,,
Palm Beach,REP,President,,Trump / Pence,334711,,,,
Pasco,REP,President,,Trump / Pence,179621,,,,
Pinellas,REP,President,,Trump / Pence,276209,,,,
Polk,REP,President,,Trump / Pence,194586,,,,
Putnam,REP,President,,Trump / Pence,25514,,,,
Santa Rosa,REP,President,,Trump / Pence,77385,,,,
Sarasota,REP,President,,Trump / Pence,148370,,,,
Seminole,REP,President,,Trump / Pence,125241,,,,
St. Johns,REP,President,,Trump / Pence,110946,,,,
St. Lucie,REP,President,,Trump / Pence,86831,,,,
Sumter,REP,President,,Trump / Pence,62761,,,,
Suwannee,REP,President,,Trump / Pence,16410,,,,
Taylor,REP,President,,Trump / Pence,7751,,,,
Union,REP,President,,Trump / Pence,5133,,,,
Volusia,REP,President,,Trump / Pence,173821,,,,
Wakulla,REP,President,,Trump / Pence,12874,,,,
Walton,REP,President,,Trump / Pence,32947,,,,
Washington,REP,President,,Trump / Pence,9876,,,,
Alachua,DEM,President,,Biden / Harris,89704,11451,46166,31955,132
Baker,DEM,President,,Biden / Harris,2037,572,722,743,0
Bay,DEM,President,,Biden / Harris,25614,13289,12325,,
Bradford,DEM,President,,Biden / Harris,3160,,,,
Brevard,DEM,President,,Biden / Harris,148549,,,,
Broward,DEM,President,,Biden / Harris,618752,58643,352424,207575,110
Calhoun,DEM,President,,Biden / Harris,1209,,,,
Charlotte,DEM,President,,Biden / Harris,42273,,,,
Citrus,DEM,President,,Biden / Harris,27092,,,,
Clay,DEM,President,,Biden / Harris,38317,4989,16052,17276,
Collier,DEM,President,,Biden / Harris,77621,,,,
Columbia,DEM,President,,Biden / Harris,8914,,,,
Desoto,DEM,President,,Biden / Harris,4259,,,,
Dixie,DEM,President,,Biden / Harris,1365,,,,
Duval,DEM,President,,Biden / Harris,252556,,,,
Escambia,DEM,President,,Biden / Harris,70929,,,,
Flagler,DEM,President,,Biden / Harris,28161,2945,17435,7781,
Franklin,DEM,President,,Biden / Harris,2120,,,,
Gadsden,DEM,President,,Biden / Harris,16153,,,,
Gilchrist,DEM,President,,Biden / Harris,1700,,,,
Glades,DEM,President,,Biden / Harris,1385,,,,
Gulf,DEM,President,,Biden / Harris,1985,,,,
Hamilton,DEM,President,,Biden / Harris,1963,,,,
Hardee,DEM,President,,Biden / Harris,2298,,,,
Hendry,DEM,President,,Biden / Harris,4929,996,1547,2386,0
Hernando,DEM,President,,Biden / Harris,37519,5272,22564,9658,25
Highlands,DEM,President,,Biden / Harris,16938,,,,
Hillsborough,DEM,President,,Biden / Harris,376367,,,,
Holmes,DEM,President,,Biden / Harris,924,,,,
Indian River,DEM,President,,Biden / Harris,37844,,,,
Jackson,DEM,President,,Biden / Harris,6766,,,,
Jefferson,DEM,President,,Biden / Harris,3897,,,,
Lafayette,DEM,President,,Biden / Harris,510,,,,
Lake,DEM,President,,Biden / Harris,83505,,,,
Lee,DEM,President,,Biden / Harris,157695,,,,
Leon,DEM,President,,Biden / Harris,103517,15338,49560,38619,
Levy,DEM,President,,Biden / Harris,6205,,,,
Liberty,DEM,President,,Biden / Harris,694,,,,
Madison,DEM,President,,Biden / Harris,3747,,,,
Manatee,DEM,President,,Biden / Harris,90166,,,,
Marion,DEM,President,,Biden / Harris,74858,,,,
Martin,DEM,President,,Biden / Harris,36893,,,,
Miami-Dade,DEM,President,,Biden / Harris,617864,,,,
Monroe,DEM,President,,Biden / Harris,21881,,,,
Nassau,DEM,President,,Biden / Harris,15564,,,,
Okaloosa,DEM,President,,Biden / Harris,34248,4644,17236,12334,34
Okeechobee,DEM,President,,Biden / Harris,4390,,,,
Orange,DEM,President,,Biden / Harris,395014,49314,194837,150759,84
Osceola,DEM,President,,Biden / Harris,97297,,,,
Palm Beach,DEM,President,,Biden / Harris,433572,,,,
Pasco,DEM,President,,Biden / Harris,119073,,,,
Pinellas,DEM,President,,Biden / Harris,277450,,,,
Polk,DEM,President,,Biden / Harris,145049,,,,
Putnam,DEM,President,,Biden / Harris,10527,,,,
Santa Rosa,DEM,President,,Biden / Harris,27612,,,,
Sarasota,DEM,President,,Biden / Harris,120110,,,,
Seminole,DEM,President,,Biden / Harris,132528,,,,
St. Johns,DEM,President,,Biden / Harris,63850,,,,
St. Lucie,DEM,President,,Biden / Harris,84137,,,,
Sumter,DEM,President,,Biden / Harris,29341,,,,
Suwannee,DEM,President,,Biden / Harris,4485,,,,
Taylor,DEM,President,,Biden / Harris,2299,,,,
Union,DEM,President,,Biden / Harris,1053,,,,
Volusia,DEM,President,,Biden / Harris,130575,,,,
Wakulla,DEM,President,,Biden / Harris,5351,,,,
Walton,DEM,President,,Biden / Harris,10338,,,,
Washington,DEM,President,,Biden / Harris,2347,,,,
Alachua,LPF,President,,Jorgensen / Cohen,1390,476,486,428,0
Baker,LPF,President,,Jorgensen / Cohen,93,,,,
Bay,LPF,President,,Jorgensen / Cohen,1004,701,303,,
Bradford,LPF,President,,Jorgensen / Cohen,110,43,30,37,0
Brevard,LPF,President,,Jorgensen / Cohen,3178,,,,
Broward,LPF,President,,Jorgensen / Cohen,3114,691,1559,863,1
Calhoun,LPF,President,,Jorgensen / Cohen,29,,,,
