county,precinct,office,district,candidate,party,votes,election_day,early_voting,mail,provisional
Calhoun,Carr-Clark VFD 302,Registered Voters,,,,688,,,,
Calhoun,Carr-Clark VFD 302,Ballots Cast,,,,529,184,207,137,1
Calhoun,Carr-Clark VFD 302,Ballots Cast Blank,,,,0,0,0,0,0
Calhoun,Carr-Clark VFD 302,President,,Donald J. Trump,REP,480,176,194,109,1
Calhoun,Carr-Clark VFD 302,President,,Joseph R. Biden,DEM,42,6,11,25,0
Calhoun,Carr-Clark VFD 302,President,,Jorgensen / Cohen,LPF,1,0,1,0,0
Calhoun,Carr-Clark VFD 302,President,,De La Fuente / Richardson,REF,1,1,0,0,0
Calhoun,Carr-Clark VFD 302,President,,La Riva / Freeman,PSL,0,0,0,0,0
Calhoun,Carr-Clark VFD 302,President,,Hawkins / Walker,GRE,0,0,0,0,0
Calhoun,Carr-Clark VFD 302,President,,Blankenship / Mohr,CPF,0,0,0,0,0
Calhoun,Carr-Clark VFD 302,President,,Write-In,,1,0,0,1,0
Calhoun,Carr-Clark VFD 302,President,,Over Votes,,0,0,0,0,0
Calhoun,Carr-Clark VFD 302,President,,Under Votes,,4,1,1,2,0
Calhoun,Carr-Clark VFD 302,U.S. House,2,Neal Dunn,REP,499,175,197,127,0
Calhoun,Carr-Clark VFD 302,U.S. House,2,Write-In,,1,0,0,1,0
Calhoun,Carr-Clark VFD 302,U.S. House,2,Over Votes,,0,0,0,0,0
Calhoun,Carr-Clark VFD 302,U.S. House,2,Under Votes,,29,9,10,9,1
Calhoun,Carr-Clark VFD 302,State Senate,3,Marva Harris Preston,REP,423,152,175,96,0
Calhoun,Carr-Clark VFD 302,State Senate,3,Lorranne Ausley,DEM,68,23,19,26,0
Calhoun,Carr-Clark VFD 302,State Senate,3,Over Votes,,0,0,0,0,0
Calhoun,Carr-Clark VFD 302,State Senate,3,Under Votes,,38,9,13,15,1
Calhoun,Carr-Clark VFD 302,State Representative,7,Jason Shoaf,REP,459,165,181,113,0
Calhoun,Carr-Clark VFD 302,State Representative,7,Taymour Khan,DEM,35,8,12,15,0
Calhoun,Carr-Clark VFD 302,State Representative,7,Over Votes,,0,0,0,0,0
Calhoun,Carr-Clark VFD 302,State Representative,7,Under Votes,,35,11,14,9,1
Calhoun,Carr-Clark VFD 502,Registered Voters,,,,221,,,,
Calhoun,Carr-Clark VFD 502,Ballots Cast,,,,174,70,56,47,1
Calhoun,Carr-Clark VFD 502,Ballots Cast Blank,,,,0,0,0,0,0
Calhoun,Carr-Clark VFD 502,President,,Donald J. Trump,REP,154,62,52,39,1
Calhoun,Carr-Clark VFD 502,President,,Joseph R. Biden,DEM,17,6,4,7,0
Calhoun,Carr-Clark VFD 502,President,,Jorgensen / Cohen,LPF,2,2,0,0,0
Calhoun,Carr-Clark VFD 502,President,,De La Fuente / Richardson,REF,0,0,0,0,0
Calhoun,Carr-Clark VFD 502,President,,La Riva / Freeman,PSL,0,0,0,0,0
Calhoun,Carr-Clark VFD 502,President,,Hawkins / Walker,GRE,0,0,0,0,0
