candidate,office,district,party,county,precinct,votes,election_day,mail,early_voting,provisional
Registered Voters,,,,Liberty,Rock Bluff,380,,,,
Ballots Cast,,,,Liberty,Rock Bluff,287,113,78,96,0
Ballots Cast Blank,,,,Liberty,Rock Bluff,0,0,0,0,0
Donald J Trump,President,,REP,Liberty,Rock Bluff,85,22,17,46,0
Joseph R Biden,President,,DEM,Liberty,Rock Bluff,200,91,59,50,0
Jo Jorgensen,President,,LPF,Liberty,Rock Bluff,1,0,1,0,0
De La Fuente,President,,REF,Liberty,Rock Bluff,0,0,0,0,0
La Riva,President,,PSL,Liberty,Rock Bluff,0,0,0,0,0
Howie Hawkins,President,,GRE,Liberty,Rock Bluff,0,0,0,0,0
Don Blankenship,President,,CPF,Liberty,Rock Bluff,0,0,0,0,0
Write-In,President,,,Liberty,Rock Bluff,0,0,0,0,0
Neal Dunn,U.S. House,2,REP,Liberty,Rock Bluff,147,49,40,58,0
Write-In,U.S. House,2,,Liberty,Rock Bluff,30,10,11,9,0
Marva Harris Preston,State Senate,3,REP,Liberty,Rock Bluff,86,26,21,39,0
Loranne Ausley,State Senate,3,DEM,Liberty,Rock Bluff,184,77,54,53,0
Jason Shoaf,State House,7,REP,Liberty,Rock Bluff,85,24,21,40,0
Taymour Khan,State House,7,DEM,Liberty,Rock Bluff,173,73,55,45,0
Registered Voters,,,,Liberty,Annex,304,,,,
Ballots Cast,,,,Liberty,Annex,205,45,47,113,0
Ballots Cast Blank,,,,Liberty,Annex,0,0,0,0,0
Donald J Trump,President,,REP,Liberty,Annex,105,26,13,66,0
Joseph R Biden,President,,DEM,Liberty,Annex,96,17,34,45,0
Jo Jorgensen,President,,LPF,Liberty,Annex,1,0,0,1,0
De La Fuente,President,,REF,Liberty,Annex,0,0,0,0,0
La Riva,President,,PSL,Liberty,Annex,1,1,0,0,0
Howie Hawkins,President,,GRE,Liberty,Annex,1,1,0,0,0
Don Blankenship,President,,CPF,Liberty,Annex,0,0,0,0,0
Write-In,President,,,Liberty,Annex,0,0,0,0,0
Neal Dunn,U.S. House,2,REP,Liberty,Annex,144,34,27,83,0
Write-In,U.S. House,2,,Liberty,Annex,7,1,4,2,0
Marva Harris Preston,State Senate,3,REP,Liberty,Annex,101,22,19,60,0
Loranne Ausley,State Senate,3,DEM,Liberty,Annex,96,20,28,48,0
Jason Shoaf,State House,7,REP,Liberty,Annex,107,27,15,65,0
Taymour Khan,State House,7,DEM,Liberty,Annex,87,16,31,40,0
Registered Voters,,,,Liberty,Bristol,1088,,,,
Ballots Cast,,,,Liberty,Bristol,846,211,176,459,0
Ballots Cast Blank,,,,Liberty,Bristol,0,0,0,0,0
Donald J Trump,President,,REP,Liberty,Bristol,712,181,130,401,0
Joseph R Biden,President,,DEM,Liberty,Bristol,125,28,45,52,0
Jo Jorgensen,President,,LPF,Liberty,Bristol,3,0,0,3,0
De La Fuente,President,,REF,Liberty,Bristol,0,0,0,0,0
La Riva,President,,PSL,Liberty,Bristol,1,1,0,0,0
Howie Hawkins,President,,GRE,Liberty,Bristol,0,0,0,0,0
Don Blankenship,President,,CPF,Liberty,Bristol,0,0,0,0,0
Write-In,President,,,Liberty,Bristol,2,0,0,2,0
Neal Dunn,U.S. House,2,REP,Liberty,Bristol,743,173,154,416,0
Write-In,U.S. House,2,,Liberty,Bristol,10,2,5,3,0
Marva Harris Preston,State Senate,3,REP,Liberty,Bristol,633,157,106,370,0
Loranne Ausley,State Senate,3,DEM,Liberty,Bristol,166,37,58,71,0
Jason Shoaf,State House,7,REP,Liberty,Bristol,671,156,125,390,0
Taymour Khan,State House,7,DEM,Liberty,Bristol,113,31,39,43,0
Registered Voters,,,,Liberty,Lake Mystic,1027,,,,
Ballots Cast,,,,Liberty,Lake Mystic,827,203,189,435,0
Ballots Cast Blank,,,,Liberty,Lake Mystic,0,0,0,0,0
Donald J Trump,President,,REP,Liberty,Lake Mystic,744,188,151,405,0
Joseph R Biden,President,,DEM,Liberty,Lake Mystic,75,14,35,26,0
Jo Jorgensen,President,,LPF,Liberty,Lake Mystic,2,0,0,2,0
De La Fuente,President,,REF,Liberty,Lake Mystic,2,0,2,0,0
La Riva,President,,PSL,Liberty,Lake Mystic,0,0,0,0,0
Howie Hawkins,President,,GRE,Liberty,Lake Mystic,0,0,0,0,0
Don Blankenship,President,,CPF,Liberty,Lake Mystic,0,0,0,0,0
Write-In,President,,,Liberty,Lake Mystic,0,0,0,0,0
Neal Dunn,U.S. House,2,REP,Liberty,Lake Mystic,739,186,162,391,0
Write-In,U.S. House,2,,Liberty,Lake Mystic,8,2,3,3,0
Marva Harris Preston,State Senate,3,REP,Liberty,Lake Mystic,669,160,142,367,0
Loranne Ausley,State Senate,3,DEM,Liberty,Lake Mystic,119,34,41,44,0
Jason Shoaf,State House,7,REP,Liberty,Lake Mystic,712,176,149,387,0
Taymour Khan,State House,7,DEM,Liberty,Lake Mystic,61,14,25,22,0
Registered Voters,,,,Liberty,Hosford,647,,,,
Ballots Cast,,,,Liberty,Hosford,509,138,79,292,0
Ballots Cast Blank,,,,Liberty,Hosford,0,0,0,0,0
Donald J Trump,President,,REP,Liberty,Hosford,418,125,54,239,0
Joseph R Biden,President,,DEM,Liberty,Hosford,81,9,24,48,0
Jo Jorgensen,President,,LPF,Liberty,Hosford,5,2,0,3,0
De La Fuente,President,,REF,Liberty,Hosford,0,0,0,0,0
La Riva,President,,PSL,Liberty,Hosford,0,0,0,0,0
