county,precinct,office,district,party,candidate,votes,early_voting,absentee,election_day,provisional
Suwannee,Precinct 1 - Recreation Center,,,,Ballots Cast,1560,683,482,395,0
Suwannee,Precinct 1 - Recreation Center,,,,Ballots Cast Blank,0,0,0,0,0
Suwannee,Precinct 1 - Recreation Center,President,,REP,Donald J. Trump,638,278,152,208,0
Suwannee,Precinct 1 - Recreation Center,President,,DEM,Joseph R. Biden,908,401,327,180,0
Suwannee,Precinct 1 - Recreation Center,President,,LPF,Jo Jorgensen,6,1,0,5,0
Suwannee,Precinct 1 - Recreation Center,President,,REF,De La Fuente,0,0,0,0,0
Suwannee,Precinct 1 - Recreation Center,President,,PSL,La Riva,1,1,0,0,0
Suwannee,Precinct 1 - Recreation Center,President,,GRE,Howie Hawkins,1,0,0,1,0
Suwannee,Precinct 1 - Recreation Center,President,,CPF,Don Blankenship,0,0,0,0,0
Suwannee,Precinct 1 - Recreation Center,President,,,Write-In,0,0,0,0,0
Suwannee,Precinct 1 - Recreation Center,President,,,Over Votes,5,1,3,1,0
Suwannee,Precinct 1 - Recreation Center,President,,,Under Votes,1,1,0,0,0
Suwannee,Precinct 1 - Recreation Center,U.S. House,2,REP,Neal Dunn,998,435,262,301,0
Suwannee,Precinct 1 - Recreation Center,U.S. House,2,DEM,Write-In,21,7,13,1,0
Suwannee,Precinct 1 - Recreation Center,U.S. House,2,,Over Votes,0,0,0,0,0
Suwannee,Precinct 1 - Recreation Center,U.S. House,2,,Under Votes,455,205,178,72,0
Suwannee,Precinct 1 - Recreation Center,State Senate,5,REP,Jennifer Bradley,660,296,156,208,0
Suwannee,Precinct 1 - Recreation Center,State Senate,5,DEM,Melina Rayna Barratt,825,352,304,169,0
Suwannee,Precinct 1 - Recreation Center,State Senate,5,,Over Votes,1,0,0,1,0
Suwannee,Precinct 1 - Recreation Center,State Senate,5,,Under Votes,74,35,22,17,0
Suwannee,Precinct 1 - Recreation Center,State House,10,REP,Chuck Brannan,662,296,155,211,0
Suwannee,Precinct 1 - Recreation Center,State House,10,DEM,Rock Aboujaoude Jr,802,345,290,167,0
Suwannee,Precinct 1 - Recreation Center,State House,10,,Over Votes,1,1,0,0,0
Suwannee,Precinct 1 - Recreation Center,State House,10,,Under Votes,95,41,37,17,0
Suwannee,Precinct 2 - Church of God,,,,Ballots Cast,1590,711,485,393,1
Suwannee,Precinct 2 - Church of God,,,,Ballots Cast Blank,0,0,0,0,0
Suwannee,Precinct 2 - Church of God,President,,REP,Donald J. Trump,1181,556,308,316,1
Suwannee,Precinct 2 - Church of God,President,,DEM,Joseph R. Biden,385,150,161,74,0
Suwannee,Precinct 2 - Church of God,President,,LPF,Jo Jorgensen,9,3,4,2,0
Suwannee,Precinct 2 - Church of God,President,,REF,De La Fuente,2,0,2,0,0
Suwannee,Precinct 2 - Church of God,President,,PSL,La Riva,1,0,1,0,0
Suwannee,Precinct 2 - Church of God,President,,GRE,Howie Hawkins,1,0,1,0,0
Suwannee,Precinct 2 - Church of God,President,,CPF,Don Blankenship,0,0,0,0,0
Suwannee,Precinct 2 - Church of God,President,,,Write-In,2,0,2,0,0
Suwannee,Precinct 2 - Church of God,President,,,Over Votes,6,0,6,0,0
Suwannee,Precinct 2 - Church of God,President,,,Under Votes,3,2,0,1,0
Suwannee,Precinct 2 - Church of God,U.S. House,2,REP,Neal Dunn,1333,606,379,347,1
Suwannee,Precinct 2 - Church of God,U.S. House,2,DEM,Write-In,6,0,5,1,0
Suwannee,Precinct 2 - Church of God,U.S. House,2,,Over Votes,0,0,0,0,0
Suwannee,Precinct 2 - Church of God,U.S. House,2,,Under Votes,224,93,93,38,0
Suwannee,Precinct 2 - Church of God,State Senate,5,REP,Jennifer Bradley,1171,542,323,305,1
Suwannee,Precinct 2 - Church of God,State Senate,5,DEM,Melina Rayna Barratt,361,146,140,75,0
Suwannee,Precinct 2 - Church of God,State Senate,5,,Over Votes,0,0,0,0,0
Suwannee,Precinct 2 - Church of God,State Senate,5,,Under Votes,58,23,22,13,0
Suwannee,Precinct 2 - Church of God,State House,10,REP,Chuck Brannan,1169,538,317,313,1
Suwannee,Precinct 2 - Church of God,State House,10,DEM,Rock Aboujaoude Jr,346,132,144,70,0
Suwannee,Precinct 2 - Church of God,State House,10,,Over Votes,0,0,0,0,0
Suwannee,Precinct 2 - Church of God,State House,10,,Under Votes,75,41,24,10,0
Suwannee,Precinct 3 - Presbyterian Church,,,,Ballots Cast,1322,541,440,340,1
Suwannee,Precinct 3 - Presbyterian Church,,,,Ballots Cast Blank,0,0,0,0,0
Suwannee,Precinct 3 - Presbyterian Church,President,,REP,Donald J. Trump,984,412,294,278,0
Suwannee,Precinct 3 - Presbyterian Church,President,,DEM,Joseph R. Biden,322,122,141,58,1
Suwannee,Precinct 3 - Presbyterian Church,President,,LPF,Jo Jorgensen,4,3,0,1,0
Suwannee,Precinct 3 - Presbyterian Church,President,,REF,De La Fuente,1,1,0,0,0
Suwannee,Precinct 3 - Presbyterian Church,President,,PSL,La Riva,0,0,0,0,0
Suwannee,Precinct 3 - Presbyterian Church,President,,GRE,Howie Hawkins,1,1,0,0,0
Suwannee,Precinct 3 - Presbyterian Church,President,,CPF,Don Blankenship,1,0,0,1,0
Suwannee,Precinct 3 - Presbyterian Church,President,,,Write-In,0,0,0,0,0
Suwannee,Precinct 3 - Presbyterian Church,President,,,Over Votes,5,1,3,1,0
Suwannee,Precinct 3 - Presbyterian Church,President,,,Under Votes,4,1,2,1,0
Suwannee,Precinct 3 - Presbyterian Church,U.S. House,2,REP,Neal Dunn,1115,462,347,305,1
Suwannee,Precinct 3 - Presbyterian Church,U.S. House,2,DEM,Write-In,10,5,4,1,0
Suwannee,Precinct 3 - Presbyterian Church,U.S. House,2,,Over Votes,0,0,0,0,0
Suwannee,Precinct 3 - Presbyterian Church,U.S. House,2,,Under Votes,173,66,75,32,0
Suwannee,Precinct 3 - Presbyterian Church,State Senate,5,REP,Jennifer Bradley,962,403,293,266,0
Suwannee,Precinct 3 - Presbyterian Church,State Senate,5,DEM,Melina Rayna Barratt,305,121,121,62,1
Suwannee,Precinct 3 - Presbyterian Church,State Senate,5,,Over Votes,0,0,0,0,0
Suwannee,Precinct 3 - Presbyterian Church,State Senate,5,,Under Votes,55,17,26,12,0
Suwannee,Precinct 3 - Presbyterian Church,State House,10,REP,Chuck Brannan,986,410,303,272,1
Suwannee,Precinct 3 - Presbyterian Church,State House,10,DEM,Rock Aboujaoude Jr,282,113,115,54,0
Suwannee,Precinct 3 - Presbyterian Church,State House,10,,Over Votes,0,0,0,0,0
