county,precinct,office,district,party,candidate,election_day,early_voting,mail,votes
Orange,101,President,,REP,Donald J. Trump,216,621,408,1245
Orange,101,President,,DEM,Joseph R. Biden,192,900,1078,2170
Orange,101,President,,LPF,Jo Jorgensen,,,,19
Orange,101,President,,REF,"Roque ""Rocky"" De La Fuente",,,,1
Orange,101,President,,PSL,Gloria La Riva,,,,2
Orange,101,President,,GRE,Howie Hawkins,,,,6
Orange,101,President,,CPF,Don Blankenship,,,,3
Orange,101,President,,,WRITE-IN,,,,9
Orange,101,President,,,OVER VOTES,,,,8
Orange,101,President,,,UNDER VOTES,,,,4
Orange,102,President,,REP,Donald J. Trump,119,468,301,888
Orange,102,President,,DEM,Joseph R. Biden,91,542,749,1382
Orange,102,President,,LPF,Jo Jorgensen,,,,17
Orange,102,President,,REF,"Roque ""Rocky"" De La Fuente",,,,2
Orange,102,President,,PSL,Gloria La Riva,,,,2
Orange,102,President,,GRE,Howie Hawkins,,,,2
Orange,102,President,,CPF,Don Blankenship,,,,0
Orange,102,President,,,WRITE-IN,,,,7
Orange,102,President,,,OVER VOTES,,,,2
Orange,102,President,,,UNDER VOTES,,,,7
Orange,103,President,,REP,Donald J. Trump,212,504,288,1004
Orange,103,President,,DEM,Joseph R. Biden,101,453,649,1203
Orange,103,President,,LPF,Jo Jorgensen,,,,21
Orange,103,President,,REF,"Roque ""Rocky"" De La Fuente",,,,1
Orange,103,President,,PSL,Gloria La Riva,,,,0
Orange,103,President,,GRE,Howie Hawkins,,,,1
Orange,103,President,,CPF,Don Blankenship,,,,1
Orange,103,President,,,WRITE-IN,,,,8
Orange,103,President,,,OVER VOTES,,,,2
Orange,103,President,,,UNDER VOTES,,,,16
Orange,104,President,,REP,Donald J. Trump,,,,1333
Orange,104,President,,DEM,Joseph R. Biden,237,843,914,1994
Orange,104,President,,LPF,Jo Jorgensen,,,,21
Orange,104,President,,REF,"Roque ""Rocky"" De La Fuente",,,,2
Orange,104,President,,PSL,Gloria La Riva,,,,5
Orange,104,President,,GRE,Howie Hawkins,,,,8
Orange,104,President,,CPF,Don Blankenship,,,,0
Orange,104,President,,,WRITE-IN,,,,10
Orange,104,President,,,OVER VOTES,,,,7
Orange,104,President,,,UNDER VOTES,,,,10
Orange,105,President,,REP,Donald J. Trump,148,236,171,555
Orange,105,President,,DEM,Joseph R. Biden,222,534,575,1331
Orange,105,President,,LPF,Jo Jorgensen,,,,13
Orange,105,President,,REF,"Roque ""Rocky"" De La Fuente",,,,1
Orange,105,President,,PSL,Gloria La Riva,,,,2
Orange,105,President,,GRE,Howie Hawkins,,,,0
Orange,105,President,,CPF,Don Blankenship,,,,0
Orange,105,President,,,WRITE-IN,,,,9
Orange,105,President,,,OVER VOTES,,,,17
Orange,105,President,,,UNDER VOTES,,,,7
Orange,106,President,,REP,Donald J. Trump,346,946,511,1803
Orange,106,President,,DEM,Joseph R. Biden,,,,1831
Orange,106,President,,LPF,Jo Jorgensen,,,,31
Orange,106,President,,REF,"Roque ""Rocky"" De La Fuente",,,,0
Orange,106,President,,PSL,Gloria La Riva,,,,3
Orange,106,President,,GRE,Howie Hawkins,,,,8
Orange,106,President,,CPF,Don Blankenship,,,,4
Orange,106,President,,,WRITE-IN,,,,8
Orange,106,President,,,OVER VOTES,,,,11
Orange,106,President,,,UNDER VOTES,,,,15
Orange,107,President,,REP,Donald J. Trump,,,,1695
Orange,107,President,,DEM,Joseph R. Biden,108,398,581,1087
Orange,107,President,,LPF,Jo Jorgensen,,,,29
Orange,107,President,,REF,"Roque ""Rocky"" De La Fuente",,,,1
Orange,107,President,,PSL,Gloria La Riva,,,,0
Orange,107,President,,GRE,Howie Hawkins,,,,2
Orange,107,President,,CPF,Don Blankenship,,,,3
Orange,107,President,,,WRITE-IN,,,,13
Orange,107,President,,,OVER VOTES,,,,6
Orange,107,President,,,UNDER VOTES,,,,9
Orange,108,President,,REP,Donald J. Trump,283,673,527,1483
Orange,108,President,,DEM,Joseph R. Biden,179,595,855,1629
Orange,108,President,,LPF,Jo Jorgensen,,,,19
Orange,108,President,,REF,"Roque ""Rocky"" De La Fuente",,,,5
Orange,108,President,,PSL,Gloria La Riva,,,,5
Orange,108,President,,GRE,Howie Hawkins,,,,7
Orange,108,President,,CPF,Don Blankenship,,,,0
Orange,108,President,,,WRITE-IN,,,,10
Orange,108,President,,,OVER VOTES,,,,12
Orange,108,President,,,UNDER VOTES,,,,6
Orange,109,President,,REP,Donald J. Trump,378,1124,661,2163
Orange,109,President,,DEM,Joseph R. Biden,,,,2888
Orange,109,President,,LPF,Jo Jorgensen,,,,46
Orange,109,President,,REF,"Roque ""Rocky"" De La Fuente",,,,3
Orange,109,President,,PSL,Gloria La Riva,,,,2
Orange,109,President,,GRE,Howie Hawkins,,,,2
Orange,109,President,,CPF,Don Blankenship,,,,2
Orange,109,President,,,WRITE-IN,,,,15
Orange,109,President,,,OVER VOTES,,,,17
Orange,109,President,,,UNDER VOTES,,,,22
Orange,110,President,,REP,Donald J. Trump,,,,1633
