county,precint,office,district,candidate,party,votes
Escambia,Precinct 1,President,,Donald J. Trump,REP,2129
Escambia,Precinct 3,President,,Donald J. Trump,REP,1547
Escambia,Precinct 5,President,,Donald J. Trump,REP,1824
Escambia,Precinct 6,President,,Donald J. Trump,REP,992
Escambia,Precinct 7,President,,Donald J. Trump,REP,3747
Escambia,Precinct 11,President,,Donald J. Trump,REP,765
Escambia,Precinct 14,President,,Donald J. Trump,REP,275
Escambia,Precinct 15,President,,Donald J. Trump,REP,1011
Escambia,Precinct 18,President,,Donald J. Trump,REP,425
Escambia,Precinct 19,President,,Donald J. Trump,REP,2904
Escambia,Precinct 21,President,,Donald J. Trump,REP,1608
Escambia,Precinct 22,President,,Donald J. Trump,REP,341
Escambia,Precinct 23,President,,Donald J. Trump,REP,604
Escambia,Precinct 24,President,,Donald J. Trump,REP,1742
Escambia,Precinct 25,President,,Donald J. Trump,REP,596
Escambia,Precinct 26,President,,Donald J. Trump,REP,3042
Escambia,Precinct 28,President,,Donald J. Trump,REP,266
Escambia,Precinct 29,President,,Donald J. Trump,REP,541
Escambia,Precinct 30,President,,Donald J. Trump,REP,1297
Escambia,Precinct 31,President,,Donald J. Trump,REP,421
Escambia,Precinct 32,President,,Donald J. Trump,REP,234
Escambia,Precinct 33,President,,Donald J. Trump,REP,927
Escambia,Precinct 34,President,,Donald J. Trump,REP,405
Escambia,Precinct 35,President,,Donald J. Trump,REP,996
Escambia,Precinct 36,President,,Donald J. Trump,REP,1914
Escambia,Precinct 38,President,,Donald J. Trump,REP,2202
Escambia,Precinct 40,President,,Donald J. Trump,REP,771
Escambia,Precinct 41,President,,Donald J. Trump,REP,820
Escambia,Precinct 42,President,,Donald J. Trump,REP,1479
Escambia,Precinct 43,President,,Donald J. Trump,REP,3352
Escambia,Precinct 46,President,,Donald J. Trump,REP,1303
Escambia,Precinct 47,President,,Donald J. Trump,REP,327
Escambia,Precinct 48,President,,Donald J. Trump,REP,173
Escambia,Precinct 49,President,,Donald J. Trump,REP,633
Escambia,Precinct 50,President,,Donald J. Trump,REP,237
Escambia,Precinct 51,President,,Donald J. Trump,REP,1381
Escambia,Precinct 54,President,,Donald J. Trump,REP,1047
Escambia,Precinct 55,President,,Donald J. Trump,REP,1128
Escambia,Precinct 56,President,,Donald J. Trump,REP,553
Escambia,Precinct 58,President,,Donald J. Trump,REP,527
Escambia,Precinct 60,President,,Donald J. Trump,REP,126
Escambia,Precinct 61,President,,Donald J. Trump,REP,1171
Escambia,Precinct 62,President,,Donald J. Trump,REP,1222
Escambia,Precinct 63,President,,Donald J. Trump,REP,51
Escambia,Precinct 64,President,,Donald J. Trump,REP,1150
Escambia,Precinct 67,President,,Donald J. Trump,REP,3249
Escambia,Precinct 68,President,,Donald J. Trump,REP,1171
Escambia,Precinct 69,President,,Donald J. Trump,REP,1819
Escambia,Precinct 70,President,,Donald J. Trump,REP,948
Escambia,Precinct 71,President,,Donald J. Trump,REP,686
Escambia,Precinct 72,President,,Donald J. Trump,REP,374
Escambia,Precinct 73,President,,Donald J. Trump,REP,2006
Escambia,Precinct 74,President,,Donald J. Trump,REP,3379
Escambia,Precinct 75,President,,Donald J. Trump,REP,1676
Escambia,Precinct 77,President,,Donald J. Trump,REP,603
Escambia,Precinct 80,President,,Donald J. Trump,REP,511
Escambia,Precinct 82,President,,Donald J. Trump,REP,276
Escambia,Precinct 83,President,,Donald J. Trump,REP,1089
Escambia,Precinct 86,President,,Donald J. Trump,REP,1290
Escambia,Precinct 88,President,,Donald J. Trump,REP,730
Escambia,Precinct 90,President,,Donald J. Trump,REP,242
Escambia,Precinct 91,President,,Donald J. Trump,REP,2548
Escambia,Precinct 94,President,,Donald J. Trump,REP,1676
Escambia,Precinct 95,President,,Donald J. Trump,REP,1202
Escambia,Precinct 97,President,,Donald J. Trump,REP,881
Escambia,Precinct 98,President,,Donald J. Trump,REP,484
Escambia,Precinct 99,President,,Donald J. Trump,REP,729
Escambia,Precinct 101,President,,Donald J. Trump,REP,1089
Escambia,Precinct 102,President,,Donald J. Trump,REP,1172
Escambia,Precinct 103,President,,Donald J. Trump,REP,437
Escambia,Precinct 104,President,,Donald J. Trump,REP,511
Escambia,Precinct 105,President,,Donald J. Trump,REP,2867
Escambia,Precinct 106,President,,Donald J. Trump,REP,842
Escambia,Precinct 107,President,,Donald J. Trump,REP,1918
Escambia,Precinct 108,President,,Donald J. Trump,REP,1504
Escambia,Precinct 110,President,,Donald J. Trump,REP,1234
Escambia,Precinct 111,President,,Donald J. Trump,REP,1510
Escambia,Precinct 112,President,,Donald J. Trump,REP,3508
Escambia,Precinct 113,President,,Donald J. Trump,REP,581
Escambia,Precinct 114,President,,Donald J. Trump,REP,1726
Escambia,Precinct 1,President,,Joseph R. Biden,DEM,1641
Escambia,Precinct 3,President,,Joseph R. Biden,DEM,1189
Escambia,Precinct 5,President,,Joseph R. Biden,DEM,675
Escambia,Precinct 6,President,,Joseph R. Biden,DEM,376
Escambia,Precinct 7,President,,Joseph R. Biden,DEM,1315
Escambia,Precinct 11,President,,Joseph R. Biden,DEM,162
Escambia,Precinct 14,President,,Joseph R. Biden,DEM,1287
Escambia,Precinct 15,President,,Joseph R. Biden,DEM,799
Escambia,Precinct 18,President,,Joseph R. Biden,DEM,46
Escambia,Precinct 19,President,,Joseph R. Biden,DEM,509
Escambia,Precinct 21,President,,Joseph R. Biden,DEM,822
Escambia,Precinct 22,President,,Joseph R. Biden,DEM,472
Escambia,Precinct 23,President,,Joseph R. Biden,DEM,58
Escambia,Precinct 24,President,,Joseph R. Biden,DEM,1111
Escambia,Precinct 25,President,,Joseph R. Biden,DEM,470
Escambia,Precinct 26,President,,Joseph R. Biden,DEM,1705
Escambia,Precinct 28,President,,Joseph R. Biden,DEM,1593
Escambia,Precinct 29,President,,Joseph R. Biden,DEM,915
Escambia,Precinct 30,President,,Joseph R. Biden,DEM,793
Escambia,Precinct 31,President,,Joseph R. Biden,DEM,1102
Escambia,Precinct 32,President,,Joseph R. Biden,DEM,236
Escambia,Precinct 33,President,,Joseph R. Biden,DEM,74
Escambia,Precinct 34,President,,Joseph R. Biden,DEM,1387
Escambia,Precinct 35,President,,Joseph R. Biden,DEM,807
Escambia,Precinct 36,President,,Joseph R. Biden,DEM,694
Escambia,Precinct 38,President,,Joseph R. Biden,DEM,952
Escambia,Precinct 40,President,,Joseph R. Biden,DEM,659
Escambia,Precinct 41,President,,Joseph R. Biden,DEM,1121
Escambia,Precinct 42,President,,Joseph R. Biden,DEM,908
Escambia,Precinct 43,President,,Joseph R. Biden,DEM,1249
Escambia,Precinct 46,President,,Joseph R. Biden,DEM,862
Escambia,Precinct 47,President,,Joseph R. Biden,DEM,678
Escambia,Precinct 48,President,,Joseph R. Biden,DEM,965
Escambia,Precinct 49,President,,Joseph R. Biden,DEM,684
Escambia,Precinct 50,President,,Joseph R. Biden,DEM,261
Escambia,Precinct 51,President,,Joseph R. Biden,DEM,1243
Escambia,Precinct 54,President,,Joseph R. Biden,DEM,708
Escambia,Precinct 55,President,,Joseph R. Biden,DEM,641
Escambia,Precinct 56,President,,Joseph R. Biden,DEM,995
Escambia,Precinct 58,President,,Joseph R. Biden,DEM,355
Escambia,Precinct 60,President,,Joseph R. Biden,DEM,594
Escambia,Precinct 61,President,,Joseph R. Biden,DEM,945
Escambia,Precinct 62,President,,Joseph R. Biden,DEM,1225
Escambia,Precinct 63,President,,Joseph R. Biden,DEM,746
Escambia,Precinct 64,President,,Joseph R. Biden,DEM,1039
Escambia,Precinct 67,President,,Joseph R. Biden,DEM,1545
Escambia,Precinct 68,President,,Joseph R. Biden,DEM,681
Escambia,Precinct 69,President,,Joseph R. Biden,DEM,1893
Escambia,Precinct 70,President,,Joseph R. Biden,DEM,1187
Escambia,Precinct 71,President,,Joseph R. Biden,DEM,711
Escambia,Precinct 72,President,,Joseph R. Biden,DEM,356
Escambia,Precinct 73,President,,Joseph R. Biden,DEM,1145
Escambia,Precinct 74,President,,Joseph R. Biden,DEM,1197
Escambia,Precinct 75,President,,Joseph R. Biden,DEM,1288
Escambia,Precinct 77,President,,Joseph R. Biden,DEM,878
Escambia,Precinct 80,President,,Joseph R. Biden,DEM,345
Escambia,Precinct 82,President,,Joseph R. Biden,DEM,393
Escambia,Precinct 83,President,,Joseph R. Biden,DEM,672
Escambia,Precinct 86,President,,Joseph R. Biden,DEM,972
Escambia,Precinct 88,President,,Joseph R. Biden,DEM,736
Escambia,Precinct 90,President,,Joseph R. Biden,DEM,864
Escambia,Precinct 91,President,,Joseph R. Biden,DEM,2003
Escambia,Precinct 94,President,,Joseph R. Biden,DEM,726
Escambia,Precinct 95,President,,Joseph R. Biden,DEM,537
Escambia,Precinct 97,President,,Joseph R. Biden,DEM,578
Escambia,Precinct 98,President,,Joseph R. Biden,DEM,2068
Escambia,Precinct 99,President,,Joseph R. Biden,DEM,469
Escambia,Precinct 101,President,,Joseph R. Biden,DEM,737
Escambia,Precinct 102,President,,Joseph R. Biden,DEM,872
Escambia,Precinct 103,President,,Joseph R. Biden,DEM,1208
Escambia,Precinct 104,President,,Joseph R. Biden,DEM,1069
Escambia,Precinct 105,President,,Joseph R. Biden,DEM,1095
Escambia,Precinct 106,President,,Joseph R. Biden,DEM,748
Escambia,Precinct 107,President,,Joseph R. Biden,DEM,1428
Escambia,Precinct 108,President,,Joseph R. Biden,DEM,1385
Escambia,Precinct 110,President,,Joseph R. Biden,DEM,174
Escambia,Precinct 111,President,,Joseph R. Biden,DEM,1024
Escambia,Precinct 112,President,,Joseph R. Biden,DEM,1727
Escambia,Precinct 113,President,,Joseph R. Biden,DEM,518
Escambia,Precinct 114,President,,Joseph R. Biden,DEM,632
Escambia,Precinct 1,President,,Jo Jorgensen,LPF,103
Escambia,Precinct 3,President,,Jo Jorgensen,LPF,32
Escambia,Precinct 5,President,,Jo Jorgensen,LPF,21
Escambia,Precinct 6,President,,Jo Jorgensen,LPF,23
Escambia,Precinct 7,President,,Jo Jorgensen,LPF,52
Escambia,Precinct 11,President,,Jo Jorgensen,LPF,4
Escambia,Precinct 14,President,,Jo Jorgensen,LPF,6
Escambia,Precinct 15,President,,Jo Jorgensen,LPF,36
Escambia,Precinct 18,President,,Jo Jorgensen,LPF,5
