county,precinct,office,district,party,candidate,votes,early_voting,election_day,mail
Monroe,1.03-Elks Lodge 551,U.S. House,28,REP,Carlos A. Gimenez,449,53,221,175
Monroe,6-Gato Building,U.S. House,28,REP,Carlos A. Gimenez,333,90,166,77
Monroe,7-Moose Club,U.S. House,28,REP,Carlos A. Gimenez,311,47,197,67
Monroe,8-Glad Tidings Tabernacle,U.S. House,28,REP,Carlos A. Gimenez,411,70,232,109
Monroe,9-KW Public Works Building,U.S. House,28,REP,Carlos A. Gimenez,513,86,249,178
Monroe,10-KW Public Works Building,U.S. House,28,REP,Carlos A. Gimenez,399,57,219,123
Monroe,2-KW High School,U.S. House,28,REP,Carlos A. Gimenez,531,91,251,189
Monroe,11.01-Bernstein Park,U.S. House,28,REP,Carlos A. Gimenez,900,128,473,299
Monroe,12.01-BC Fire Station,U.S. House,28,REP,Carlos A. Gimenez,726,83,418,225
Monroe,13.01-Sugarloaf Baptist Ch,U.S. House,28,REP,Carlos A. Gimenez,628,74,340,214
Monroe,14.00-Sugarloaf Baptist Ch,U.S. House,28,REP,Carlos A. Gimenez,757,183,325,249
Monroe,15.01-BPK First Baptist Church,U.S. House,28,REP,Carlos A. Gimenez,1056,252,417,387
Monroe,16.00-BPK First Baptist Church,U.S. House,28,REP,Carlos A. Gimenez,856,263,387,206
Monroe,17.00-BPK Comm Park,U.S. House,28,REP,Carlos A. Gimenez,538,169,239,130
Monroe,18.00-American Legion Marathon,U.S. House,28,REP,Carlos A. Gimenez,413,112,222,79
Monroe,19.00-Marathon First Baptist Church,U.S. House,28,REP,Carlos A. Gimenez,830,227,354,249
Monroe,20.00-Presbyterian Kirk of the Keys,U.S. House,28,REP,Carlos A. Gimenez,531,135,275,121
Monroe,21.00-Marathon City Hall,U.S. House,28,REP,Carlos A. Gimenez,473,116,200,157
Monroe,22.00-KCB City Hall,U.S. House,28,REP,Carlos A. Gimenez,394,94,182,118
Monroe,23-Marathon City Hall,U.S. House,28,REP,Carlos A. Gimenez,600,185,212,203
Monroe,24.03-Islamorada Library,U.S. House,28,REP,Carlos A. Gimenez,741,210,311,220
Monroe,25.00-Founders Park Comm Ctr,U.S. House,28,REP,Carlos A. Gimenez,727,202,336,189
Monroe,26.00-Immanuel Lutheran Church,U.S. House,28,REP,Carlos A. Gimenez,1058,266,537,255
Monroe,27.01-Elks Club,U.S. House,28,REP,Carlos A. Gimenez,667,180,331,156
Monroe,28-KL Civic Club,U.S. House,28,REP,Carlos A. Gimenez,608,203,223,182
Monroe,29.00-KL Civic Club,U.S. House,28,REP,Carlos A. Gimenez,1134,,,
Monroe,30.00-Murray Nelson Center,U.S. House,28,REP,Carlos A. Gimenez,486,178,188,120
Monroe,31.00-Murray Nelson Center,U.S. House,28,REP,Carlos A. Gimenez,581,203,226,152
Monroe,32-College of the Fl Keys,U.S. House,28,REP,Carlos A. Gimenez,882,278,401,203
Monroe,3-KW High School,U.S. House,28,REP,Carlos A. Gimenez,356,70,136,150
Monroe,33-College of the Fl Keys,U.S. House,28,REP,Carlos A. Gimenez,814,,,
Monroe,4.06-MLK Pool,U.S. House,28,REP,Carlos A. Gimenez,152,37,73,42
Monroe,5-Keys Energy,U.S. House,28,REP,Carlos A. Gimenez,566,97,184,285
Monroe,1.03-Elks Lodge 551,U.S. House,28,DEM,Robert Asencio,342,52,117,173
Monroe,6-Gato Building,U.S. House,28,DEM,Robert Asencio,672,140,219,313
Monroe,7-Moose Club,U.S. House,28,DEM,Robert Asencio,370,51,174,145
Monroe,8-Glad Tidings Tabernacle,U.S. House,28,DEM,Robert Asencio,609,,,
Monroe,9-KW Public Works Building,U.S. House,28,DEM,Robert Asencio,538,83,181,274
Monroe,10-KW Public Works Building,U.S. House,28,DEM,Robert Asencio,497,81,194,222
Monroe,2-KW High School,U.S. House,28,DEM,Robert Asencio,567,93,165,309
Monroe,11.01-Bernstein Park,U.S. House,28,DEM,Robert Asencio,531,75,198,258
Monroe,12.01-BC Fire Station,U.S. House,28,DEM,Robert Asencio,381,47,183,151
Monroe,13.01-Sugarloaf Baptist Ch,U.S. House,28,DEM,Robert Asencio,437,66,139,232
Monroe,14.00-Sugarloaf Baptist Ch,U.S. House,28,DEM,Robert Asencio,315,41,96,178
Monroe,15.01-BPK First Baptist Church,U.S. House,28,DEM,Robert Asencio,420,92,99,229
Monroe,16.00-BPK First Baptist Church,U.S. House,28,DEM,Robert Asencio,407,86,137,184
Monroe,17.00-BPK Comm Park,U.S. House,28,DEM,Robert Asencio,350,111,99,140
Monroe,18.00-American Legion Marathon,U.S. House,28,DEM,Robert Asencio,204,,,
Monroe,19.00-Marathon First Baptist Church,U.S. House,28,DEM,Robert Asencio,415,115,144,156
Monroe,20.00-Presbyterian Kirk of the Keys,U.S. House,28,DEM,Robert Asencio,216,61,80,75
Monroe,21.00-Marathon City Hall,U.S. House,28,DEM,Robert Asencio,191,44,64,83
Monroe,22.00-KCB City Hall,U.S. House,28,DEM,Robert Asencio,130,,,
Monroe,23-Marathon City Hall,U.S. House,28,DEM,Robert Asencio,261,62,71,128
Monroe,24.03-Islamorada Library,U.S. House,28,DEM,Robert Asencio,303,,,
Monroe,25.00-Founders Park Comm Ctr,U.S. House,28,DEM,Robert Asencio,351,92,102,157
Monroe,26.00-Immanuel Lutheran Church,U.S. House,28,DEM,Robert Asencio,442,101,139,202
Monroe,27.01-Elks Club,U.S. House,28,DEM,Robert Asencio,346,68,127,151
Monroe,28-KL Civic Club,U.S. House,28,DEM,Robert Asencio,325,80,81,164
Monroe,29.00-KL Civic Club,U.S. House,28,DEM,Robert Asencio,476,102,135,239
Monroe,30.00-Murray Nelson Center,U.S. House,28,DEM,Robert Asencio,318,76,106,136
Monroe,31.00-Murray Nelson Center,U.S. House,28,DEM,Robert Asencio,307,108,86,113
Monroe,32-College of the Fl Keys,U.S. House,28,DEM,Robert Asencio,450,113,126,211
Monroe,3-KW High School,U.S. House,28,DEM,Robert Asencio,474,96,131,247
Monroe,33-College of the Fl Keys,U.S. House,28,DEM,Robert Asencio,221,46,37,138
Monroe,4.06-MLK Pool,U.S. House,28,DEM,Robert Asencio,436,79,207,150
Monroe,5-Keys Energy,U.S. House,28,DEM,Robert Asencio,881,141,197,543
Monroe,1.03-Elks Lodge 551,U.S. House,28,"",Write-in,2,,,
Monroe,6-Gato Building,U.S. House,28,"",Write-in,1,,,
Monroe,7-Moose Club,U.S. House,28,"",Write-in,1,,,
Monroe,8-Glad Tidings Tabernacle,U.S. House,28,"",Write-in,1,,,
Monroe,9-KW Public Works Building,U.S. House,28,"",Write-in,0,0,0,0
Monroe,10-KW Public Works Building,U.S. House,28,"",Write-in,2,,,
Monroe,2-KW High School,U.S. House,28,"",Write-in,0,0,0,0
Monroe,11.01-Bernstein Park,U.S. House,28,"",Write-in,2,,,
Monroe,12.01-BC Fire Station,U.S. House,28,"",Write-in,6,,,
Monroe,13.01-Sugarloaf Baptist Ch,U.S. House,28,"",Write-in,4,,,
