county,precinct,office,district,party,candidate,votes,early_voting,election_day,mail
Lake,100,U.S. Senate,"",REP,Marco Rubio,628,223,286,119
Lake,103,U.S. Senate,"",REP,Marco Rubio,188,61,93,34
Lake,105,U.S. Senate,"",REP,Marco Rubio,1276,,,
Lake,110,U.S. Senate,"",REP,Marco Rubio,1295,278,781,236
Lake,115,U.S. Senate,"",REP,Marco Rubio,541,198,248,95
Lake,120,U.S. Senate,"",REP,Marco Rubio,424,161,208,55
Lake,125,U.S. Senate,"",REP,Marco Rubio,2316,901,1072,343
Lake,130,U.S. Senate,"",REP,Marco Rubio,1256,414,655,187
Lake,135 GROVELAND,U.S. Senate,"",REP,Marco Rubio,914,190,555,169
Lake,140,U.S. Senate,"",REP,Marco Rubio,1139,,,
Lake,145,U.S. Senate,"",REP,Marco Rubio,3403,1605,1435,363
Lake,150,U.S. Senate,"",REP,Marco Rubio,676,181,423,72
Lake,155,U.S. Senate,"",REP,Marco Rubio,2907,,,
Lake,165,U.S. Senate,"",REP,Marco Rubio,1980,,,
Lake,170,U.S. Senate,"",REP,Marco Rubio,1566,610,735,221
Lake,175,U.S. Senate,"",REP,Marco Rubio,1040,,,
Lake,180,U.S. Senate,"",REP,Marco Rubio,1819,829,767,223
Lake,185,U.S. Senate,"",REP,Marco Rubio,467,155,258,54
Lake,200,U.S. Senate,"",REP,Marco Rubio,310,,,
Lake,205,U.S. Senate,"",REP,Marco Rubio,471,198,214,59
Lake,210,U.S. Senate,"",REP,Marco Rubio,1358,414,769,175
Lake,215,U.S. Senate,"",REP,Marco Rubio,1768,807,696,265
Lake,220 CLERMONT,U.S. Senate,"",REP,Marco Rubio,572,136,315,121
Lake,225,U.S. Senate,"",REP,Marco Rubio,1001,472,378,151
Lake,230,U.S. Senate,"",REP,Marco Rubio,1989,953,701,335
Lake,235,U.S. Senate,"",REP,Marco Rubio,2544,1161,910,473
Lake,240 CLERMONT,U.S. Senate,"",REP,Marco Rubio,1597,384,852,361
Lake,245 CLERMONT,U.S. Senate,"",REP,Marco Rubio,809,215,411,183
Lake,250 CLERMONT,U.S. Senate,"",REP,Marco Rubio,713,244,395,74
Lake,300,U.S. Senate,"",REP,Marco Rubio,543,54,419,70
Lake,305,U.S. Senate,"",REP,Marco Rubio,489,85,328,76
Lake,310,U.S. Senate,"",REP,Marco Rubio,1541,375,864,302
