county,precinct,office,district,party,candidate,votes,early_voting,election_day,mail
Brevard,100,U.S. Senate,"",REP,Marco Rubio,986,244,482,260
Brevard,102,U.S. Senate,"",REP,Marco Rubio,2972,888,1337,747
Brevard,103,U.S. Senate,"",REP,Marco Rubio,1618,503,632,483
Brevard,104,U.S. Senate,"",REP,Marco Rubio,1953,529,943,481
Brevard,105,U.S. Senate,"",REP,Marco Rubio,2051,445,1083,523
Brevard,106,U.S. Senate,"",REP,Marco Rubio,1264,295,682,287
Brevard,107,U.S. Senate,"",REP,Marco Rubio,1344,434,502,408
Brevard,108,U.S. Senate,"",REP,Marco Rubio,917,324,355,238
Brevard,109,U.S. Senate,"",REP,Marco Rubio,2002,621,819,562
Brevard,111,U.S. Senate,"",REP,Marco Rubio,1132,385,411,336
Brevard,112,U.S. Senate,"",REP,Marco Rubio,1035,335,371,329
Brevard,113,U.S. Senate,"",REP,Marco Rubio,2522,644,1371,507
Brevard,114,U.S. Senate,"",REP,Marco Rubio,2022,533,954,535
Brevard,115,U.S. Senate,"",REP,Marco Rubio,1084,406,360,318
Brevard,116,U.S. Senate,"",REP,Marco Rubio,1094,334,396,364
Brevard,120,U.S. Senate,"",REP,Marco Rubio,939,247,481,211
Brevard,121,U.S. Senate,"",REP,Marco Rubio,1102,321,476,305
Brevard,122,U.S. Senate,"",REP,Marco Rubio,2026,484,1081,461
Brevard,125,U.S. Senate,"",REP,Marco Rubio,1521,352,815,354
Brevard,126,U.S. Senate,"",REP,Marco Rubio,0,0,0,0
Brevard,127,U.S. Senate,"",REP,Marco Rubio,380,101,164,115
Brevard,128,U.S. Senate,"",REP,Marco Rubio,2,,,
Brevard,129,U.S. Senate,"",REP,Marco Rubio,33,,,
Brevard,130,U.S. Senate,"",REP,Marco Rubio,10,,,
Brevard,131,U.S. Senate,"",REP,Marco Rubio,717,228,240,249
Brevard,132,U.S. Senate,"",REP,Marco Rubio,0,0,0,0
Brevard,133,U.S. Senate,"",REP,Marco Rubio,0,0,0,0
Brevard,135,U.S. Senate,"",REP,Marco Rubio,0,0,0,0
Brevard,137,U.S. Senate,"",REP,Marco Rubio,1074,378,162,534
Brevard,138,U.S. Senate,"",REP,Marco Rubio,0,0,0,0
Brevard,139,U.S. Senate,"",REP,Marco Rubio,0,0,0,0
Brevard,140,U.S. Senate,"",REP,Marco Rubio,0,0,0,0
Brevard,141,U.S. Senate,"",REP,Marco Rubio,0,0,0,0
Brevard,142,U.S. Senate,"",REP,Marco Rubio,206,53,111,42
Brevard,200,U.S. Senate,"",REP,Marco Rubio,699,141,364,194
Brevard,201,U.S. Senate,"",REP,Marco Rubio,2598,877,1107,614
Brevard,203,U.S. Senate,"",REP,Marco Rubio,1470,593,553,324
Brevard,204,U.S. Senate,"",REP,Marco Rubio,1779,521,775,483
Brevard,205,U.S. Senate,"",REP,Marco Rubio,3427,904,1697,826
Brevard,206,U.S. Senate,"",REP,Marco Rubio,1136,456,438,242
Brevard,207,U.S. Senate,"",REP,Marco Rubio,749,190,373,186
Brevard,208,U.S. Senate,"",REP,Marco Rubio,893,206,463,224
Brevard,209,U.S. Senate,"",REP,Marco Rubio,770,191,415,164
Brevard,211,U.S. Senate,"",REP,Marco Rubio,1097,234,596,267
Brevard,212,U.S. Senate,"",REP,Marco Rubio,483,142,143,198
Brevard,213,U.S. Senate,"",REP,Marco Rubio,97,,,
Brevard,214,U.S. Senate,"",REP,Marco Rubio,703,135,380,188
Brevard,215,U.S. Senate,"",REP,Marco Rubio,638,165,320,153
Brevard,216,U.S. Senate,"",REP,Marco Rubio,2531,887,925,719
Brevard,217,U.S. Senate,"",REP,Marco Rubio,1650,523,787,340
Brevard,218,U.S. Senate,"",REP,Marco Rubio,241,103,76,62
Brevard,219,U.S. Senate,"",REP,Marco Rubio,1246,272,629,345
Brevard,220,U.S. Senate,"",REP,Marco Rubio,317,93,140,84
Brevard,221,U.S. Senate,"",REP,Marco Rubio,1321,378,578,365
Brevard,222,U.S. Senate,"",REP,Marco Rubio,1287,295,647,345
Brevard,223,U.S. Senate,"",REP,Marco Rubio,221,90,65,66
Brevard,224,U.S. Senate,"",REP,Marco Rubio,1863,480,816,567
Brevard,225,U.S. Senate,"",REP,Marco Rubio,1,,,
Brevard,226,U.S. Senate,"",REP,Marco Rubio,1192,330,600,262
Brevard,227,U.S. Senate,"",REP,Marco Rubio,75,,,
Brevard,228,U.S. Senate,"",REP,Marco Rubio,371,96,178,97
Brevard,229,U.S. Senate,"",REP,Marco Rubio,249,88,71,90
Brevard,230,U.S. Senate,"",REP,Marco Rubio,4,,,
Brevard,231,U.S. Senate,"",REP,Marco Rubio,289,67,154,68
Brevard,233,U.S. Senate,"",REP,Marco Rubio,83,,,
Brevard,235,U.S. Senate,"",REP,Marco Rubio,1090,492,404,194
Brevard,236,U.S. Senate,"",REP,Marco Rubio,259,74,130,55
Brevard,237,U.S. Senate,"",REP,Marco Rubio,444,95,233,116
Brevard,238,U.S. Senate,"",REP,Marco Rubio,23,,,
Brevard,240,U.S. Senate,"",REP,Marco Rubio,660,266,245,149
Brevard,241,U.S. Senate,"",REP,Marco Rubio,0,0,0,0
Brevard,242,U.S. Senate,"",REP,Marco Rubio,2019,545,957,517
Brevard,243,U.S. Senate,"",REP,Marco Rubio,315,85,123,107
Brevard,300,U.S. Senate,"",REP,Marco Rubio,188,40,97,51
Brevard,301,U.S. Senate,"",REP,Marco Rubio,273,30,180,63
Brevard,302,U.S. Senate,"",REP,Marco Rubio,2127,395,1221,511
Brevard,303,U.S. Senate,"",REP,Marco Rubio,1807,657,610,540
Brevard,304,U.S. Senate,"",REP,Marco Rubio,1975,165,1157,653
Brevard,305,U.S. Senate,"",REP,Marco Rubio,1163,203,692,268
Brevard,306,U.S. Senate,"",REP,Marco Rubio,186,45,67,74
Brevard,307,U.S. Senate,"",REP,Marco Rubio,673,239,202,232
Brevard,308,U.S. Senate,"",REP,Marco Rubio,1183,398,476,309
Brevard,309,U.S. Senate,"",REP,Marco Rubio,3969,1374,1494,1101
Brevard,310,U.S. Senate,"",REP,Marco Rubio,903,178,484,241
Brevard,311,U.S. Senate,"",REP,Marco Rubio,1162,232,601,329
Brevard,312,U.S. Senate,"",REP,Marco Rubio,1083,200,500,383
Brevard,313,U.S. Senate,"",REP,Marco Rubio,2850,784,1135,931
Brevard,314,U.S. Senate,"",REP,Marco Rubio,2288,822,829,637
Brevard,316,U.S. Senate,"",REP,Marco Rubio,1256,250,715,291
Brevard,317,U.S. Senate,"",REP,Marco Rubio,1808,511,710,587
Brevard,318,U.S. Senate,"",REP,Marco Rubio,1548,284,830,434
Brevard,319,U.S. Senate,"",REP,Marco Rubio,2,,,
Brevard,320,U.S. Senate,"",REP,Marco Rubio,124,,,
Brevard,321,U.S. Senate,"",REP,Marco Rubio,128,,,
Brevard,322,U.S. Senate,"",REP,Marco Rubio,1562,395,683,484
Brevard,323,U.S. Senate,"",REP,Marco Rubio,308,62,135,111
Brevard,324,U.S. Senate,"",REP,Marco Rubio,347,69,180,98
Brevard,325,U.S. Senate,"",REP,Marco Rubio,187,38,114,35
Brevard,326,U.S. Senate,"",REP,Marco Rubio,269,66,148,55
Brevard,327,U.S. Senate,"",REP,Marco Rubio,262,61,143,58
Brevard,328,U.S. Senate,"",REP,Marco Rubio,230,33,151,46
Brevard,329,U.S. Senate,"",REP,Marco Rubio,104,,,
Brevard,400,U.S. Senate,"",REP,Marco Rubio,1360,436,617,307
Brevard,402,U.S. Senate,"",REP,Marco Rubio,1429,513,540,376
Brevard,403,U.S. Senate,"",REP,Marco Rubio,448,88,247,113
Brevard,404,U.S. Senate,"",REP,Marco Rubio,2273,910,861,502
Brevard,405,U.S. Senate,"",REP,Marco Rubio,2204,838,898,468
Brevard,406,U.S. Senate,"",REP,Marco Rubio,2567,784,1163,620
Brevard,407,U.S. Senate,"",REP,Marco Rubio,169,40,94,35
Brevard,408,U.S. Senate,"",REP,Marco Rubio,518,130,290,98
Brevard,409,U.S. Senate,"",REP,Marco Rubio,2451,882,998,571
Brevard,410,U.S. Senate,"",REP,Marco Rubio,383,88,236,59
Brevard,411,U.S. Senate,"",REP,Marco Rubio,398,104,203,91
Brevard,412,U.S. Senate,"",REP,Marco Rubio,104,,,
Brevard,414,U.S. Senate,"",REP,Marco Rubio,1425,455,636,334
Brevard,415,U.S. Senate,"",REP,Marco Rubio,1392,588,521,283
Brevard,417,U.S. Senate,"",REP,Marco Rubio,0,0,0,0
Brevard,418,U.S. Senate,"",REP,Marco Rubio,1435,532,551,352
Brevard,419,U.S. Senate,"",REP,Marco Rubio,1170,267,585,318
Brevard,420,U.S. Senate,"",REP,Marco Rubio,1341,369,582,390
Brevard,421,U.S. Senate,"",REP,Marco Rubio,2080,664,752,664
Brevard,422,U.S. Senate,"",REP,Marco Rubio,2694,1038,991,665
Brevard,424,U.S. Senate,"",REP,Marco Rubio,1897,714,801,382
Brevard,425,U.S. Senate,"",REP,Marco Rubio,328,102,94,132
Brevard,426,U.S. Senate,"",REP,Marco Rubio,943,308,392,243
Brevard,427,U.S. Senate,"",REP,Marco Rubio,2648,893,1062,693
Brevard,428,U.S. Senate,"",REP,Marco Rubio,2114,613,897,604
Brevard,429,U.S. Senate,"",REP,Marco Rubio,1240,517,257,466
Brevard,430,U.S. Senate,"",REP,Marco Rubio,482,155,164,163
Brevard,431,U.S. Senate,"",REP,Marco Rubio,585,150,264,171
Brevard,432,U.S. Senate,"",REP,Marco Rubio,73,,,
Brevard,434,U.S. Senate,"",REP,Marco Rubio,4,,,
Brevard,435,U.S. Senate,"",REP,Marco Rubio,26,,,
Brevard,436,U.S. Senate,"",REP,Marco Rubio,0,0,0,0
Brevard,437,U.S. Senate,"",REP,Marco Rubio,309,161,88,60
Brevard,438,U.S. Senate,"",REP,Marco Rubio,0,0,0,0
Brevard,440,U.S. Senate,"",REP,Marco Rubio,29,,,
Brevard,441,U.S. Senate,"",REP,Marco Rubio,2487,884,1133,470
Brevard,442,U.S. Senate,"",REP,Marco Rubio,7,,,
Brevard,443,U.S. Senate,"",REP,Marco Rubio,0,0,0,0
Brevard,444,U.S. Senate,"",REP,Marco Rubio,270,75,92,103
Brevard,500,U.S. Senate,"",REP,Marco Rubio,552,82,319,151
Brevard,501,U.S. Senate,"",REP,Marco Rubio,240,,,
Brevard,502,U.S. Senate,"",REP,Marco Rubio,1071,264,541,266
Brevard,503,U.S. Senate,"",REP,Marco Rubio,1298,439,409,450
Brevard,504,U.S. Senate,"",REP,Marco Rubio,47,,,
Brevard,505,U.S. Senate,"",REP,Marco Rubio,1583,388,784,411
Brevard,506,U.S. Senate,"",REP,Marco Rubio,1080,206,631,243
Brevard,507,U.S. Senate,"",REP,Marco Rubio,1574,388,803,383
Brevard,508,U.S. Senate,"",REP,Marco Rubio,949,265,428,256
Brevard,509,U.S. Senate,"",REP,Marco Rubio,191,,,
Brevard,510,U.S. Senate,"",REP,Marco Rubio,2810,785,1208,817
Brevard,511,U.S. Senate,"",REP,Marco Rubio,1256,351,585,320
Brevard,512,U.S. Senate,"",REP,Marco Rubio,1468,504,603,361
Brevard,513,U.S. Senate,"",REP,Marco Rubio,272,74,85,113
Brevard,515,U.S. Senate,"",REP,Marco Rubio,1358,388,641,329
Brevard,516,U.S. Senate,"",REP,Marco Rubio,2667,795,1169,703
Brevard,517,U.S. Senate,"",REP,Marco Rubio,1649,501,713,435
Brevard,518,U.S. Senate,"",REP,Marco Rubio,1319,387,587,345
Brevard,519,U.S. Senate,"",REP,Marco Rubio,3263,1130,1312,821
Brevard,520,U.S. Senate,"",REP,Marco Rubio,1612,405,787,420
Brevard,522,U.S. Senate,"",REP,Marco Rubio,163,42,63,58
Brevard,523,U.S. Senate,"",REP,Marco Rubio,388,112,159,117
Brevard,525,U.S. Senate,"",REP,Marco Rubio,1024,416,411,197
Brevard,527,U.S. Senate,"",REP,Marco Rubio,206,55,65,86
Brevard,528,U.S. Senate,"",REP,Marco Rubio,324,60,191,73
Brevard,529,U.S. Senate,"",REP,Marco Rubio,534,126,230,178
Brevard,530,U.S. Senate,"",REP,Marco Rubio,339,104,129,106
Brevard,531,U.S. Senate,"",REP,Marco Rubio,4,,,
Brevard,532,U.S. Senate,"",REP,Marco Rubio,323,90,132,101
Brevard,999,U.S. Senate,"",REP,Marco Rubio,125,,,
Brevard,100,U.S. Senate,"",DEM,Val Demings,303,51,108,144
Brevard,102,U.S. Senate,"",DEM,Val Demings,1153,314,276,563
Brevard,103,U.S. Senate,"",DEM,Val Demings,629,162,139,328
Brevard,104,U.S. Senate,"",DEM,Val Demings,578,128,136,314
Brevard,105,U.S. Senate,"",DEM,Val Demings,1051,213,381,457
Brevard,106,U.S. Senate,"",DEM,Val Demings,264,54,72,138
Brevard,107,U.S. Senate,"",DEM,Val Demings,736,178,153,405
Brevard,108,U.S. Senate,"",DEM,Val Demings,1154,296,350,508
Brevard,109,U.S. Senate,"",DEM,Val Demings,1141,270,353,518
Brevard,111,U.S. Senate,"",DEM,Val Demings,656,184,159,313
Brevard,112,U.S. Senate,"",DEM,Val Demings,534,160,96,278
Brevard,113,U.S. Senate,"",DEM,Val Demings,1349,286,469,594
Brevard,114,U.S. Senate,"",DEM,Val Demings,1163,272,331,560
Brevard,115,U.S. Senate,"",DEM,Val Demings,602,144,135,323
Brevard,116,U.S. Senate,"",DEM,Val Demings,440,103,75,262
Brevard,120,U.S. Senate,"",DEM,Val Demings,752,141,261,350
Brevard,121,U.S. Senate,"",DEM,Val Demings,383,92,117,174
Brevard,122,U.S. Senate,"",DEM,Val Demings,1037,222,359,456
Brevard,125,U.S. Senate,"",DEM,Val Demings,686,145,279,262
Brevard,126,U.S. Senate,"",DEM,Val Demings,0,0,0,0
Brevard,127,U.S. Senate,"",DEM,Val Demings,220,40,54,126
Brevard,128,U.S. Senate,"",DEM,Val Demings,0,0,0,0
Brevard,129,U.S. Senate,"",DEM,Val Demings,14,,,
Brevard,130,U.S. Senate,"",DEM,Val Demings,18,,,
Brevard,131,U.S. Senate,"",DEM,Val Demings,344,82,86,176
Brevard,132,U.S. Senate,"",DEM,Val Demings,0,0,0,0
Brevard,133,U.S. Senate,"",DEM,Val Demings,0,0,0,0
Brevard,135,U.S. Senate,"",DEM,Val Demings,0,0,0,0
Brevard,137,U.S. Senate,"",DEM,Val Demings,361,,,
Brevard,138,U.S. Senate,"",DEM,Val Demings,0,0,0,0
Brevard,139,U.S. Senate,"",DEM,Val Demings,0,0,0,0
Brevard,140,U.S. Senate,"",DEM,Val Demings,0,0,0,0
Brevard,141,U.S. Senate,"",DEM,Val Demings,0,0,0,0
Brevard,142,U.S. Senate,"",DEM,Val Demings,42,,,
Brevard,200,U.S. Senate,"",DEM,Val Demings,520,112,175,233
Brevard,201,U.S. Senate,"",DEM,Val Demings,1272,378,337,557
Brevard,203,U.S. Senate,"",DEM,Val Demings,801,260,199,342
Brevard,204,U.S. Senate,"",DEM,Val Demings,1095,270,281,544
Brevard,205,U.S. Senate,"",DEM,Val Demings,1416,311,412,693
Brevard,206,U.S. Senate,"",DEM,Val Demings,515,148,125,242
Brevard,207,U.S. Senate,"",DEM,Val Demings,409,75,133,201
Brevard,208,U.S. Senate,"",DEM,Val Demings,565,122,193,250
Brevard,209,U.S. Senate,"",DEM,Val Demings,547,125,202,220
Brevard,211,U.S. Senate,"",DEM,Val Demings,902,173,357,372
Brevard,212,U.S. Senate,"",DEM,Val Demings,562,166,164,232
Brevard,213,U.S. Senate,"",DEM,Val Demings,124,,,
Brevard,214,U.S. Senate,"",DEM,Val Demings,715,144,261,310
Brevard,215,U.S. Senate,"",DEM,Val Demings,312,76,98,138
Brevard,216,U.S. Senate,"",DEM,Val Demings,1358,388,354,616
Brevard,217,U.S. Senate,"",DEM,Val Demings,732,188,226,318
Brevard,218,U.S. Senate,"",DEM,Val Demings,157,37,38,82
Brevard,219,U.S. Senate,"",DEM,Val Demings,1314,266,477,571
Brevard,220,U.S. Senate,"",DEM,Val Demings,181,55,45,81
Brevard,221,U.S. Senate,"",DEM,Val Demings,853,179,241,433
Brevard,222,U.S. Senate,"",DEM,Val Demings,987,178,381,428
Brevard,223,U.S. Senate,"",DEM,Val Demings,113,31,43,39
Brevard,224,U.S. Senate,"",DEM,Val Demings,1377,301,455,621
Brevard,225,U.S. Senate,"",DEM,Val Demings,0,0,0,0
Brevard,226,U.S. Senate,"",DEM,Val Demings,766,164,276,326
Brevard,227,U.S. Senate,"",DEM,Val Demings,63,,,
Brevard,228,U.S. Senate,"",DEM,Val Demings,258,57,85,116
Brevard,229,U.S. Senate,"",DEM,Val Demings,98,,,
Brevard,230,U.S. Senate,"",DEM,Val Demings,4,,,
Brevard,231,U.S. Senate,"",DEM,Val Demings,332,79,120,133
Brevard,233,U.S. Senate,"",DEM,Val Demings,316,90,113,113
Brevard,235,U.S. Senate,"",DEM,Val Demings,516,166,126,224
Brevard,236,U.S. Senate,"",DEM,Val Demings,145,40,46,59
Brevard,237,U.S. Senate,"",DEM,Val Demings,217,49,50,118
Brevard,238,U.S. Senate,"",DEM,Val Demings,9,,,
Brevard,240,U.S. Senate,"",DEM,Val Demings,262,86,60,116
Brevard,241,U.S. Senate,"",DEM,Val Demings,0,0,0,0
Brevard,242,U.S. Senate,"",DEM,Val Demings,1265,294,430,541
Brevard,243,U.S. Senate,"",DEM,Val Demings,103,35,30,38
Brevard,300,U.S. Senate,"",DEM,Val Demings,429,73,155,201
Brevard,301,U.S. Senate,"",DEM,Val Demings,90,,,
Brevard,302,U.S. Senate,"",DEM,Val Demings,658,98,231,329
Brevard,303,U.S. Senate,"",DEM,Val Demings,1498,467,313,718
Brevard,304,U.S. Senate,"",DEM,Val Demings,1061,73,362,626
Brevard,305,U.S. Senate,"",DEM,Val Demings,762,85,364,313
Brevard,306,U.S. Senate,"",DEM,Val Demings,447,64,181,202
Brevard,307,U.S. Senate,"",DEM,Val Demings,359,87,71,201
Brevard,308,U.S. Senate,"",DEM,Val Demings,751,182,231,338
Brevard,309,U.S. Senate,"",DEM,Val Demings,2871,784,695,1392
Brevard,310,U.S. Senate,"",DEM,Val Demings,655,103,251,301
Brevard,311,U.S. Senate,"",DEM,Val Demings,667,139,187,341
Brevard,312,U.S. Senate,"",DEM,Val Demings,483,65,102,316
Brevard,313,U.S. Senate,"",DEM,Val Demings,2129,515,511,1103
Brevard,314,U.S. Senate,"",DEM,Val Demings,1922,557,453,912
Brevard,316,U.S. Senate,"",DEM,Val Demings,936,151,366,419
Brevard,317,U.S. Senate,"",DEM,Val Demings,1505,311,450,744
Brevard,318,U.S. Senate,"",DEM,Val Demings,874,121,311,442
Brevard,319,U.S. Senate,"",DEM,Val Demings,2,,,
Brevard,320,U.S. Senate,"",DEM,Val Demings,58,,,
Brevard,321,U.S. Senate,"",DEM,Val Demings,109,31,46,32
Brevard,322,U.S. Senate,"",DEM,Val Demings,1366,295,422,649
Brevard,323,U.S. Senate,"",DEM,Val Demings,268,42,78,148
Brevard,324,U.S. Senate,"",DEM,Val Demings,215,,,
Brevard,325,U.S. Senate,"",DEM,Val Demings,95,,,
Brevard,326,U.S. Senate,"",DEM,Val Demings,74,,,
Brevard,327,U.S. Senate,"",DEM,Val Demings,104,,,
Brevard,328,U.S. Senate,"",DEM,Val Demings,99,,,
Brevard,329,U.S. Senate,"",DEM,Val Demings,71,,,
Brevard,400,U.S. Senate,"",DEM,Val Demings,969,266,284,419
Brevard,402,U.S. Senate,"",DEM,Val Demings,846,219,233,394
Brevard,403,U.S. Senate,"",DEM,Val Demings,242,38,103,101
Brevard,404,U.S. Senate,"",DEM,Val Demings,1258,349,378,531
Brevard,405,U.S. Senate,"",DEM,Val Demings,1238,378,335,525
Brevard,406,U.S. Senate,"",DEM,Val Demings,1590,378,483,729
Brevard,407,U.S. Senate,"",DEM,Val Demings,68,,,
Brevard,408,U.S. Senate,"",DEM,Val Demings,352,68,165,119
Brevard,409,U.S. Senate,"",DEM,Val Demings,1409,336,427,646
Brevard,410,U.S. Senate,"",DEM,Val Demings,182,,,
Brevard,411,U.S. Senate,"",DEM,Val Demings,278,62,85,131
Brevard,412,U.S. Senate,"",DEM,Val Demings,74,,,
Brevard,414,U.S. Senate,"",DEM,Val Demings,1023,266,285,472
Brevard,415,U.S. Senate,"",DEM,Val Demings,765,260,180,325
Brevard,417,U.S. Senate,"",DEM,Val Demings,0,0,0,0
Brevard,418,U.S. Senate,"",DEM,Val Demings,688,231,197,260
Brevard,419,U.S. Senate,"",DEM,Val Demings,601,150,183,268
Brevard,420,U.S. Senate,"",DEM,Val Demings,779,178,230,371
Brevard,421,U.S. Senate,"",DEM,Val Demings,1075,299,239,537
Brevard,422,U.S. Senate,"",DEM,Val Demings,1432,465,347,620
Brevard,424,U.S. Senate,"",DEM,Val Demings,1107,345,326,436
Brevard,425,U.S. Senate,"",DEM,Val Demings,211,,,
Brevard,426,U.S. Senate,"",DEM,Val Demings,368,89,81,198
Brevard,427,U.S. Senate,"",DEM,Val Demings,1371,350,392,629
Brevard,428,U.S. Senate,"",DEM,Val Demings,1301,338,351,612
