county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,mail,absentee,limited
St. Lucie,1,U.S. Senate,"",REP,Marco Rubio,2068,0,0,0,0,0,0
St. Lucie,10,U.S. Senate,"",REP,Marco Rubio,351,0,0,0,0,0,0
St. Lucie,67,U.S. Senate,"",REP,Marco Rubio,1150,0,0,0,0,0,0
St. Lucie,68,U.S. Senate,"",REP,Marco Rubio,932,0,0,0,0,0,0
St. Lucie,71,U.S. Senate,"",REP,Marco Rubio,1617,0,0,0,0,0,0
St. Lucie,73,U.S. Senate,"",REP,Marco Rubio,1698,0,0,0,0,0,0
St. Lucie,74,U.S. Senate,"",REP,Marco Rubio,1246,0,0,0,0,0,0
St. Lucie,75,U.S. Senate,"",REP,Marco Rubio,641,0,0,0,0,0,0
St. Lucie,82,U.S. Senate,"",REP,Marco Rubio,1478,0,0,0,0,0,0
St. Lucie,83,U.S. Senate,"",REP,Marco Rubio,2045,0,0,0,0,0,0
St. Lucie,84,U.S. Senate,"",REP,Marco Rubio,1665,0,0,0,0,0,0
St. Lucie,11,U.S. Senate,"",REP,Marco Rubio,120,0,0,0,0,0,0
St. Lucie,85,U.S. Senate,"",REP,Marco Rubio,2203,0,0,0,0,0,0
St. Lucie,86,U.S. Senate,"",REP,Marco Rubio,1199,0,0,0,0,0,0
St. Lucie,89,U.S. Senate,"",REP,Marco Rubio,5122,0,0,0,0,0,0
St. Lucie,90,U.S. Senate,"",REP,Marco Rubio,500,0,0,0,0,0,0
St. Lucie,91,U.S. Senate,"",REP,Marco Rubio,235,0,0,0,0,0,0
St. Lucie,94,U.S. Senate,"",REP,Marco Rubio,6,0,0,0,0,0,0
St. Lucie,95,U.S. Senate,"",REP,Marco Rubio,2074,0,0,0,0,0,0
St. Lucie,12,U.S. Senate,"",REP,Marco Rubio,2145,0,0,0,0,0,0
St. Lucie,13,U.S. Senate,"",REP,Marco Rubio,935,0,0,0,0,0,0
St. Lucie,14,U.S. Senate,"",REP,Marco Rubio,149,0,0,0,0,0,0
St. Lucie,15,U.S. Senate,"",REP,Marco Rubio,1907,0,0,0,0,0,0
St. Lucie,16,U.S. Senate,"",REP,Marco Rubio,1840,0,0,0,0,0,0
St. Lucie,17,U.S. Senate,"",REP,Marco Rubio,53,0,0,0,0,0,0
St. Lucie,18,U.S. Senate,"",REP,Marco Rubio,44,0,0,0,0,0,0
