county,precinct,office,district,candidate,party,mail,election_day,votes
Bay,PCT 1,President,,Donald J. Trump,REP,-,-,1330
Bay,PCT 2,President,,Donald J. Trump,REP,-,-,859
Bay,PCT 3,President,,Donald J. Trump,REP,-,-,479
Bay,PCT 4,President,,Donald J. Trump,REP,-,-,2130
Bay,PCT 5,President,,Donald J. Trump,REP,387,1899,2286
Bay,PCT 6,President,,Donald J. Trump,REP,-,-,2799
Bay,PCT 7,President,,Donald J. Trump,REP,91,309,400
Bay,PCT 8,President,,Donald J. Trump,REP,-,-,2167
Bay,PCT 9,President,,Donald J. Trump,REP,-,-,2086
Bay,PCT 10,President,,Donald J. Trump,REP,-,-,2867
Bay,PCT 11,President,,Donald J. Trump,REP,-,-,3237
Bay,PCT 12,President,,Donald J. Trump,REP,-,-,3035
Bay,PCT 13,President,,Donald J. Trump,REP,-,-,1702
Bay,PCT 14,President,,Donald J. Trump,REP,-,-,2556
Bay,PCT 15,President,,Donald J. Trump,REP,-,-,2128
Bay,PCT 16,President,,Donald J. Trump,REP,-,-,1144
Bay,PCT 17,President,,Donald J. Trump,REP,-,-,2468
Bay,PCT 18,President,,Donald J. Trump,REP,-,-,1565
Bay,PCT 19,President,,Donald J. Trump,REP,-,-,954
Bay,PCT 20,President,,Donald J. Trump,REP,-,-,1057
Bay,PCT 21,President,,Donald J. Trump,REP,-,-,2737
Bay,PCT 22,President,,Donald J. Trump,REP,-,-,2314
Bay,PCT 23,President,,Donald J. Trump,REP,-,-,2534
Bay,PCT 24,President,,Donald J. Trump,REP,-,-,885
Bay,PCT 25,President,,Donald J. Trump,REP,-,-,1328
Bay,PCT 26,President,,Donald J. Trump,REP,460,1123,1583
Bay,PCT 27,President,,Donald J. Trump,REP,-,-,1754
Bay,PCT 28,President,,Donald J. Trump,REP,-,-,975
Bay,PCT 29,President,,Donald J. Trump,REP,-,-,1188
Bay,PCT 30,President,,Donald J. Trump,REP,-,-,538
Bay,PCT 31,President,,Donald J. Trump,REP,-,-,1866
Bay,PCT 32,President,,Donald J. Trump,REP,-,-,138
Bay,PCT 33,President,,Donald J. Trump,REP,104,339,443
Bay,PCT 34,President,,Donald J. Trump,REP,172,419,591
Bay,PCT 35,President,,Donald J. Trump,REP,321,816,1137
Bay,PCT 36,President,,Donald J. Trump,REP,-,-,376
Bay,PCT 37,President,,Donald J. Trump,REP,-,-,1305
Bay,PCT 38,President,,Donald J. Trump,REP,-,-,826
Bay,PCT 39,President,,Donald J. Trump,REP,-,-,2000
Bay,PCT 40,President,,Donald J. Trump,REP,-,-,925
Bay,PCT 41,President,,Donald J. Trump,REP,-,-,1180
Bay,PCT 42,President,,Donald J. Trump,REP,-,-,773
Bay,PCT 43,President,,Donald J. Trump,REP,-,-,861
Bay,PCT 44,President,,Donald J. Trump,REP,-,-,591
Bay,PCT 1,President,,Joseph R. Biden,DEM,-,-,220
Bay,PCT 2,President,,Joseph R. Biden,DEM,-,-,132
Bay,PCT 3,President,,Joseph R. Biden,DEM,43,47,90
Bay,PCT 4,President,,Joseph R. Biden,DEM,180,182,362
Bay,PCT 5,President,,Joseph R. Biden,DEM,144,180,324
Bay,PCT 6,President,,Joseph R. Biden,DEM,-,-,497
Bay,PCT 7,President,,Joseph R. Biden,DEM,36,39,75
Bay,PCT 8,President,,Joseph R. Biden,DEM,-,-,688
Bay,PCT 9,President,,Joseph R. Biden,DEM,-,-,796
Bay,PCT 10,President,,Joseph R. Biden,DEM,-,-,975
Bay,PCT 11,President,,Joseph R. Biden,DEM,-,-,1343
Bay,PCT 12,President,,Joseph R. Biden,DEM,-,-,1031
Bay,PCT 13,President,,Joseph R. Biden,DEM,-,-,526
Bay,PCT 14,President,,Joseph R. Biden,DEM,-,-,892
Bay,PCT 15,President,,Joseph R. Biden,DEM,-,-,549
Bay,PCT 16,President,,Joseph R. Biden,DEM,111,99,210
Bay,PCT 17,President,,Joseph R. Biden,DEM,-,-,774
Bay,PCT 18,President,,Joseph R. Biden,DEM,-,-,415
Bay,PCT 19,President,,Joseph R. Biden,DEM,243,299,542
Bay,PCT 20,President,,Joseph R. Biden,DEM,-,-,338
Bay,PCT 21,President,,Joseph R. Biden,DEM,-,-,784
Bay,PCT 22,President,,Joseph R. Biden,DEM,-,-,862
Bay,PCT 23,President,,Joseph R. Biden,DEM,-,-,1117
