county,precinct,office,district,candidate,party,provisional,mail,early_voting,election_day,votes
St. Lucie,Precinct 1,President,,Donald J. Trump,REP,,,,,2618
St. Lucie,Precinct 6,President,,Donald J. Trump,REP,0,194,461,112,767
St. Lucie,Precinct 7,President,,Donald J. Trump,REP,,,,,542
St. Lucie,Precinct 8,President,,Donald J. Trump,REP,,,,,1683
St. Lucie,Precinct 9,President,,Donald J. Trump,REP,0,693,497,494,1684
St. Lucie,Precinct 10,President,,Donald J. Trump,REP,0,65,89,59,213
St. Lucie,Precinct 11,President,,Donald J. Trump,REP,0,299,547,180,1026
St. Lucie,Precinct 12,President,,Donald J. Trump,REP,,,,,2799
St. Lucie,Precinct 13,President,,Donald J. Trump,REP,,,,,1273
St. Lucie,Precinct 14,President,,Donald J. Trump,REP,,,,,250
St. Lucie,Precinct 15,President,,Donald J. Trump,REP,,,,,2123
St. Lucie,Precinct 16,President,,Donald J. Trump,REP,0,757,689,603,2049
St. Lucie,Precinct 17,President,,Donald J. Trump,REP,,,,,97
St. Lucie,Precinct 18,President,,Donald J. Trump,REP,,,,,82
St. Lucie,Precinct 19,President,,Donald J. Trump,REP,,,,,439
St. Lucie,Precinct 20,President,,Donald J. Trump,REP,0,147,190,172,509
St. Lucie,Precinct 21,President,,Donald J. Trump,REP,,,,,1409
St. Lucie,Precinct 22,President,,Donald J. Trump,REP,0,537,979,343,1859
St. Lucie,Precinct 23,President,,Donald J. Trump,REP,,,,,1486
St. Lucie,Precinct 24,President,,Donald J. Trump,REP,,,,,181
St. Lucie,Precinct 25,President,,Donald J. Trump,REP,,,,,1497
St. Lucie,Precinct 26,President,,Donald J. Trump,REP,,,,,1712
St. Lucie,Precinct 28,President,,Donald J. Trump,REP,,,,,1481
St. Lucie,Precinct 29,President,,Donald J. Trump,REP,0,82,249,70,401
St. Lucie,Precinct 31,President,,Donald J. Trump,REP,,,,,990
St. Lucie,Precinct 33,President,,Donald J. Trump,REP,,,,,196
St. Lucie,Precinct 35,President,,Donald J. Trump,REP,0,198,335,204,737
St. Lucie,Precinct 36,President,,Donald J. Trump,REP,0,204,425,147,776
St. Lucie,Precinct 37,President,,Donald J. Trump,REP,0,568,986,516,2070
St. Lucie,Precinct 38,President,,Donald J. Trump,REP,0,200,251,240,691
St. Lucie,Precinct 39,President,,Donald J. Trump,REP,,,,,983
St. Lucie,Precinct 40,President,,Donald J. Trump,REP,0,202,306,218,726
St. Lucie,Precinct 41,President,,Donald J. Trump,REP,,,,,1721
St. Lucie,Precinct 42,President,,Donald J. Trump,REP,0,960,1198,414,2572
