county,precinct,office,district,candidate,party,provisional,mail,early_voting,election_day,votes
Hillsborough,101,President,,Donald J. Trump,REP,0,663,783,227,1673
Hillsborough,103,President,,Donald J. Trump,REP,0,688,1062,307,2057
Hillsborough,105,President,,Donald J. Trump,REP,0,521,774,271,1566
Hillsborough,107,President,,Donald J. Trump,REP,0,679,945,421,2045
Hillsborough,108,President,,Donald J. Trump,REP,0,376,436,241,1053
Hillsborough,109,President,,Donald J. Trump,REP,0,372,420,199,991
Hillsborough,111,President,,Donald J. Trump,REP,0,336,416,151,903
Hillsborough,112,President,,Donald J. Trump,REP,0,455,439,125,1019
Hillsborough,113,President,,Donald J. Trump,REP,0,375,554,157,1086
Hillsborough,115,President,,Donald J. Trump,REP,0,236,429,125,790
Hillsborough,116,President,,Donald J. Trump,REP,0,265,355,111,731
Hillsborough,117,President,,Donald J. Trump,REP,0,589,831,170,1590
Hillsborough,119,President,,Donald J. Trump,REP,0,525,693,193,1411
Hillsborough,121,President,,Donald J. Trump,REP,0,411,619,188,1218
Hillsborough,123,President,,Donald J. Trump,REP,0,640,501,200,1341
Hillsborough,125,President,,Donald J. Trump,REP,0,251,237,146,634
Hillsborough,127,President,,Donald J. Trump,REP,0,500,552,340,1392
Hillsborough,129,President,,Donald J. Trump,REP,0,349,395,232,976
Hillsborough,131,President,,Donald J. Trump,REP,0,511,648,228,1387
Hillsborough,133,President,,Donald J. Trump,REP,0,382,382,100,864
Hillsborough,135,President,,Donald J. Trump,REP,0,622,740,233,1595
Hillsborough,137,President,,Donald J. Trump,REP,0,475,580,187,1242
Hillsborough,139,President,,Donald J. Trump,REP,0,600,724,182,1506
Hillsborough,141,President,,Donald J. Trump,REP,0,173,215,89,477
Hillsborough,145,President,,Donald J. Trump,REP,0,167,191,101,459
Hillsborough,151,President,,Donald J. Trump,REP,0,185,247,118,550
Hillsborough,153,President,,Donald J. Trump,REP,0,77,70,42,189
Hillsborough,157,President,,Donald J. Trump,REP,0,162,171,59,392
Hillsborough,159,President,,Donald J. Trump,REP,0,627,717,225,1569
Hillsborough,160,President,,Donald J. Trump,REP,0,218,332,122,672
Hillsborough,161,President,,Donald J. Trump,REP,0,228,390,162,780
Hillsborough,163,President,,Donald J. Trump,REP,0,116,127,60,303
Hillsborough,165,President,,Donald J. Trump,REP,0,135,228,173,536
Hillsborough,169,President,,Donald J. Trump,REP,0,142,218,136,496
Hillsborough,175,President,,Donald J. Trump,REP,0,344,384,199,927
Hillsborough,179,President,,Donald J. Trump,REP,0,204,279,166,649
Hillsborough,203,President,,Donald J. Trump,REP,0,215,362,208,785
Hillsborough,205,President,,Donald J. Trump,REP,0,429,487,196,1112
Hillsborough,207,President,,Donald J. Trump,REP,0,53,95,44,192
Hillsborough,209,President,,Donald J. Trump,REP,0,126,137,53,316
Hillsborough,213,President,,Donald J. Trump,REP,0,83,124,92,299
Hillsborough,217,President,,Donald J. Trump,REP,0,355,343,129,827
Hillsborough,218,President,,Donald J. Trump,REP,0,112,124,30,266
Hillsborough,219,President,,Donald J. Trump,REP,0,380,421,173,974
Hillsborough,221,President,,Donald J. Trump,REP,0,60,88,37,185
Hillsborough,223,President,,Donald J. Trump,REP,0,281,313,134,728
Hillsborough,225,President,,Donald J. Trump,REP,0,157,252,126,535
Hillsborough,227,President,,Donald J. Trump,REP,0,364,322,229,915
Hillsborough,231,President,,Donald J. Trump,REP,0,263,287,160,710
