county,precinct,office,district,candidate,party,election_day,early_voting,mail,provisional,votes
Hamilton,1 - Jennings City Hall,President,,Donald J. Trump,REP,,,,,245
Hamilton,1 - Jennings City Hall,President,,Joseph R. Biden,DEM,,,,,157
Hamilton,1 - Jennings City Hall,President,,Jorgensen and Cohen,LPF,,,,,2
Hamilton,1 - Jennings City Hall,President,,De La Fuente and Richardson,REF,0,0,0,0,0
Hamilton,1 - Jennings City Hall,President,,La Riva and Freeman,PSL,0,0,0,0,0
Hamilton,1 - Jennings City Hall,President,,Hawkins and Walker,GRE,,,,,1
Hamilton,1 - Jennings City Hall,President,,Blankenship and Mohr,CPF,0,0,0,0,0
Hamilton,1 - Jennings City Hall,President,,WRITE-IN,NON,,,,,2
Hamilton,2 - Jasper Courthouse,President,,Donald J. Trump,REP,75,143,89,0,307
Hamilton,2 - Jasper Courthouse,President,,Joseph R. Biden,DEM,,,,,583
Hamilton,2 - Jasper Courthouse,President,,Jorgensen and Cohen,LPF,,,,,3
Hamilton,2 - Jasper Courthouse,President,,De La Fuente and Richardson,REF,,,,,1
Hamilton,2 - Jasper Courthouse,President,,La Riva and Freeman,PSL,,,,,2
Hamilton,2 - Jasper Courthouse,President,,Hawkins and Walker,GRE,,,,,1
Hamilton,2 - Jasper Courthouse,President,,Blankenship and Mohr,CPF,,,,,2
Hamilton,2 - Jasper Courthouse,President,,WRITE-IN,NON,,,,,2
Hamilton,3 - White Springs Library,President,,Donald J. Trump,REP,173,128,96,0,397
Hamilton,3 - White Springs Library,President,,Joseph R. Biden,DEM,,,,,300
Hamilton,3 - White Springs Library,President,,Jorgensen and Cohen,LPF,,,,,3
Hamilton,3 - White Springs Library,President,,De La Fuente and Richardson,REF,0,0,0,0,0
Hamilton,3 - White Springs Library,President,,La Riva and Freeman,PSL,0,0,0,0,0
Hamilton,3 - White Springs Library,President,,Hawkins and Walker,GRE,0,0,0,0,0
Hamilton,3 - White Springs Library,President,,Blankenship and Mohr,CPF,0,0,0,0,0
Hamilton,3 - White Springs Library,President,,WRITE-IN,NON,0,0,0,0,0
Hamilton,4 - Jasper Civic Center,President,,Donald J. Trump,REP,186,398,275,0,859
Hamilton,4 - Jasper Civic Center,President,,Joseph R. Biden,DEM,,,,,320
Hamilton,4 - Jasper Civic Center,President,,Jorgensen and Cohen,LPF,,,,,11
Hamilton,4 - Jasper Civic Center,President,,De La Fuente and Richardson,REF,,,,,1
Hamilton,4 - Jasper Civic Center,President,,La Riva and Freeman,PSL,0,0,0,0,0
Hamilton,4 - Jasper Civic Center,President,,Hawkins and Walker,GRE,,,,,3
Hamilton,4 - Jasper Civic Center,President,,Blankenship and Mohr,CPF,0,0,0,0,0
Hamilton,4 - Jasper Civic Center,President,,WRITE-IN,NON,,,,,4
Hamilton,5 - Bright Pond Fellowship,President,,Donald J. Trump,REP,42,80,48,0,170
Hamilton,5 - Bright Pond Fellowship,President,,Joseph R. Biden,DEM,,,,,39
Hamilton,5 - Bright Pond Fellowship,President,,Jorgensen and Cohen,LPF,,,,,2
Hamilton,5 - Bright Pond Fellowship,President,,De La Fuente and Richardson,REF,,,,,1
Hamilton,5 - Bright Pond Fellowship,President,,La Riva and Freeman,PSL,0,0,0,0,0
Hamilton,5 - Bright Pond Fellowship,President,,Hawkins and Walker,GRE,0,0,0,0,0
Hamilton,5 - Bright Pond Fellowship,President,,Blankenship and Mohr,CPF,0,0,0,0,0
Hamilton,5 - Bright Pond Fellowship,President,,WRITE-IN,NON,0,0,0,0,0
Hamilton,6 - Genoa Vol. Fire Dept.,President,,Donald J. Trump,REP,,,,,448
Hamilton,6 - Genoa Vol. Fire Dept.,President,,Joseph R. Biden,DEM,53,56,53,0,162
Hamilton,6 - Genoa Vol. Fire Dept.,President,,Jorgensen and Cohen,LPF,,,,,2
Hamilton,6 - Genoa Vol. Fire Dept.,President,,De La Fuente and Richardson,REF,,,,,1
Hamilton,6 - Genoa Vol. Fire Dept.,President,,La Riva and Freeman,PSL,0,0,0,0,0
Hamilton,6 - Genoa Vol. Fire Dept.,President,,Hawkins and Walker,GRE,,,,,2
Hamilton,6 - Genoa Vol. Fire Dept.,President,,Blankenship and Mohr,CPF,0,0,0,0,0
Hamilton,6 - Genoa Vol. Fire Dept.,President,,WRITE-IN,NON,0,0,0,0,0
Hamilton,7 - Bellville Vol. Fire Dept.,President,,Donald J. Trump,REP,151,140,128,0,419
Hamilton,7 - Bellville Vol. Fire Dept.,President,,Joseph R. Biden,DEM,84,35,94,0,213
Hamilton,7 - Bellville Vol. Fire Dept.,President,,Jorgensen and Cohen,LPF,,,,,6
Hamilton,7 - Bellville Vol. Fire Dept.,President,,De La Fuente and Richardson,REF,0,0,0,0,0
Hamilton,7 - Bellville Vol. Fire Dept.,President,,La Riva and Freeman,PSL,0,0,0,0,0
Hamilton,7 - Bellville Vol. Fire Dept.,President,,Hawkins and Walker,GRE,0,0,0,0,0
Hamilton,7 - Bellville Vol. Fire Dept.,President,,Blankenship and Mohr,CPF,0,0,0,0,0
Hamilton,7 - Bellville Vol. Fire Dept.,President,,WRITE-IN,NON,0,0,0,0,0
Hamilton,8 - Cross Roads,President,,Donald J. Trump,REP,302,405,263,0,970
Hamilton,8 - Cross Roads,President,,Joseph R. Biden,DEM,,,,,189
Hamilton,8 - Cross Roads,President,,Jorgensen and Cohen,LPF,,,,,4
