county,precinct,office,district,candidate,party,mail,early_voting,election_day,votes
Brevard,Precinct 100,President,,Donald J. Trump,REP,389,481,395,1265
Brevard,Precinct 102,President,,Donald J. Trump,REP,125,223,114,462
Brevard,Precinct 103,President,,Donald J. Trump,REP,681,821,575,2077
Brevard,Precinct 104,President,,Donald J. Trump,REP,789,994,1003,2786
Brevard,Precinct 105,President,,Donald J. Trump,REP,812,1042,977,2831
Brevard,Precinct 106,President,,Donald J. Trump,REP,396,549,741,1686
Brevard,Precinct 107,President,,Donald J. Trump,REP,353,427,260,1040
Brevard,Precinct 108,President,,Donald J. Trump,REP,562,664,385,1611
Brevard,Precinct 109,President,,Donald J. Trump,REP,842,1053,766,2661
Brevard,Precinct 111,President,,Donald J. Trump,REP,362,532,382,1276
Brevard,Precinct 112,President,,Donald J. Trump,REP,544,645,406,1595
Brevard,Precinct 113,President,,Donald J. Trump,REP,366,688,560,1614
Brevard,Precinct 114,President,,Donald J. Trump,REP,801,1071,845,2717
Brevard,Precinct 115,President,,Donald J. Trump,REP,620,758,429,1807
Brevard,Precinct 116,President,,Donald J. Trump,REP,1172,933,408,2513
Brevard,Precinct 118,President,,Donald J. Trump,REP,949,1360,988,3297
Brevard,Precinct 120,President,,Donald J. Trump,REP,,,,111
Brevard,Precinct 121,President,,Donald J. Trump,REP,436,590,290,1316
Brevard,Precinct 122,President,,Donald J. Trump,REP,296,491,504,1291
Brevard,Precinct 123,President,,Donald J. Trump,REP,426,655,507,1588
Brevard,Precinct 124,President,,Donald J. Trump,REP,471,638,726,1835
Brevard,Precinct 125,President,,Donald J. Trump,REP,534,786,736,2056
Brevard,Precinct 126,President,,Donald J. Trump,REP,0,0,0,0
Brevard,Precinct 127,President,,Donald J. Trump,REP,184,176,152,512
Brevard,Precinct 128,President,,Donald J. Trump,REP,,,,4
Brevard,Precinct 129,President,,Donald J. Trump,REP,,,,23
Brevard,Precinct 130,President,,Donald J. Trump,REP,0,0,0,0
Brevard,Precinct 131,President,,Donald J. Trump,REP,297,382,118,797
Brevard,Precinct 132,President,,Donald J. Trump,REP,0,0,0,0
Brevard,Precinct 133,President,,Donald J. Trump,REP,0,0,0,0
Brevard,Precinct 135,President,,Donald J. Trump,REP,302,505,333,1140
Brevard,Precinct 136,President,,Donald J. Trump,REP,0,0,0,0
Brevard,Precinct 200,President,,Donald J. Trump,REP,271,307,289,867
Brevard,Precinct 201,President,,Donald J. Trump,REP,533,946,250,1729
