candidate,office,district,party,county,precinct,votes,absentee,early_voting,election_day,provisional,other
,Registered Voters,,,Wakulla,01 Wakulla Station,2863,,,,,
,Ballots Cast,,,Wakulla,01 Wakulla Station,2329,699,911,718,1,0
,Ballots Cast Blank,,,Wakulla,01 Wakulla Station,0,0,0,0,0,0
Donald J Trump,President,,REP,Wakulla,01 Wakulla Station,1593,325,676,591,1,0
Joseph R Biden,President,,DEM,Wakulla,01 Wakulla Station,699,360,225,114,0,0
Jo Jorgensen,President,,LPF,Wakulla,01 Wakulla Station,21,6,5,10,0,0
"Roque ""Rocky"" De La Fuente ",President,,REF,Wakulla,01 Wakulla Station,1,0,1,0,0,0
Gloria La Riva,President,,PSL,Wakulla,01 Wakulla Station,2,2,0,0,0,0
Howie Hawkins,President,,GRE,Wakulla,01 Wakulla Station,0,0,0,0,0,0
Don Blankenship,President,,CPF,Wakulla,01 Wakulla Station,1,1,0,0,0,0
Write-In,President,,,Wakulla,01 Wakulla Station,2,0,1,1,0,0
Neal Dunn,U.S. House,2,REP,Wakulla,01 Wakulla Station,1751,437,711,602,1,0
Write-In,U.S. House,2,,Wakulla,01 Wakulla Station,164,83,61,20,0,0
Marva Harris Preston,State Senate,3,REP,Wakulla,01 Wakulla Station,1589,335,664,590,0,0
Loranne Ausley,State Senate,3,DEM,Wakulla,01 Wakulla Station,686,347,225,113,1,0
Jason Shoaf,State House,7,REP,Wakulla,01 Wakulla Station,1602,349,666,586,1,0
Taymour Khan,State House,7,DEM,Wakulla,01 Wakulla Station,623,316,211,96,0,0
,Registered Voters,,,Wakulla,02 Crawfordville,6098,,,,,
,Ballots Cast,,,Wakulla,02 Crawfordville,4947,1310,2793,840,2,2
,Ballots Cast Blank,,,Wakulla,02 Crawfordville,0,0,0,0,0,0
Donald J Trump,President,,REP,Wakulla,02 Crawfordville,3390,651,2096,641,1,1
Joseph R Biden,President,,DEM,Wakulla,02 Crawfordville,1482,624,675,183,0,0
Jo Jorgensen,President,,LPF,Wakulla,02 Crawfordville,37,12,15,8,1,1
"Roque ""Rocky"" De La Fuente ",President,,REF,Wakulla,02 Crawfordville,1,1,0,0,0,0
Gloria La Riva,President,,PSL,Wakulla,02 Crawfordville,1,1,0,0,0,0
Howie Hawkins,President,,GRE,Wakulla,02 Crawfordville,6,3,1,2,0,0
Don Blankenship,President,,CPF,Wakulla,02 Crawfordville,2,2,0,0,0,0
Write-In,President,,,Wakulla,02 Crawfordville,14,7,3,4,0,0
Neal Dunn,U.S. House,2,REP,Wakulla,02 Crawfordville,3870,857,2314,697,2,0
Write-In,U.S. House,2,,Wakulla,02 Crawfordville,243,119,99,25,0,0
Marva Harris Preston,State Senate,3,REP,Wakulla,02 Crawfordville,3472,698,2122,648,2,2
Loranne Ausley,State Senate,3,DEM,Wakulla,02 Crawfordville,1354,574,611,169,0,0
Jason Shoaf,State House,7,REP,Wakulla,02 Crawfordville,3475,720,2123,630,2,0
Taymour Khan,State House,7,DEM,Wakulla,02 Crawfordville,1245,520,569,156,0,0
,Registered Voters,,,Wakulla,03 Sopchoppy,1348,,,,,
,Ballots Cast,,,Wakulla,03 Sopchoppy,1142,335,425,381,0,1
,Ballots Cast Blank,,,Wakulla,03 Sopchoppy,0,0,0,0,0,0
Donald J Trump,President,,REP,Wakulla,03 Sopchoppy,777,164,327,286,0,0
Joseph R Biden,President,,DEM,Wakulla,03 Sopchoppy,351,162,94,94,0,1
Jo Jorgensen,President,,LPF,Wakulla,03 Sopchoppy,4,3,1,0,0,0
"Roque ""Rocky"" De La Fuente ",President,,REF,Wakulla,03 Sopchoppy,0,0,0,0,0,0
Gloria La Riva,President,,PSL,Wakulla,03 Sopchoppy,0,0,0,0,0,0
Howie Hawkins,President,,GRE,Wakulla,03 Sopchoppy,2,2,0,0,0,0
Don Blankenship,President,,CPF,Wakulla,03 Sopchoppy,0,0,0,0,0,0
Write-In,President,,,Wakulla,03 Sopchoppy,2,0,1,1,0,0
Neal Dunn,U.S. House,2,REP,Wakulla,03 Sopchoppy,870,207,358,305,0,0
Write-In,U.S. House,2,,Wakulla,03 Sopchoppy,51,26,14,11,0,0
Marva Harris Preston,State Senate,3,REP,Wakulla,03 Sopchoppy,784,174,328,282,0,0
Loranne Ausley,State Senate,3,DEM,Wakulla,03 Sopchoppy,336,152,92,92,0,0
Jason Shoaf,State House,7,REP,Wakulla,03 Sopchoppy,779,172,316,291,0,0
Taymour Khan,State House,7,DEM,Wakulla,03 Sopchoppy,300,145,86,69,0,0
,Registered Voters,,,Wakulla,04 Smith Creek,210,,,,,
,Ballots Cast,,,Wakulla,04 Smith Creek,188,47,52,89,0,0
,Ballots Cast Blank,,,Wakulla,04 Smith Creek,0,0,0,0,0,0
Donald J Trump,President,,REP,Wakulla,04 Smith Creek,168,34,52,82,0,0
Joseph R Biden,President,,DEM,Wakulla,04 Smith Creek,20,13,0,7,0,0
Jo Jorgensen,President,,LPF,Wakulla,04 Smith Creek,0,0,0,0,0,0
"Roque ""Rocky"" De La Fuente ",President,,REF,Wakulla,04 Smith Creek,0,0,0,0,0,0
Gloria La Riva,President,,PSL,Wakulla,04 Smith Creek,0,0,0,0,0,0
Howie Hawkins,President,,GRE,Wakulla,04 Smith Creek,0,0,0,0,0,0
Don Blankenship,President,,CPF,Wakulla,04 Smith Creek,0,0,0,0,0,0
Write-In,President,,,Wakulla,04 Smith Creek,0,0,0,0,0,0
Neal Dunn,U.S. House,2,REP,Wakulla,04 Smith Creek,163,31,52,80,0,0
Write-In,U.S. House,2,,Wakulla,04 Smith Creek,8,7,0,1,0,0
Marva Harris Preston,State Senate,3,REP,Wakulla,04 Smith Creek,166,34,51,81,0,0
Loranne Ausley,State Senate,3,DEM,Wakulla,04 Smith Creek,20,13,0,7,0,0
Jason Shoaf,State House,7,REP,Wakulla,04 Smith Creek,163,31,51,81,0,0
Taymour Khan,State House,7,DEM,Wakulla,04 Smith Creek,14,11,0,3,0,0
,Registered Voters,,,Wakulla,05 St. Marks,398,,,,,
,Ballots Cast,,,Wakulla,05 St. Marks,338,71,92,175,0,0
,Ballots Cast Blank,,,Wakulla,05 St. Marks,0,0,0,0,0,0
Donald J Trump,President,,REP,Wakulla,05 St. Marks,245,31,61,153,0,0
Joseph R Biden,President,,DEM,Wakulla,05 St. Marks,89,39,30,20,0,0
Jo Jorgensen,President,,LPF,Wakulla,05 St. Marks,1,0,1,0,0,0
"Roque ""Rocky"" De La Fuente ",President,,REF,Wakulla,05 St. Marks,0,0,0,0,0,0
Gloria La Riva,President,,PSL,Wakulla,05 St. Marks,0,0,0,0,0,0
Howie Hawkins,President,,GRE,Wakulla,05 St. Marks,1,1,0,0,0,0
Don Blankenship,President,,CPF,Wakulla,05 St. Marks,0,0,0,0,0,0
Write-In,President,,,Wakulla,05 St. Marks,1,0,0,1,0,0
Neal Dunn,U.S. House,2,REP,Wakulla,05 St. Marks,265,41,66,158,0,0
Write-In,U.S. House,2,,Wakulla,05 St. Marks,24,7,15,2,0,0
Marva Harris Preston,State Senate,3,REP,Wakulla,05 St. Marks,244,33,62,149,0,0
Loranne Ausley,State Senate,3,DEM,Wakulla,05 St. Marks,86,37,30,19,0,0
Jason Shoaf,State House,7,REP,Wakulla,05 St. Marks,248,37,62,149,0,0
Taymour Khan,State House,7,DEM,Wakulla,05 St. Marks,77,34,27,16,0,0
,Registered Voters,,,Wakulla,06 Medart,1671,,,,,
,Ballots Cast,,,Wakulla,06 Medart,1316,319,698,299,0,0
,Ballots Cast Blank,,,Wakulla,06 Medart,0,0,0,0,0,0
Donald J Trump,President,,REP,Wakulla,06 Medart,1032,184,604,244,0,0
Joseph R Biden,President,,DEM,Wakulla,06 Medart,255,129,78,48,0,0
Jo Jorgensen,President,,LPF,Wakulla,06 Medart,17,2,9,6,0,0
"Roque ""Rocky"" De La Fuente ",President,,REF,Wakulla,06 Medart,0,0,0,0,0,0
Gloria La Riva,President,,PSL,Wakulla,06 Medart,1,1,0,0,0,0
Howie Hawkins,President,,GRE,Wakulla,06 Medart,1,0,1,0,0,0
Don Blankenship,President,,CPF,Wakulla,06 Medart,2,0,2,0,0,0
Write-In,President,,,Wakulla,06 Medart,4,1,2,1,0,0
Neal Dunn,U.S. House,2,REP,Wakulla,06 Medart,1117,225,623,269,0,0
Write-In,U.S. House,2,,Wakulla,06 Medart,51,31,14,6,0,0
Marva Harris Preston,State Senate,3,REP,Wakulla,06 Medart,1054,200,606,248,0,0
Loranne Ausley,State Senate,3,DEM,Wakulla,06 Medart,237,109,79,49,0,0
Jason Shoaf,State House,7,REP,Wakulla,06 Medart,1035,182,604,249,0,0
Taymour Khan,State House,7,DEM,Wakulla,06 Medart,226,123,65,38,0,0
