county,precinct,office,district,candidate,party,mail,early_voting,election_day,votes
Marion,0001,President,,Donald J. Trump,REP,135,184,204,523
Marion,0002,President,,Donald J. Trump,REP,-,-,-,57
Marion,0003,President,,Donald J. Trump,REP,329,515,347,1191
Marion,0004,President,,Donald J. Trump,REP,601,760,528,1889
Marion,0005,President,,Donald J. Trump,REP,289,442,406,1137
Marion,0006,President,,Donald J. Trump,REP,391,481,407,1279
Marion,0007,President,,Donald J. Trump,REP,384,437,319,1140
Marion,0008,President,,Donald J. Trump,REP,163,205,217,585
Marion,0009,President,,Donald J. Trump,REP,63,86,98,247
Marion,0010,President,,Donald J. Trump,REP,73,79,60,212
Marion,0011,President,,Donald J. Trump,REP,50,100,79,229
Marion,0012,President,,Donald J. Trump,REP,313,501,365,1179
Marion,0013,President,,Donald J. Trump,REP,77,97,53,227
Marion,0014,President,,Donald J. Trump,REP,595,975,566,2136
Marion,0015,President,,Donald J. Trump,REP,389,506,384,1279
Marion,0016,President,,Donald J. Trump,REP,262,471,453,1186
Marion,0017,President,,Donald J. Trump,REP,271,368,295,934
Marion,0018,President,,Donald J. Trump,REP,491,742,508,1741
Marion,0019,President,,Donald J. Trump,REP,104,254,336,694
Marion,0040,President,,Donald J. Trump,REP,393,833,467,1693
Marion,0050,President,,Donald J. Trump,REP,185,372,156,713
Marion,0060,President,,Donald J. Trump,REP,32,61,101,194
Marion,0070,President,,Donald J. Trump,REP,-,-,-,93
Marion,1500,President,,Donald J. Trump,REP,58,42,277,377
Marion,1510,President,,Donald J. Trump,REP,139,107,399,645
Marion,1520,President,,Donald J. Trump,REP,218,352,541,1111
Marion,1530,President,,Donald J. Trump,REP,321,352,623,1296
Marion,1540,President,,Donald J. Trump,REP,251,303,713,1267
Marion,1550,President,,Donald J. Trump,REP,363,772,747,1882
Marion,1560,President,,Donald J. Trump,REP,258,583,346,1187
Marion,1570,President,,Donald J. Trump,REP,404,727,370,1501
Marion,1580,President,,Donald J. Trump,REP,213,353,375,941
Marion,1590,President,,Donald J. Trump,REP,273,531,350,1154
Marion,1600,President,,Donald J. Trump,REP,339,663,405,1407
Marion,1610,President,,Donald J. Trump,REP,406,800,470,1676
Marion,2500,President,,Donald J. Trump,REP,204,264,345,813
