county,precinct,office,district,party,candidate,absentee,early_voting,election_day,provisional,other,votes
Madison,1,Registered Voters,,,,,,,,,2202
Madison,1,Ballots Cast,,,,417,1066,232,1,0,1716
Madison,1,President,,REP,Donald J. Trump,194,632,115,0,0,941
Madison,1,President,,DEM,Joseph R. Biden,216,424,114,1,0,755
Madison,1,President,,LPF,Jo Jorgensen,4,2,1,0,0,7
Madison,1,President,,REF,"Roque ""Rocky""De La Fuente",0,1,0,0,0,1
Madison,1,President,,PSL,Gloria La Riva,0,0,0,0,0,0
Madison,1,President,,GRE,Howie Hawkins,0,2,1,0,0,3
Madison,1,President,,CPF,Don Blankenship,0,0,0,0,0,0
Madison,1,U.S. House,5,REP,Gary Adler,180,584,104,0,0,868
Madison,1,U.S. House,5,DEM,Al Lawson,231,455,122,1,0,809
Madison,1,State Senate,3,REP,Marva Harris Preston,192,631,111,0,0,934
Madison,1,State Senate,3,DEM,Loranne Ausley,212,400,112,1,0,725
Madison,2,Registered Voters,,,,,,,,,442
Madison,2,Ballots Cast,,,,105,160,64,0,0,329
Madison,2,President,,REP,Donald J. Trump,13,45,13,0,0,71
Madison,2,President,,DEM,Joseph R. Biden,90,115,49,0,0,254
Madison,2,President,,LPF,Jo Jorgensen,0,0,0,0,0,0
Madison,2,President,,REF,"Roque ""Rocky""De La Fuente",0,0,0,0,0,0
Madison,2,President,,PSL,Gloria La Riva,0,0,0,0,0,0
Madison,2,President,,GRE,Howie Hawkins,0,0,0,0,0,0
Madison,2,President,,CPF,Don Blankenship,0,0,0,0,0,0
Madison,2,U.S. House,5,REP,Gary Adler,14,39,10,0,0,63
Madison,2,U.S. House,5,DEM,Al Lawson,88,119,54,0,0,261
Madison,2,State Senate,3,REP,Marva Harris Preston,15,42,16,0,0,73
Madison,2,State Senate,3,DEM,Loranne Ausley,87,111,46,0,0,244
Madison,3,Registered Voters,,,,,,,,,2096
Madison,3,Ballots Cast,,,,274,11178,279,5,0,1736
Madison,3,President,,REP,Donald J. Trump,178,991,252,3,0,1424
Madison,3,President,,DEM,Joseph R. Biden,91,172,25,1,0,289
