county,precinct,office,district,candidate,party,mail,early_voting,election_day,votes
Manatee,101,President,,Donald J. Trump,REP,966,1276,633,2875
Manatee,103,President,,Donald J. Trump,REP,200,281,108,589
Manatee,107,President,,Donald J. Trump,REP,245,333,363,941
Manatee,111,President,,Donald J. Trump,REP,251,320,106,677
Manatee,117,President,,Donald J. Trump,REP,1176,1851,907,3934
Manatee,119,President,,Donald J. Trump,REP,345,337,307,989
Manatee,121,President,,Donald J. Trump,REP,927,1397,464,2788
Manatee,123,President,,Donald J. Trump,REP,665,1152,242,2059
Manatee,125,President,,Donald J. Trump,REP,464,688,142,1294
Manatee,127,President,,Donald J. Trump,REP,1250,1735,613,3598
Manatee,129,President,,Donald J. Trump,REP,321,210,314,845
Manatee,131,President,,Donald J. Trump,REP,770,975,576,2321
Manatee,133,President,,Donald J. Trump,REP,197,127,217,541
Manatee,135,President,,Donald J. Trump,REP,1371,1603,674,3648
Manatee,137,President,,Donald J. Trump,REP,1041,1610,568,3219
Manatee,139,President,,Donald J. Trump,REP,1711,2551,833,5095
Manatee,141,President,,Donald J. Trump,REP,142,132,223,497
Manatee,201,President,,Donald J. Trump,REP,426,399,213,1038
Manatee,203,President,,Donald J. Trump,REP,269,342,167,778
Manatee,205,President,,Donald J. Trump,REP,,,,76
Manatee,207,President,,Donald J. Trump,REP,515,513,198,1226
Manatee,209,President,,Donald J. Trump,REP,161,210,91,462
Manatee,211,President,,Donald J. Trump,REP,337,537,171,1045
Manatee,213,President,,Donald J. Trump,REP,571,478,331,1380
Manatee,215,President,,Donald J. Trump,REP,142,167,280,589
Manatee,217,President,,Donald J. Trump,REP,550,461,380,1391
Manatee,219,President,,Donald J. Trump,REP,543,362,381,1286
Manatee,221,President,,Donald J. Trump,REP,610,438,448,1496
Manatee,223,President,,Donald J. Trump,REP,170,172,135,477
Manatee,301,President,,Donald J. Trump,REP,162,64,222,448
Manatee,303,President,,Donald J. Trump,REP,251,138,279,668
Manatee,305,President,,Donald J. Trump,REP,300,145,259,704
Manatee,307,President,,Donald J. Trump,REP,143,63,134,340
Manatee,309,President,,Donald J. Trump,REP,474,235,380,1089
Manatee,311,President,,Donald J. Trump,REP,1031,899,739,2669
Manatee,313,President,,Donald J. Trump,REP,791,545,441,1777
Manatee,315,President,,Donald J. Trump,REP,791,715,425,1931
Manatee,317,President,,Donald J. Trump,REP,781,714,728,2223
Manatee,321,President,,Donald J. Trump,REP,,,,219
Manatee,323,President,,Donald J. Trump,REP,859,751,469,2079
Manatee,325,President,,Donald J. Trump,REP,784,576,331,1691
Manatee,327,President,,Donald J. Trump,REP,931,827,652,2410
Manatee,329,President,,Donald J. Trump,REP,725,672,394,1791
Manatee,331,President,,Donald J. Trump,REP,482,354,294,1130
Manatee,333,President,,Donald J. Trump,REP,1261,906,797,2964
Manatee,401,President,,Donald J. Trump,REP,349,389,422,1160
Manatee,403,President,,Donald J. Trump,REP,622,560,315,1497
Manatee,405,President,,Donald J. Trump,REP,187,136,71,394
Manatee,407,President,,Donald J. Trump,REP,216,159,139,514
Manatee,409,President,,Donald J. Trump,REP,732,429,501,1662
Manatee,411,President,,Donald J. Trump,REP,615,428,259,1302
Manatee,413,President,,Donald J. Trump,REP,500,499,567,1566
Manatee,415,President,,Donald J. Trump,REP,580,499,524,1603
Manatee,417,President,,Donald J. Trump,REP,1073,973,657,2703
Manatee,419,President,,Donald J. Trump,REP,1012,942,592,2546
Manatee,421,President,,Donald J. Trump,REP,372,294,431,1097
Manatee,501,President,,Donald J. Trump,REP,1618,1613,844,4075
Manatee,503,President,,Donald J. Trump,REP,1006,873,596,2475
Manatee,505,President,,Donald J. Trump,REP,1124,711,564,2399
Manatee,507,President,,Donald J. Trump,REP,692,551,495,1738
Manatee,509,President,,Donald J. Trump,REP,762,878,698,2338
Manatee,511,President,,Donald J. Trump,REP,955,686,548,2189
Manatee,513,President,,Donald J. Trump,REP,608,339,360,1307
Manatee,515,President,,Donald J. Trump,REP,1318,1604,444,3366
Manatee,517,President,,Donald J. Trump,REP,1352,1573,314,3239
Manatee,519,President,,Donald J. Trump,REP,1761,2306,709,4776
Manatee,521,President,,Donald J. Trump,REP,1599,1641,169,3409
Manatee,523,President,,Donald J. Trump,REP,790,1072,450,2312
Manatee,525,President,,Donald J. Trump,REP,859,1008,677,2544
Manatee,527,President,,Donald J. Trump,REP,316,334,839,1489
Manatee,101,President,,Joseph R. Biden,DEM,919,534,183,1636
Manatee,103,President,,Joseph R. Biden,DEM,,,,350
Manatee,107,President,,Joseph R. Biden,DEM,217,144,72,433
Manatee,111,President,,Joseph R. Biden,DEM,283,186,39,508
Manatee,117,President,,Joseph R. Biden,DEM,1496,801,356,2653
Manatee,119,President,,Joseph R. Biden,DEM,322,153,81,556
Manatee,121,President,,Joseph R. Biden,DEM,1005,469,98,1572
Manatee,123,President,,Joseph R. Biden,DEM,873,559,123,1555
Manatee,125,President,,Joseph R. Biden,DEM,,,,729
Manatee,127,President,,Joseph R. Biden,DEM,1193,555,175,1923
Manatee,129,President,,Joseph R. Biden,DEM,271,101,64,436
Manatee,131,President,,Joseph R. Biden,DEM,1117,448,171,1736
Manatee,133,President,,Joseph R. Biden,DEM,210,64,57,331
Manatee,135,President,,Joseph R. Biden,DEM,1287,463,122,1872
Manatee,137,President,,Joseph R. Biden,DEM,832,499,117,1448
Manatee,139,President,,Joseph R. Biden,DEM,1341,754,180,2275
Manatee,141,President,,Joseph R. Biden,DEM,,,,91
Manatee,201,President,,Joseph R. Biden,DEM,428,180,90,698
Manatee,203,President,,Joseph R. Biden,DEM,226,154,53,433
Manatee,205,President,,Joseph R. Biden,DEM,353,296,209,858
Manatee,207,President,,Joseph R. Biden,DEM,566,327,149,1042
Manatee,209,President,,Joseph R. Biden,DEM,535,369,250,1154
Manatee,211,President,,Joseph R. Biden,DEM,312,153,46,511
Manatee,213,President,,Joseph R. Biden,DEM,1189,639,423,2251
Manatee,215,President,,Joseph R. Biden,DEM,391,313,302,1006
Manatee,217,President,,Joseph R. Biden,DEM,732,414,285,1431
Manatee,219,President,,Joseph R. Biden,DEM,863,284,181,1328
