county,precinct,office,district,party,candidate,election_day,early_voting,absentee,provisional,other,votes
Dixie,1 1ST DIST. COM. BLDG,Registered Voters,,,,2436,2436,2436,2436,2436,2436
Dixie,1 1ST DIST. COM. BLDG,Ballots Cast,,,,569,644,658,0,0,1871
Dixie,1 1ST DIST. COM. BLDG,President,,REP,Donald J. Trump,516,561,485,0,0,1562
Dixie,1 1ST DIST. COM. BLDG,President,,DEM,Joseph R. Biden,47,80,162,0,0,289
Dixie,1 1ST DIST. COM. BLDG,President,,LPF,Jo Jorgensen,2,1,4,0,0,7
Dixie,1 1ST DIST. COM. BLDG,President,,REF,De La Fuente,0,0,0,0,0,0
Dixie,1 1ST DIST. COM. BLDG,President,,PSL,La Riva,1,0,0,0,0,1
Dixie,1 1ST DIST. COM. BLDG,President,,GRE,Howie Hawkins,0,0,1,0,0,1
Dixie,1 1ST DIST. COM. BLDG,President,,CPF,Don Blankenship,0,0,0,0,0,0
Dixie,1 1ST DIST. COM. BLDG,President,,,Write-In,2,0,1,0,0,3
Dixie,1 1ST DIST. COM. BLDG,U.S. House,2,REP,Neal Dunn,520,563,555,0,0,1638
Dixie,1 1ST DIST. COM. BLDG,U.S. House,2,DEM,Write-In,5,10,29,0,0,44
Dixie,1 1ST DIST. COM. BLDG,State Senate,5,REP,Jennifer Bradley,486,523,482,0,0,1491
Dixie,1 1ST DIST. COM. BLDG,State Senate,5,DEM,Melina Rayna Barratt,62,80,141,0,0,283
Dixie,1 1ST DIST. COM. BLDG,State House,21,REP,Chuck Clemons,508,539,495,0,0,1542
Dixie,1 1ST DIST. COM. BLDG,State House,21,DEM,Kayser Enneking,48,81,142,0,0,271
Dixie,2 MASONIC LODGE,Registered Voters,,,,518,518,518,518,518,518
Dixie,2 MASONIC LODGE,Ballots Cast,,,,100,221,103,0,1,425
Dixie,2 MASONIC LODGE,President,,REP,Donald J. Trump,78,197,77,0,1,353
Dixie,2 MASONIC LODGE,President,,DEM,Joseph R. Biden,20,21,25,0,0,66
Dixie,2 MASONIC LODGE,President,,LPF,Jo Jorgensen,0,1,0,0,0,1
Dixie,2 MASONIC LODGE,President,,REF,De La Fuente,0,0,0,0,0,0
Dixie,2 MASONIC LODGE,President,,PSL,La Riva,0,0,0,0,0,0
Dixie,2 MASONIC LODGE,President,,GRE,Howie Hawkins,0,0,0,0,0,0
