county,precinct,office,district,candidate,party,mail,early_voting,election_day,votes
Columbia,10 Richardson Comm Ctr,President,,Donald J. Trump/Michael R. Pence,REP,56,104,36,196
Columbia,12 Supv Elections,President,,Donald J. Trump/Michael R. Pence,REP,-,-,-,62
Columbia,13 Supv Elections,President,,Donald J. Trump/Michael R. Pence,REP,-,-,-,55
Columbia,14 Supv Elections,President,,Donald J. Trump/Michael R. Pence,REP,45,78,35,158
Columbia,15 Winfield Comm Ctr,President,,Donald J. Trump/Michael R. Pence,REP,83,198,142,423
Columbia,16 Winfield Comm Ctr,President,,Donald J. Trump/Michael R. Pence,REP,282,486,337,1105
Columbia,17 Richardson Comm Ctr,President,,Donald J. Trump/Michael R. Pence,REP,167,316,168,651
Columbia,21 Westside Community Ctr,President,,Donald J. Trump/Michael R. Pence,REP,206,520,321,1047
Columbia,22 Columbia City,President,,Donald J. Trump/Michael R. Pence,REP,286,759,296,1341
Columbia,23 Ft White Comm Center,President,,Donald J. Trump/Michael R. Pence,REP,627,2294,600,3521
Columbia,31 Westside Community Ctr,President,,Donald J. Trump/Michael R. Pence,REP,531,1093,495,2119
Columbia,32 Winfield Comm Center,President,,Donald J. Trump/Michael R. Pence,REP,66,146,56,268
Columbia,33 Southside Rec Complex,President,,Donald J. Trump/Michael R. Pence,REP,778,1684,556,3018
Columbia,34 Supv Elections,President,,Donald J. Trump/Michael R. Pence,REP,132,273,99,504
Columbia,41 Lulu Comm Center,President,,Donald J. Trump/Michael R. Pence,REP,400,745,347,1492
Columbia,42 Lulu Comm Center,President,,Donald J. Trump/Michael R. Pence,REP,50,86,122,258
Columbia,43 Mason City Comm Center,President,,Donald J. Trump/Michael R. Pence,REP,276,629,524,1429
Columbia,44 Ft White Comm Center,President,,Donald J. Trump/Michael R. Pence,REP,310,711,247,1268
Columbia,51 Southside Rec Complex,President,,Donald J. Trump/Michael R. Pence,REP,373,957,289,1619
Columbia,52 Columbia City,President,,Donald J. Trump/Michael R. Pence,REP,395,1204,450,2049
Columbia,53 Supv Elections Office,President,,Donald J. Trump/Michael R. Pence,REP,186,366,135,687
Columbia,54 Supv Elections Office,President,,Donald J. Trump/Michael R. Pence,REP,183,294,89,566
Columbia,10 Richardson Comm Ctr,President,,Joseph R. Biden/Kamala D. Harris,DEM,360,253,183,796
Columbia,12 Supv Elections,President,,Joseph R. Biden/Kamala D. Harris,DEM,147,153,65,365
Columbia,13 Supv Elections,President,,Joseph R. Biden/Kamala D. Harris,DEM,-,-,-,11
