candidate,office,district,party,county,precinct,absentee,early_voting,election_day,other,provisional,votes
,Registered Voters,,,Okeechobee,1,,,,,,1593
,Ballots Cast,,,Okeechobee,1,279,534,371,1,1,1186
Donald J. Trump,President,,REP,Okeechobee,1,185,470,304,0,1,960
Joseph R. Biden,President,,DEM,Okeechobee,1,91,63,67,1,0,222
Jo Jorgensen,President,,LPF,Okeechobee,1,2,1,0,0,0,3
"Roque ""Rocky""De La Fuente",President,,REF,Okeechobee,1,0,0,0,0,0,0
Gloria La Riva,President,,PSL,Okeechobee,1,0,0,0,0,0,0
Howie Hawkins,President,,GRE,Okeechobee,1,0,0,0,0,0,0
Don Blankenship,President,,CPF,Okeechobee,1,0,0,0,0,0,0
Write-In,President,,,Okeechobee,1,0,0,0,0,0,0
Greg Steube,U.S. House,17,REP,Okeechobee,1,181,453,294,0,1,929
Allen Ellison,U.S. House,17,DEM,Okeechobee,1,85,64,60,1,0,210
"Theodore ""Pink Tie"" Murray",U.S. House,17,NPA,Okeechobee,1,3,3,3,0,0,9
Kaylee Tuck,State House,55,REP,Okeechobee,1,183,456,308,0,1,948
Linda Tripp,State House,55,DEM,Okeechobee,1,85,65,53,1,0,204
Write-In,State House,55,,Okeechobee,1,0,0,0,0,0,0
,Registered Voters,,,Okeechobee,2,,,,,,849
,Ballots Cast,,,Okeechobee,2,161,209,270,0,1,641
Donald J. Trump,President,,REP,Okeechobee,2,109,183,237,0,1,530
Joseph R. Biden,President,,DEM,Okeechobee,2,50,26,32,0,0,108
Jo Jorgensen,President,,LPF,Okeechobee,2,0,0,1,0,0,1
"Roque ""Rocky""De La Fuente",President,,REF,Okeechobee,2,0,0,0,0,0,0
Gloria La Riva,President,,PSL,Okeechobee,2,0,0,0,0,0,0
Howie Hawkins,President,,GRE,Okeechobee,2,0,0,0,0,0,0
Don Blankenship,President,,CPF,Okeechobee,2,0,0,0,0,0,0
Write-In,President,,,Okeechobee,2,0,0,0,0,0,0
Greg Steube,U.S. House,17,REP,Okeechobee,2,109,176,229,0,1,515
Allen Ellison,U.S. House,17,DEM,Okeechobee,2,45,25,30,0,0,100
"Theodore ""Pink Tie"" Murray",U.S. House,17,NPA,Okeechobee,2,2,1,3,0,0,6
Kaylee Tuck,State House,55,REP,Okeechobee,2,107,177,242,0,1,527
Linda Tripp,State House,55,DEM,Okeechobee,2,50,25,24,0,0,99
Write-In,State House,55,,Okeechobee,2,2,0,0,0,0,2
,Registered Voters,,,Okeechobee,3,,,,,,2449
,Ballots Cast,,,Okeechobee,3,534,967,491,0,0,1992
Donald J. Trump,President,,REP,Okeechobee,3,330,814,425,0,0,1569
Joseph R. Biden,President,,DEM,Okeechobee,3,194,147,59,0,0,400
Jo Jorgensen,President,,LPF,Okeechobee,3,4,2,2,0,0,8
"Roque ""Rocky""De La Fuente",President,,REF,Okeechobee,3,0,0,0,0,0,0
Gloria La Riva,President,,PSL,Okeechobee,3,0,0,0,0,0,0
Howie Hawkins,President,,GRE,Okeechobee,3,2,0,0,0,0,2
Don Blankenship,President,,CPF,Okeechobee,3,0,0,0,0,0,0
Write-In,President,,,Okeechobee,3,2,2,4,0,0,8
Greg Steube,U.S. House,17,REP,Okeechobee,3,321,795,411,0,0,1527
Allen Ellison,U.S. House,17,DEM,Okeechobee,3,173,131,53,0,0,357
"Theodore ""Pink Tie"" Murray",U.S. House,17,NPA,Okeechobee,3,10,11,8,0,0,29
Kaylee Tuck,State House,55,REP,Okeechobee,3,329,812,416,0,0,1557
Linda Tripp,State House,55,DEM,Okeechobee,3,182,137,58,0,0,377
Write-In,State House,55,,Okeechobee,3,1,0,0,0,0,1
,Registered Voters,,,Okeechobee,4,,,,,,3021
,Ballots Cast,,,Okeechobee,4,477,794,577,0,1,1849
Donald J. Trump,President,,REP,Okeechobee,4,229,509,356,0,0,1094
Joseph R. Biden,President,,DEM,Okeechobee,4,241,278,209,0,1,729
Jo Jorgensen,President,,LPF,Okeechobee,4,3,3,6,0,0,12
"Roque ""Rocky""De La Fuente",President,,REF,Okeechobee,4,0,0,0,0,0,0
Gloria La Riva,President,,PSL,Okeechobee,4,0,0,2,0,0,2
Howie Hawkins,President,,GRE,Okeechobee,4,0,0,0,0,0,0
Don Blankenship,President,,CPF,Okeechobee,4,0,0,0,0,0,0
Write-In,President,,,Okeechobee,4,1,1,1,0,0,3
Greg Steube,U.S. House,17,REP,Okeechobee,4,219,495,317,0,0,1031
Allen Ellison,U.S. House,17,DEM,Okeechobee,4,232,264,220,0,1,717
"Theodore ""Pink Tie"" Murray",U.S. House,17,NPA,Okeechobee,4,8,17,14,0,0,39
Kaylee Tuck,State House,55,REP,Okeechobee,4,230,516,352,0,0,1098
Linda Tripp,State House,55,DEM,Okeechobee,4,234,258,207,0,1,700
Write-In,State House,55,,Okeechobee,4,0,0,2,0,0,2
,Registered Voters,,,Okeechobee,5,,,,,,1567
,Ballots Cast,,,Okeechobee,5,448,461,233,0,0,1142
Donald J. Trump,President,,REP,Okeechobee,5,267,377,193,0,0,837
Joseph R. Biden,President,,DEM,Okeechobee,5,177,84,36,0,0,297
