candidate,office,district,party,county,precinct,votes,absentee,election_day,early_voting
Registered Voters,,,,Flagler,1,2225,,,
Ballots Cast,,,,Flagler,1,1627,623,621,383
Ballots Cast Blank,,,,Flagler,1,0,,,
Donald J. Trump,President,,REP,Flagler,1,991,309,430,252
Joseph R. Biden,President,,DEM,Flagler,1,615,302,186,127
Jo Jorgensen,President,,LPF,Flagler,1,5,2,2,1
"Roque ""Rocky""De La Fuente",President,,REF,Flagler,1,0,0,0,0
Gloria La Riva,President,,PSL,Flagler,1,0,0,0,0
Howie Hawkins,President,,GRE,Flagler,1,0,0,0,0
Don Blankenship,President,,CPF,Flagler,1,0,0,0,0
Write-In,President,,,Flagler,1,4,1,0,3
Over Votes,President,,,Flagler,1,2,0,2,0
Under Votes,President,,,Flagler,1,10,9,1,0
Michael Waltz,U.S. House,6,REP,Flagler,1,983,315,426,242
Clint Curtis,U.S. House,6,DEM,Flagler,1,581,288,173,120
Write-In,U.S. House,6,,Flagler,1,1,0,0,1
Over Votes,U.S. House,6,,Flagler,1,0,0,0,0
Under Votes,U.S. House,6,,Flagler,1,62,20,22,20
Travis J Hutson,State Senate,7,REP,Flagler,1,942,301,413,228
Heather Hunter,State Senate,7,DEM,Flagler,1,595,297,173,125
Write-In,State Senate,7,,Flagler,1,0,0,0,0
Over Votes,State Senate,7,,Flagler,1,0,0,0,0
Under Votes,State Senate,7,,Flagler,1,90,25,35,30
Paul Renner,State House,24,REP,Flagler,1,947,298,413,236
Adam Morley,State House,24,DEM,Flagler,1,585,286,177,122
Over Votes,State House,24,,Flagler,1,0,0,0,0
Under Votes,State House,24,,Flagler,1,95,39,31,25
Registered Voters,,,,Flagler,3,2949,,,
Ballots Cast,,,,Flagler,3,2017,656,584,777
Ballots Cast Blank,,,,Flagler,3,0,0,0,0
Donald J. Trump,President,,REP,Flagler,3,1599,403,508,688
Joseph R. Biden,President,,DEM,Flagler,3,397,237,76,84
Jo Jorgensen,President,,LPF,Flagler,3,6,5,0,1
"Roque ""Rocky""De La Fuente",President,,REF,Flagler,3,0,0,0,0
Gloria La Riva,President,,PSL,Flagler,3,0,0,0,0
Howie Hawkins,President,,GRE,Flagler,3,2,0,0,2
Don Blankenship,President,,CPF,Flagler,3,0,0,0,0
Write-In,President,,,Flagler,3,1,1,0,0
Over Votes,President,,,Flagler,3,2,0,0,2
Under Votes,President,,,Flagler,3,10,10,0,0
Michael Waltz,U.S. House,6,REP,Flagler,3,1554,393,498,663
Clint Curtis,U.S. House,6,DEM,Flagler,3,390,234,72,84
Write-In,U.S. House,6,,Flagler,3,1,0,0,1
Over Votes,U.S. House,6,,Flagler,3,0,0,0,0
Under Votes,U.S. House,6,,Flagler,3,72,29,14,29
Travis J Hutson,State Senate,7,REP,Flagler,3,1501,367,490,644
Heather Hunter,State Senate,7,DEM,Flagler,3,421,252,79,90
Write-In,State Senate,7,,Flagler,3,1,0,0,1
Over Votes,State Senate,7,,Flagler,3,0,0,0,0
Under Votes,State Senate,7,,Flagler,3,94,37,15,42
Paul Renner,State House,24,REP,Flagler,3,1522,377,498,647
Adam Morley,State House,24,DEM,Flagler,3,400,244,70,86
Over Votes,State House,24,,Flagler,3,0,0,0,0
Under Votes,State House,24,,Flagler,3,95,35,16,44
Registered Voters,,,,Flagler,5,760,,,
Ballots Cast,,,,Flagler,5,671,360,204,107
Ballots Cast Blank,,,,Flagler,5,0,0,0,0
Donald J. Trump,President,,REP,Flagler,5,494,232,170,92
Joseph R. Biden,President,,DEM,Flagler,5,170,124,32,14
Jo Jorgensen,President,,LPF,Flagler,5,1,0,1,0
"Roque ""Rocky""De La Fuente",President,,REF,Flagler,5,0,0,0,0
Gloria La Riva,President,,PSL,Flagler,5,0,0,0,0
Howie Hawkins,President,,GRE,Flagler,5,1,0,0,1
Don Blankenship,President,,CPF,Flagler,5,2,2,0,0
Write-In,President,,,Flagler,5,2,2,0,0
Over Votes,President,,,Flagler,5,1,0,1,0
Under Votes,President,,,Flagler,5,0,0,0,0
Michael Waltz,U.S. House,6,REP,Flagler,5,499,237,171,91
Clint Curtis,U.S. House,6,DEM,Flagler,5,162,119,29,14
Write-In,U.S. House,6,,Flagler,5,0,0,0,0
Over Votes,U.S. House,6,,Flagler,5,0,0,0,0
Under Votes,U.S. House,6,,Flagler,5,10,4,4,2
Travis J Hutson,State Senate,7,REP,Flagler,5,474,225,166,83
Heather Hunter,State Senate,7,DEM,Flagler,5,169,122,30,17
Write-In,State Senate,7,,Flagler,5,2,2,0,0
Over Votes,State Senate,7,,Flagler,5,0,0,0,0
Under Votes,State Senate,7,,Flagler,5,26,11,8,7
Paul Renner,State House,24,REP,Flagler,5,481,228,167,86
Adam Morley,State House,24,DEM,Flagler,5,166,122,29,15
Over Votes,State House,24,,Flagler,5,0,0,0,0
Under Votes,State House,24,,Flagler,5,24,10,8,6
Registered Voters,,,,Flagler,7,2239,,,
Ballots Cast,,,,Flagler,7,1988,1019,610,359
Ballots Cast Blank,,,,Flagler,7,0,0,0,0
Donald J. Trump,President,,REP,Flagler,7,1386,587,494,305
Joseph R. Biden,President,,DEM,Flagler,7,583,419,115,49
Jo Jorgensen,President,,LPF,Flagler,7,6,4,0,2
"Roque ""Rocky""De La Fuente",President,,REF,Flagler,7,1,1,0,0
Gloria La Riva,President,,PSL,Flagler,7,0,0,0,0
Howie Hawkins,President,,GRE,Flagler,7,1,1,0,0
Don Blankenship,President,,CPF,Flagler,7,0,0,0,0
Write-In,President,,,Flagler,7,4,2,0,2
Over Votes,President,,,Flagler,7,1,0,0,1
Under Votes,President,,,Flagler,7,6,5,1,0
Michael Waltz,U.S. House,6,REP,Flagler,7,1408,615,491,302
Clint Curtis,U.S. House,6,DEM,Flagler,7,529,381,104,44
Write-In,U.S. House,6,,Flagler,7,2,2,0,0
Over Votes,U.S. House,6,,Flagler,7,0,0,0,0
Under Votes,U.S. House,6,,Flagler,7,49,21,15,13
Travis J Hutson,State Senate,7,REP,Flagler,7,1362,597,472,293
Heather Hunter,State Senate,7,DEM,Flagler,7,534,373,113,48
Write-In,State Senate,7,,Flagler,7,0,0,0,0
Over Votes,State Senate,7,,Flagler,7,0,0,0,0
Under Votes,State Senate,7,,Flagler,7,92,49,25,18
Paul Renner,State House,24,REP,Flagler,7,1376,602,480,294
Adam Morley,State House,24,DEM,Flagler,7,528,376,106,46
Over Votes,State House,24,,Flagler,7,0,0,0,0
Under Votes,State House,24,,Flagler,7,84,41,24,19
Registered Voters,,,,Flagler,8,4602,,,
Ballots Cast,,,,Flagler,8,3506,1425,1438,643
Ballots Cast Blank,,,,Flagler,8,0,0,0,0
Donald J. Trump,President,,REP,Flagler,8,2120,613,1037,470
Joseph R. Biden,President,,DEM,Flagler,8,1334,785,387,162
