county,precinct,office,district,candidate,party,election_day,early_voting,mail,provisional,votes
Charlotte,1 - Cleveland United Methodist,President,,Donald J. Trump,REP,94,138,71,0,303
Charlotte,1 - Cleveland United Methodist,President,,Joseph R. Biden,DEM,,,,,161
Charlotte,1 - Cleveland United Methodist,President,,Jo Jorgensen,LPF,,,,,3
Charlotte,1 - Cleveland United Methodist,President,,"Roque ""Rocky"" De La Fuente",REF,0,0,0,0,0
Charlotte,1 - Cleveland United Methodist,President,,Gloria La Riva,PSL,0,0,0,0,0
Charlotte,1 - Cleveland United Methodist,President,,Howie Hawkins,GRE,0,0,0,0,0
Charlotte,1 - Cleveland United Methodist,President,,Don Blankenship,CPF,0,0,0,0,0
Charlotte,1 - Cleveland United Methodist,President,,WRITE-IN,NON,0,0,0,0,0
Charlotte,2 - East Elementary School,President,,Donald J. Trump,REP,40,202,128,0,370
Charlotte,2 - East Elementary School,President,,Joseph R. Biden,DEM,,,,,193
Charlotte,2 - East Elementary School,President,,Jo Jorgensen,LPF,,,,,1
Charlotte,2 - East Elementary School,President,,"Roque ""Rocky"" De La Fuente",REF,0,0,0,0,0
Charlotte,2 - East Elementary School,President,,Gloria La Riva,PSL,0,0,0,0,0
Charlotte,2 - East Elementary School,President,,Howie Hawkins,GRE,0,0,0,0,0
Charlotte,2 - East Elementary School,President,,Don Blankenship,CPF,0,0,0,0,0
Charlotte,2 - East Elementary School,President,,WRITE-IN,NON,0,0,0,0,0
Charlotte,3 - Charlotte Harbor Event and,President,,Donald J. Trump,REP,40,98,94,0,232
Charlotte,3 - Charlotte Harbor Event and,President,,Joseph R. Biden,DEM,,,,,256
Charlotte,3 - Charlotte Harbor Event and,President,,Jo Jorgensen,LPF,0,0,0,0,0
Charlotte,3 - Charlotte Harbor Event and,President,,"Roque ""Rocky"" De La Fuente",REF,0,0,0,0,0
Charlotte,3 - Charlotte Harbor Event and,President,,Gloria La Riva,PSL,0,0,0,0,0
Charlotte,3 - Charlotte Harbor Event and,President,,Howie Hawkins,GRE,,,,,1
Charlotte,3 - Charlotte Harbor Event and,President,,Don Blankenship,CPF,0,0,0,0,0
Charlotte,3 - Charlotte Harbor Event and,President,,WRITE-IN,NON,,,,,3
Charlotte,4 - Charlotte Harbor Event and,President,,Donald J. Trump,REP,,,,,205
Charlotte,4 - Charlotte Harbor Event and,President,,Joseph R. Biden,DEM,,,,,139
Charlotte,4 - Charlotte Harbor Event and,President,,Jo Jorgensen,LPF,,,,,2
Charlotte,4 - Charlotte Harbor Event and,President,,"Roque ""Rocky"" De La Fuente",REF,0,0,0,0,0
Charlotte,4 - Charlotte Harbor Event and,President,,Gloria La Riva,PSL,0,0,0,0,0
Charlotte,4 - Charlotte Harbor Event and,President,,Howie Hawkins,GRE,0,0,0,0,0
Charlotte,4 - Charlotte Harbor Event and,President,,Don Blankenship,CPF,0,0,0,0,0
Charlotte,4 - Charlotte Harbor Event and,President,,WRITE-IN,NON,,,,,1
Charlotte,5 - Peace River Elementary Sch,President,,Donald J. Trump,REP,108,339,451,0,898
Charlotte,5 - Peace River Elementary Sch,President,,Joseph R. Biden,DEM,,,,,666
Charlotte,5 - Peace River Elementary Sch,President,,Jo Jorgensen,LPF,,,,,10
Charlotte,5 - Peace River Elementary Sch,President,,"Roque ""Rocky"" De La Fuente",REF,,,,,1
Charlotte,5 - Peace River Elementary Sch,President,,Gloria La Riva,PSL,0,0,0,0,0
Charlotte,5 - Peace River Elementary Sch,President,,Howie Hawkins,GRE,0,0,0,0,0
Charlotte,5 - Peace River Elementary Sch,President,,Don Blankenship,CPF,,,,,1
Charlotte,5 - Peace River Elementary Sch,President,,WRITE-IN,NON,,,,,3
Charlotte,6 - Charlotte County Fairgroun,President,,Donald J. Trump,REP,,,,,"1,544"
Charlotte,6 - Charlotte County Fairgroun,President,,Joseph R. Biden,DEM,,,,,823
Charlotte,6 - Charlotte County Fairgroun,President,,Jo Jorgensen,LPF,,,,,7
Charlotte,6 - Charlotte County Fairgroun,President,,"Roque ""Rocky"" De La Fuente",REF,,,,,1
Charlotte,6 - Charlotte County Fairgroun,President,,Gloria La Riva,PSL,0,0,0,0,0
Charlotte,6 - Charlotte County Fairgroun,President,,Howie Hawkins,GRE,,,,,1
Charlotte,6 - Charlotte County Fairgroun,President,,Don Blankenship,CPF,,,,,1
Charlotte,6 - Charlotte County Fairgroun,President,,WRITE-IN,NON,,,,,7
Charlotte,7 - American Legion Post #113,President,,Donald J. Trump,REP,,,,,"1,653"
Charlotte,7 - American Legion Post #113,President,,Joseph R. Biden,DEM,,,,,871
Charlotte,7 - American Legion Post #113,President,,Jo Jorgensen,LPF,,,,,13
Charlotte,7 - American Legion Post #113,President,,"Roque ""Rocky"" De La Fuente",REF,0,0,0,0,0
Charlotte,7 - American Legion Post #113,President,,Gloria La Riva,PSL,0,0,0,0,0
Charlotte,7 - American Legion Post #113,President,,Howie Hawkins,GRE,,,,,1
Charlotte,7 - American Legion Post #113,President,,Don Blankenship,CPF,0,0,0,0,0
Charlotte,7 - American Legion Post #113,President,,WRITE-IN,NON,,,,,6
Charlotte,8 - Mac V. Horton West County,President,,Donald J. Trump,REP,86,306,205,0,597
Charlotte,8 - Mac V. Horton West County,President,,Joseph R. Biden,DEM,,,,,351
Charlotte,8 - Mac V. Horton West County,President,,Jo Jorgensen,LPF,,,,,4
Charlotte,8 - Mac V. Horton West County,President,,"Roque ""Rocky"" De La Fuente",REF,0,0,0,0,0
Charlotte,8 - Mac V. Horton West County,President,,Gloria La Riva,PSL,0,0,0,0,0
Charlotte,8 - Mac V. Horton West County,President,,Howie Hawkins,GRE,,,,,1
Charlotte,8 - Mac V. Horton West County,President,,Don Blankenship,CPF,0,0,0,0,0
Charlotte,8 - Mac V. Horton West County,President,,WRITE-IN,NON,,,,,9
Charlotte,9 - Port Charlotte Beach Park,President,,Donald J. Trump,REP,112,235,224,0,571
Charlotte,9 - Port Charlotte Beach Park,President,,Joseph R. Biden,DEM,,,,,312
Charlotte,9 - Port Charlotte Beach Park,President,,Jo Jorgensen,LPF,,,,,5
