county,precinct,office,district,candidate,party,mail,early_voting,election_day,votes
Indian River,Precinct 1,President,,Donald J. Trump,REP,-,-,-,36
Indian River,Precinct 2,President,,Donald J. Trump,REP,61,109,130,300
Indian River,Precinct 3,President,,Donald J. Trump,REP,194,386,255,835
Indian River,Precinct 4,President,,Donald J. Trump,REP,-,-,-,22
Indian River,Precinct 5,President,,Donald J. Trump,REP,752,1509,514,2775
Indian River,Precinct 6,President,,Donald J. Trump,REP,238,422,181,841
Indian River,Precinct 7,President,,Donald J. Trump,REP,381,561,159,1101
Indian River,Precinct 8,President,,Donald J. Trump,REP,713,1273,476,2462
Indian River,Precinct 9,President,,Donald J. Trump,REP,1039,1648,686,3373
Indian River,Precinct 10,President,,Donald J. Trump,REP,1094,1592,694,3380
Indian River,Precinct 11,President,,Donald J. Trump,REP,293,356,86,735
Indian River,Precinct 12,President,,Donald J. Trump,REP,292,474,147,913
Indian River,Precinct 13,President,,Donald J. Trump,REP,1703,1579,479,3761
Indian River,Precinct 14,President,,Donald J. Trump,REP,663,446,114,1223
Indian River,Precinct 15,President,,Donald J. Trump,REP,-,-,-,305
Indian River,Precinct 16,President,,Donald J. Trump,REP,1201,742,366,2309
Indian River,Precinct 17,President,,Donald J. Trump,REP,1019,854,487,2360
Indian River,Precinct 18,President,,Donald J. Trump,REP,884,730,342,1956
Indian River,Precinct 19,President,,Donald J. Trump,REP,664,849,427,1940
Indian River,Precinct 20,President,,Donald J. Trump,REP,138,108,63,309
Indian River,Precinct 21,President,,Donald J. Trump,REP,137,197,86,420
Indian River,Precinct 22,President,,Donald J. Trump,REP,777,947,429,2153
Indian River,Precinct 23,President,,Donald J. Trump,REP,376,457,264,1097
Indian River,Precinct 24,President,,Donald J. Trump,REP,93,133,73,299
Indian River,Precinct 26,President,,Donald J. Trump,REP,295,342,208,845
Indian River,Precinct 27,President,,Donald J. Trump,REP,809,855,601,2265
Indian River,Precinct 28,President,,Donald J. Trump,REP,2158,3074,1467,6699
Indian River,Precinct 29,President,,Donald J. Trump,REP,45,41,50,136
Indian River,Precinct 30,President,,Donald J. Trump,REP,594,785,422,1801
Indian River,Precinct 31,President,,Donald J. Trump,REP,585,897,460,1942
Indian River,Precinct 32,President,,Donald J. Trump,REP,1123,1651,799,3573
Indian River,Precinct 33,President,,Donald J. Trump,REP,831,470,220,1521
Indian River,Precinct 34,President,,Donald J. Trump,REP,719,835,606,2160
Indian River,Precinct 35,President,,Donald J. Trump,REP,715,696,305,1716
Indian River,Precinct 36,President,,Donald J. Trump,REP,471,701,137,1309
Indian River,Precinct 1,President,,Joseph R. Biden,DEM,-,-,-,5
Indian River,Precinct 2,President,,Joseph R. Biden,DEM,244,155,240,639
Indian River,Precinct 3,President,,Joseph R. Biden,DEM,151,43,53,247
Indian River,Precinct 4,President,,Joseph R. Biden,DEM,-,-,-,3
Indian River,Precinct 5,President,,Joseph R. Biden,DEM,793,457,176,1426
Indian River,Precinct 6,President,,Joseph R. Biden,DEM,295,127,35,457
Indian River,Precinct 7,President,,Joseph R. Biden,DEM,408,184,48,640
Indian River,Precinct 8,President,,Joseph R. Biden,DEM,827,459,133,1419
Indian River,Precinct 9,President,,Joseph R. Biden,DEM,1179,591,175,1945
Indian River,Precinct 10,President,,Joseph R. Biden,DEM,1289,621,211,2121
Indian River,Precinct 11,President,,Joseph R. Biden,DEM,335,157,35,527
Indian River,Precinct 12,President,,Joseph R. Biden,DEM,228,107,36,371
Indian River,Precinct 13,President,,Joseph R. Biden,DEM,1708,548,122,2378
