county,precinct,office,district,candidate,party,provisional,absentee,early_voting,election_day,votes
Bradford,Precinct 1,President,,Trump and Pence,REP,0,309,485,464,1258
Bradford,Precinct 2,President,,Trump and Pence,REP,0,96,124,83,303
Bradford,Precinct 3,President,,Trump and Pence,REP,0,102,223,136,461
Bradford,Precinct 4,President,,Trump and Pence,REP,0,172,430,327,929
Bradford,Precinct 5,President,,Trump and Pence,REP,0,243,396,277,916
Bradford,Precinct 6,President,,Trump and Pence,REP,0,140,249,210,599
Bradford,Precinct 7,President,,Trump and Pence,REP,0,116,168,101,385
Bradford,Precinct 8,President,,Trump and Pence,REP,0,288,474,360,1122
Bradford,Precinct 9,President,,Trump and Pence,REP,0,181,318,192,691
Bradford,Precinct 10,President,,Trump and Pence,REP,0,170,274,297,741
Bradford,Precinct 11,President,,Trump and Pence,REP,0,171,331,323,825
Bradford,Precinct 12,President,,Trump and Pence,REP,0,315,416,450,1181
Bradford,Precinct 13,President,,Trump and Pence,REP,0,86,93,214,393
Bradford,Precinct 14,President,,Trump and Pence,REP,0,125,123,282,530
Bradford,Precinct 1,President,,Joseph R. Biden,DEM,-,-,-,-,128
Bradford,Precinct 2,President,,Joseph R. Biden,DEM,0,94,111,93,298
Bradford,Precinct 3,President,,Joseph R. Biden,DEM,-,-,-,-,58
Bradford,Precinct 4,President,,Joseph R. Biden,DEM,-,-,-,-,177
Bradford,Precinct 5,President,,Joseph R. Biden,DEM,0,177,212,80,469
Bradford,Precinct 6,President,,Joseph R. Biden,DEM,-,-,-,-,72
Bradford,Precinct 7,President,,Joseph R. Biden,DEM,0,143,168,163,474
Bradford,Precinct 8,President,,Joseph R. Biden,DEM,0,137,126,64,327
Bradford,Precinct 9,President,,Joseph R. Biden,DEM,-,-,-,-,321
Bradford,Precinct 10,President,,Joseph R. Biden,DEM,-,-,-,-,81
Bradford,Precinct 11,President,,Joseph R. Biden,DEM,0,84,49,39,172
Bradford,Precinct 12,President,,Joseph R. Biden,DEM,0,216,134,81,431
Bradford,Precinct 13,President,,Joseph R. Biden,DEM,-,-,-,-,43
Bradford,Precinct 14,President,,Joseph R. Biden,DEM,-,-,-,-,109
Bradford,Precinct 1,President,,Jorgensen and Cohen,LPF,-,-,-,-,9
Bradford,Precinct 2,President,,Jorgensen and Cohen,LPF,-,-,-,-,3
Bradford,Precinct 3,President,,Jorgensen and Cohen,LPF,-,-,-,-,2
Bradford,Precinct 4,President,,Jorgensen and Cohen,LPF,-,-,-,-,8
Bradford,Precinct 5,President,,Jorgensen and Cohen,LPF,-,-,-,-,20
Bradford,Precinct 6,President,,Jorgensen and Cohen,LPF,-,-,-,-,3
Bradford,Precinct 7,President,,Jorgensen and Cohen,LPF,-,-,-,-,8
Bradford,Precinct 8,President,,Jorgensen and Cohen,LPF,-,-,-,-,23
Bradford,Precinct 9,President,,Jorgensen and Cohen,LPF,-,-,-,-,6
Bradford,Precinct 10,President,,Jorgensen and Cohen,LPF,-,-,-,-,1
Bradford,Precinct 11,President,,Jorgensen and Cohen,LPF,-,-,-,-,9
Bradford,Precinct 12,President,,Jorgensen and Cohen,LPF,-,-,-,-,10
Bradford,Precinct 13,President,,Jorgensen and Cohen,LPF,-,-,-,-,5
Bradford,Precinct 14,President,,Jorgensen and Cohen,LPF,-,-,-,-,3
Bradford,Precinct 1,President,,De La Fuente and Richardson,REF,0,0,0,0,0
Bradford,Precinct 2,President,,De La Fuente and Richardson,REF,-,-,-,-,1
Bradford,Precinct 3,President,,De La Fuente and Richardson,REF,0,0,0,0,0
Bradford,Precinct 4,President,,De La Fuente and Richardson,REF,0,0,0,0,0
Bradford,Precinct 5,President,,De La Fuente and Richardson,REF,-,-,-,-,2
Bradford,Precinct 6,President,,De La Fuente and Richardson,REF,0,0,0,0,0
Bradford,Precinct 7,President,,De La Fuente and Richardson,REF,-,-,-,-,2
Bradford,Precinct 8,President,,De La Fuente and Richardson,REF,-,-,-,-,1
Bradford,Precinct 9,President,,De La Fuente and Richardson,REF,-,-,-,-,1
Bradford,Precinct 10,President,,De La Fuente and Richardson,REF,0,0,0,0,0
Bradford,Precinct 11,President,,De La Fuente and Richardson,REF,0,0,0,0,0
Bradford,Precinct 12,President,,De La Fuente and Richardson,REF,0,0,0,0,0
Bradford,Precinct 13,President,,De La Fuente and Richardson,REF,0,0,0,0,0
Bradford,Precinct 14,President,,De La Fuente and Richardson,REF,0,0,0,0,0
Bradford,Precinct 1,President,,La Riva and Freeman,PSL,0,0,0,0,0
Bradford,Precinct 2,President,,La Riva and Freeman,PSL,0,0,0,0,0
Bradford,Precinct 3,President,,La Riva and Freeman,PSL,0,0,0,0,0
Bradford,Precinct 4,President,,La Riva and Freeman,PSL,0,0,0,0,0
Bradford,Precinct 5,President,,La Riva and Freeman,PSL,0,0,0,0,0
Bradford,Precinct 6,President,,La Riva and Freeman,PSL,0,0,0,0,0
Bradford,Precinct 7,President,,La Riva and Freeman,PSL,0,0,0,0,0
Bradford,Precinct 8,President,,La Riva and Freeman,PSL,0,0,0,0,0
Bradford,Precinct 9,President,,La Riva and Freeman,PSL,0,0,0,0,0
Bradford,Precinct 10,President,,La Riva and Freeman,PSL,-,-,-,-,1
Bradford,Precinct 11,President,,La Riva and Freeman,PSL,-,-,-,-,1
Bradford,Precinct 12,President,,La Riva and Freeman,PSL,-,-,-,-,1
Bradford,Precinct 13,President,,La Riva and Freeman,PSL,0,0,0,0,0
Bradford,Precinct 14,President,,La Riva and Freeman,PSL,0,0,0,0,0
Bradford,Precinct 1,President,,Hawkins and Walker,GRE,-,-,-,-,1
