county,precinct,office,district,candidate,party,mail,early_voting,election_day,votes
Nassau,101,President,,Donald J. Trump,REP,267,629,211,1107
Nassau,102,President,,Donald J. Trump,REP,980,1852,431,3263
Nassau,201,President,,Donald J. Trump,REP,1085,1824,469,3378
Nassau,202,President,,Donald J. Trump,REP,1095,1214,246,2555
Nassau,203,President,,Donald J. Trump,REP,556,1144,728,2428
Nassau,204,President,,Donald J. Trump,REP,1099,2517,538,4154
Nassau,301,President,,Donald J. Trump,REP,614,1535,278,2427
Nassau,302,President,,Donald J. Trump,REP,721,2093,509,3323
Nassau,303,President,,Donald J. Trump,REP,546,1795,552,2893
Nassau,401,President,,Donald J. Trump,REP,706,2948,550,4204
Nassau,402,President,,Donald J. Trump,REP,169,860,181,1210
Nassau,403,President,,Donald J. Trump,REP,433,1230,715,2378
Nassau,501,President,,Donald J. Trump,REP,353,1123,257,1733
Nassau,503,President,,Donald J. Trump,REP,727,3197,648,4572
Nassau,504,President,,Donald J. Trump,REP,501,1920,517,2938
Nassau,101,President,,Joseph R. Biden,DEM,551,465,154,1170
Nassau,102,President,,Joseph R. Biden,DEM,1233,946,134,2313
Nassau,201,President,,Joseph R. Biden,DEM,1188,728,97,2013
Nassau,202,President,,Joseph R. Biden,DEM,994,456,64,1514
Nassau,203,President,,Joseph R. Biden,DEM,419,298,115,832
Nassau,204,President,,Joseph R. Biden,DEM,1087,827,94,2008
Nassau,301,President,,Joseph R. Biden,DEM,502,421,63,986
Nassau,302,President,,Joseph R. Biden,DEM,485,529,98,1112
Nassau,303,President,,Joseph R. Biden,DEM,409,308,111,828
Nassau,401,President,,Joseph R. Biden,DEM,233,312,79,624
Nassau,402,President,,Joseph R. Biden,DEM,-,-,-,67
Nassau,403,President,,Joseph R. Biden,DEM,-,-,-,207
Nassau,501,President,,Joseph R. Biden,DEM,308,426,71,805
Nassau,503,President,,Joseph R. Biden,DEM,273,421,77,771
Nassau,504,President,,Joseph R. Biden,DEM,133,145,33,311
