county,precinct,office,district,candidate,party,provisional,absentee,early_voting,election_day,votes
Santa Rosa,1 South Milton,President,,Donald J. Trump,REP,,,,,952
Santa Rosa,2 Wallace,President,,Donald J. Trump,REP,,,,,2950
Santa Rosa,3 Coon Hill,President,,Donald J. Trump,REP,0,82,237,324,643
Santa Rosa,4 Jay,President,,Donald J. Trump,REP,0,225,349,774,1348
Santa Rosa,5 McLellan,President,,Donald J. Trump,REP,,,,,101
Santa Rosa,6 Red Rock,President,,Donald J. Trump,REP,,,,,93
Santa Rosa,7 Munson,President,,Donald J. Trump,REP,,,,,212
Santa Rosa,8 North Milton,President,,Donald J. Trump,REP,,,,,905
Santa Rosa,9 Ward Basin,President,,Donald J. Trump,REP,,,,,1796
Santa Rosa,10 Holley,President,,Donald J. Trump,REP,0,121,475,395,991
Santa Rosa,11 Coldwater,President,,Donald J. Trump,REP,0,157,242,467,866
Santa Rosa,12 Point Baker,President,,Donald J. Trump,REP,,,,,2333
Santa Rosa,13 Allentown,President,,Donald J. Trump,REP,0,175,414,545,1134
Santa Rosa,14 Harold,President,,Donald J. Trump,REP,,,,,530
Santa Rosa,15 Ferris Hill,President,,Donald J. Trump,REP,,,,,2039
Santa Rosa,16 Bagdad,President,,Donald J. Trump,REP,,,,,2056
Santa Rosa,17 Fidelis,President,,Donald J. Trump,REP,0,158,226,325,709
Santa Rosa,18 Berryhill,President,,Donald J. Trump,REP,,,,,3099
Santa Rosa,19 Chumuckla,President,,Donald J. Trump,REP,,,,,1247
Santa Rosa,20 Pace,President,,Donald J. Trump,REP,,,,,4084
Santa Rosa,21 Avalon,President,,Donald J. Trump,REP,,,,,2684
Santa Rosa,22 Gulf Breeze,President,,Donald J. Trump,REP,,,,,2839
Santa Rosa,23 Midway,President,,Donald J. Trump,REP,0,402,1188,465,2055
Santa Rosa,24 Pea Ridge,President,,Donald J. Trump,REP,,,,,4567
Santa Rosa,25 Oriole Beach,President,,Donald J. Trump,REP,0,385,1269,570,2224
Santa Rosa,26 East Navarre,President,,Donald J. Trump,REP,,,,,4260
Santa Rosa,27 Woodbine,President,,Donald J. Trump,REP,,,,,3463
Santa Rosa,28 Tiger Point,President,,Donald J. Trump,REP,,,,,2024
Santa Rosa,29 West Navarre,President,,Donald J. Trump,REP,,,,,1820
Santa Rosa,30 Pine Terrace,President,,Donald J. Trump,REP,,,,,2142
Santa Rosa,31 Floridatown,President,,Donald J. Trump,REP,0,184,475,311,970
Santa Rosa,32 Grand Pointe,President,,Donald J. Trump,REP,,,,,2111
Santa Rosa,33 East Milton,President,,Donald J. Trump,REP,0,336,931,589,1856
Santa Rosa,34 Hidden Creek,President,,Donald J. Trump,REP,,,,,6112
Santa Rosa,35 Biscayne Pointe,President,,Donald J. Trump,REP,0,600,1324,605,2529
Santa Rosa,36 Mill Creek,President,,Donald J. Trump,REP,,,,,1482
Santa Rosa,37 Soundside,President,,Donald J. Trump,REP,,,,,1498
Santa Rosa,38 Navarre Beach,President,,Donald J. Trump,REP,,,,,636
Santa Rosa,39 Garcon Point,President,,Donald J. Trump,REP,,,,,1259
Santa Rosa,40 Parkway,President,,Donald J. Trump,REP,0,227,642,187,1056
Santa Rosa,41 Woodlawn,President,,Donald J. Trump,REP,,,,,1710
Santa Rosa,1 South Milton,President,,Joseph R. Biden,DEM,0,381,129,52,562
Santa Rosa,2 Wallace,President,,Joseph R. Biden,DEM,,,,,640
Santa Rosa,3 Coon Hill,President,,Joseph R. Biden,DEM,,,,,51
Santa Rosa,4 Jay,President,,Joseph R. Biden,DEM,,,,,124
Santa Rosa,5 McLellan,President,,Joseph R. Biden,DEM,,,,,15
Santa Rosa,6 Red Rock,President,,Joseph R. Biden,DEM,,,,,10
Santa Rosa,7 Munson,President,,Joseph R. Biden,DEM,,,,,19
Santa Rosa,8 North Milton,President,,Joseph R. Biden,DEM,,,,,480
Santa Rosa,9 Ward Basin,President,,Joseph R. Biden,DEM,,,,,480
Santa Rosa,10 Holley,President,,Joseph R. Biden,DEM,,,,,326
Santa Rosa,11 Coldwater,President,,Joseph R. Biden,DEM,,,,,145
Santa Rosa,12 Point Baker,President,,Joseph R. Biden,DEM,,,,,951
Santa Rosa,13 Allentown,President,,Joseph R. Biden,DEM,,,,,157
Santa Rosa,14 Harold,President,,Joseph R. Biden,DEM,,,,,91
Santa Rosa,15 Ferris Hill,President,,Joseph R. Biden,DEM,,,,,1031
Santa Rosa,16 Bagdad,President,,Joseph R. Biden,DEM,,,,,799
Santa Rosa,17 Fidelis,President,,Joseph R. Biden,DEM,,,,,57
Santa Rosa,18 Berryhill,President,,Joseph R. Biden,DEM,,,,,1015
Santa Rosa,19 Chumuckla,President,,Joseph R. Biden,DEM,,,,,120
Santa Rosa,20 Pace,President,,Joseph R. Biden,DEM,,,,,1215
Santa Rosa,21 Avalon,President,,Joseph R. Biden,DEM,,,,,887
Santa Rosa,22 Gulf Breeze,President,,Joseph R. Biden,DEM,,,,,1468
Santa Rosa,23 Midway,President,,Joseph R. Biden,DEM,0,434,397,111,942
Santa Rosa,24 Pea Ridge,President,,Joseph R. Biden,DEM,,,,,1488
Santa Rosa,25 Oriole Beach,President,,Joseph R. Biden,DEM,,,,,938
Santa Rosa,26 East Navarre,President,,Joseph R. Biden,DEM,,,,,1820
Santa Rosa,27 Woodbine,President,,Joseph R. Biden,DEM,,,,,1062
Santa Rosa,28 Tiger Point,President,,Joseph R. Biden,DEM,,,,,887
Santa Rosa,29 West Navarre,President,,Joseph R. Biden,DEM,,,,,720
Santa Rosa,30 Pine Terrace,President,,Joseph R. Biden,DEM,,,,,493
Santa Rosa,31 Floridatown,President,,Joseph R. Biden,DEM,0,131,87,83,301
Santa Rosa,32 Grand Pointe,President,,Joseph R. Biden,DEM,,,,,934
Santa Rosa,33 East Milton,President,,Joseph R. Biden,DEM,,,,,505
Santa Rosa,34 Hidden Creek,President,,Joseph R. Biden,DEM,,,,,2566
Santa Rosa,35 Biscayne Pointe,President,,Joseph R. Biden,DEM,,,,,1364
Santa Rosa,36 Mill Creek,President,,Joseph R. Biden,DEM,0,199,130,61,390
Santa Rosa,37 Soundside,President,,Joseph R. Biden,DEM,0,235,292,70,597
Santa Rosa,38 Navarre Beach,President,,Joseph R. Biden,DEM,,,,,304
Santa Rosa,39 Garcon Point,President,,Joseph R. Biden,DEM,0,204,138,38,380
Santa Rosa,40 Parkway,President,,Joseph R. Biden,DEM,,,,,524
Santa Rosa,41 Woodlawn,President,,Joseph R. Biden,DEM,0,361,321,72,754
Santa Rosa,1 South Milton,President,,Jo Jorgensen,LPF,,,,,20
Santa Rosa,2 Wallace,President,,Jo Jorgensen,LPF,,,,,52
Santa Rosa,3 Coon Hill,President,,Jo Jorgensen,LPF,,,,,3
Santa Rosa,4 Jay,President,,Jo Jorgensen,LPF,,,,,11
Santa Rosa,5 McLellan,President,,Jo Jorgensen,LPF,0,0,0,0,0
Santa Rosa,6 Red Rock,President,,Jo Jorgensen,LPF,0,0,0,0,0
Santa Rosa,7 Munson,President,,Jo Jorgensen,LPF,,,,,1
Santa Rosa,8 North Milton,President,,Jo Jorgensen,LPF,,,,,29
Santa Rosa,9 Ward Basin,President,,Jo Jorgensen,LPF,,,,,27
Santa Rosa,10 Holley,President,,Jo Jorgensen,LPF,,,,,25
Santa Rosa,11 Coldwater,President,,Jo Jorgensen,LPF,,,,,12
Santa Rosa,12 Point Baker,President,,Jo Jorgensen,LPF,,,,,49
Santa Rosa,13 Allentown,President,,Jo Jorgensen,LPF,,,,,9
Santa Rosa,14 Harold,President,,Jo Jorgensen,LPF,,,,,4
Santa Rosa,15 Ferris Hill,President,,Jo Jorgensen,LPF,,,,,65
Santa Rosa,16 Bagdad,President,,Jo Jorgensen,LPF,,,,,53
Santa Rosa,17 Fidelis,President,,Jo Jorgensen,LPF,,,,,1
Santa Rosa,18 Berryhill,President,,Jo Jorgensen,LPF,,,,,62
Santa Rosa,19 Chumuckla,President,,Jo Jorgensen,LPF,,,,,4
Santa Rosa,20 Pace,President,,Jo Jorgensen,LPF,0,39,38,31,108
Santa Rosa,21 Avalon,President,,Jo Jorgensen,LPF,,,,,66
Santa Rosa,22 Gulf Breeze,President,,Jo Jorgensen,LPF,,,,,40
Santa Rosa,23 Midway,President,,Jo Jorgensen,LPF,,,,,56
Santa Rosa,24 Pea Ridge,President,,Jo Jorgensen,LPF,,,,,119
Santa Rosa,25 Oriole Beach,President,,Jo Jorgensen,LPF,,,,,44
Santa Rosa,26 East Navarre,President,,Jo Jorgensen,LPF,0,43,51,41,135
Santa Rosa,27 Woodbine,President,,Jo Jorgensen,LPF,,,,,45
Santa Rosa,28 Tiger Point,President,,Jo Jorgensen,LPF,,,,,35
Santa Rosa,29 West Navarre,President,,Jo Jorgensen,LPF,,,,,51
Santa Rosa,30 Pine Terrace,President,,Jo Jorgensen,LPF,,,,,35
Santa Rosa,31 Floridatown,President,,Jo Jorgensen,LPF,,,,,21
Santa Rosa,32 Grand Pointe,President,,Jo Jorgensen,LPF,,,,,27
Santa Rosa,33 East Milton,President,,Jo Jorgensen,LPF,,,,,33
Santa Rosa,34 Hidden Creek,President,,Jo Jorgensen,LPF,,,,,177
Santa Rosa,35 Biscayne Pointe,President,,Jo Jorgensen,LPF,,,,,80
Santa Rosa,36 Mill Creek,President,,Jo Jorgensen,LPF,,,,,31
Santa Rosa,37 Soundside,President,,Jo Jorgensen,LPF,,,,,22
Santa Rosa,38 Navarre Beach,President,,Jo Jorgensen,LPF,,,,,3
Santa Rosa,39 Garcon Point,President,,Jo Jorgensen,LPF,,,,,21
Santa Rosa,40 Parkway,President,,Jo Jorgensen,LPF,,,,,32
Santa Rosa,41 Woodlawn,President,,Jo Jorgensen,LPF,,,,,37
Santa Rosa,1 South Milton,President,,"Roque ""Rocky"" De La Fuente",REF,,,,,2
Santa Rosa,2 Wallace,President,,"Roque ""Rocky"" De La Fuente",REF,0,0,0,0,0
Santa Rosa,3 Coon Hill,President,,"Roque ""Rocky"" De La Fuente",REF,0,0,0,0,0
Santa Rosa,4 Jay,President,,"Roque ""Rocky"" De La Fuente",REF,0,0,0,0,0
Santa Rosa,5 McLellan,President,,"Roque ""Rocky"" De La Fuente",REF,0,0,0,0,0
Santa Rosa,6 Red Rock,President,,"Roque ""Rocky"" De La Fuente",REF,0,0,0,0,0
Santa Rosa,7 Munson,President,,"Roque ""Rocky"" De La Fuente",REF,0,0,0,0,0
