county,precinct,office,district,party,candidate,votes,election_day,mail,early_voting
Sarasota,101,President,,REP,Donald J. Trump,0,,,
Sarasota,103,President,,REP,Donald J. Trump,592,136,178,278
Sarasota,105,President,,REP,Donald J. Trump,2752,746,953,1053
Sarasota,106,President,,REP,Donald J. Trump,2397,428,716,1253
Sarasota,107,President,,REP,Donald J. Trump,1152,503,250,399
Sarasota,109,President,,REP,Donald J. Trump,549,172,206,171
Sarasota,111,President,,REP,Donald J. Trump,164,56,58,50
Sarasota,113,President,,REP,Donald J. Trump,260,153,74,33
Sarasota,115,President,,REP,Donald J. Trump,731,183,261,287
Sarasota,117,President,,REP,Donald J. Trump,613,177,202,234
Sarasota,119,President,,REP,Donald J. Trump,880,239,262,379
Sarasota,121,President,,REP,Donald J. Trump,1402,358,589,455
Sarasota,123,President,,REP,Donald J. Trump,693,182,208,303
Sarasota,125,President,,REP,Donald J. Trump,1241,327,431,483
Sarasota,127,President,,REP,Donald J. Trump,3596,866,1117,1613
Sarasota,129,President,,REP,Donald J. Trump,402,108,134,160
Sarasota,131,President,,REP,Donald J. Trump,258,125,92,41
Sarasota,133,President,,REP,Donald J. Trump,3619,737,1101,1781
Sarasota,135,President,,REP,Donald J. Trump,726,228,195,303
Sarasota,201,President,,REP,Donald J. Trump,1977,463,983,531
Sarasota,203,President,,REP,Donald J. Trump,892,130,432,330
Sarasota,205,President,,REP,Donald J. Trump,240,46,113,81
Sarasota,207,President,,REP,Donald J. Trump,290,62,105,123
Sarasota,209,President,,REP,Donald J. Trump,1525,263,630,632
Sarasota,211,President,,REP,Donald J. Trump,637,150,284,203
Sarasota,213,President,,REP,Donald J. Trump,561,72,309,180
Sarasota,215,President,,REP,Donald J. Trump,1333,294,464,575
Sarasota,217,President,,REP,Donald J. Trump,512,122,179,211
Sarasota,219,President,,REP,Donald J. Trump,2208,517,719,972
Sarasota,221,President,,REP,Donald J. Trump,3688,892,1074,1722
Sarasota,223,President,,REP,Donald J. Trump,765,141,280,344
Sarasota,225,President,,REP,Donald J. Trump,442,139,118,185
Sarasota,227,President,,REP,Donald J. Trump,1178,285,383,510
Sarasota,229,President,,REP,Donald J. Trump,1500,366,484,650
