county,precinct,office,district,candidate,party,provisional,mail,early_voting,election_day,votes
Washington,CARYVILLE TOWN HALL,President,,Trump and Pence,REP,0,36,69,80,185
Washington,FIVE POINT COMMUNITY CENTER,President,,Trump and Pence,REP,0,184,291,260,735
Washington,HINSON CROSSROADS FIRE STATION,President,,Trump and Pence,REP,0,68,173,184,425
Washington,AGRICULTURE CENTER - CHIPLEY  ,President,,Trump and Pence,REP,0,493,1351,420,2264
Washington,VERNON CITY HALL,President,,Trump and Pence,REP,0,198,528,230,956
Washington,NEW HOPE-CAMPBELL PARK,President,,Trump and Pence,REP,0,56,119,84,259
Washington,ORANGE HILL FIRE STATION,President,,Trump and Pence,REP,0,183,467,357,1007
Washington,ARMORY - CHIPLEY,President,,Trump and Pence,REP,0,166,555,167,888
Washington,WAUSAU TOWN HALL,President,,Trump and Pence,REP,0,135,282,238,655
Washington,EBRO CITY HALL,President,,Trump and Pence,REP,-,-,-,-,185
Washington,GREENHEAD,President,,Trump and Pence,REP,0,349,660,513,1522
Washington,SUNNY HILLS COMMUNITY CENTER  ,President,,Trump and Pence,REP,0,173,289,333,795
Washington,CARYVILLE TOWN HALL,President,,Biden and Harris,DEM,0,61,49,31,141
Washington,FIVE POINT COMMUNITY CENTER,President,,Biden and Harris,DEM,-,-,-,-,59
Washington,HINSON CROSSROADS FIRE STATION,President,,Biden and Harris,DEM,-,-,-,-,51
Washington,AGRICULTURE CENTER - CHIPLEY  ,President,,Biden and Harris,DEM,0,199,245,68,512
Washington,VERNON CITY HALL,President,,Biden and Harris,DEM,-,-,-,-,210
Washington,NEW HOPE-CAMPBELL PARK,President,,Biden and Harris,DEM,0,61,106,60,227
Washington,ORANGE HILL FIRE STATION,President,,Biden and Harris,DEM,0,72,58,44,174
Washington,ARMORY - CHIPLEY,President,,Biden and Harris,DEM,0,121,154,43,318
Washington,WAUSAU TOWN HALL,President,,Biden and Harris,DEM,0,62,35,42,139
Washington,EBRO CITY HALL,President,,Biden and Harris,DEM,-,-,-,-,126
Washington,GREENHEAD,President,,Biden and Harris,DEM,0,92,80,38,210
Washington,SUNNY HILLS COMMUNITY CENTER  ,President,,Biden and Harris,DEM,0,84,49,47,180
Washington,CARYVILLE TOWN HALL,President,,Jorgensen and Cohen,LPF,-,-,-,-,9
Washington,FIVE POINT COMMUNITY CENTER,President,,Jorgensen and Cohen,LPF,-,-,-,-,4
Washington,HINSON CROSSROADS FIRE STATION,President,,Jorgensen and Cohen,LPF,0,0,0,0,0
Washington,AGRICULTURE CENTER - CHIPLEY  ,President,,Jorgensen and Cohen,LPF,-,-,-,-,18
